"Entitat_Municipal","Tipologia_subvencio","Subvencio","Beneficiaris","NIF","Objecte","Import","Data_atorgament","Organ_Gestor"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Associació Administrativa de Concesionarios del Mercado de la Trinitat","G58297342","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Associació CIVIC Iniciatives Socials i Ocupació","G59335166","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Associació CIVIC Iniciatives Socials i Ocupació","G59335166","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","BATLLE MUNTANE SL","B66840323","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","BERLANGA ASESORES, S.L.P.","B65818312","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","BGJ","****9068*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","BIS Arquitectes David García S.L.P.","B61753976","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","BOMARI SL","B08855843","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","BRF, S.A.","A58326299","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Bridepalla SLU","B66826231","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CALAIX DE CULTURA, SL","B63033740","Convocatòria Barcelona per la Ocupació de Qualitat 2019",7500.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CAN FARINETES SL","B61528469","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CARPINTERIA METALICA ANGEL GONZALEZ SA","A08960148","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CBA","****8815*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLINICA RIERA CENTRO ODONTOLOGICO SLP","B63818975","Convocatòria Barcelona per la Ocupació de Qualitat 2019",7500.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLOUD WORKSPACES SL","B65071862","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLOUD WORKSPACES SL","B65071862","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLOUD WORKSPACES SL","B65071862","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLOUD WORKSPACES SL","B65071862","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLOUD WORKSPACES SL","B65071862","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CLOUD WORKSPACES SL","B65071862","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CMN LLOGUER D'ESPAIS I SERVEIS, S.L.","B66659236","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","COMERCIAL BOLSERA, S.L.","B63479034","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","COMMONSENSE PFM, S.L.","B65897670","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","COMUNIDAD DE PRO. CALLE VELIA 14","H58917162","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CONSTRUCCIONES Y SERVICIOS FAUS S.A.","A58869892","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CONSTRUCTORA DEL CARDONER, S.A.","A58467622","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CONTREXT 2016, S.L.","B66751405","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Call And Play, SL","B80216435","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Call And Play, SL","B80216435","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Camalize S.L.","B65660656","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Camalize S.L.","B65660656","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","CTG","****6830*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DEKRA AMBIO, SAU","A08507915","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DEKRA AMBIO, SAU","A08507915","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DVJ","****3463*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DESIGN & SOLUTIONS INTHE NETWORK SL","B64190408","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DESIGN & SOLUTIONS INTHE NETWORK SL","B64190408","Convocatòria Barcelona per la Ocupació de Qualitat 2019",9000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DEVENTER CONSULTING SLP","B61273538","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DEXTRA GLOBAL S.L.U","B65130346","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DEXTRA GLOBAL S.L.U","B65130346","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DIS ELECTRIC SAU","A08771784","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DISALVI ALVAREZ, SL","B61257465","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DISALVI ALVAREZ, SL","B61257465","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DORI DORI PASTELERIA TRADICIONAL, S.L.","B65174609","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DROPEL XXI, SL","B62395058","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DBL","****0458*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","DHV","****8161*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","E&U Despatx Jurídic i Tributari, S.L.P.","B65667404","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ECOCLIMA BARCELONA SL","B64215031","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ECONOMAT SOCIAL, SCCL","F65964413","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","EL ARCATAPA S.L.","B65496440","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","EL ARCATAPA S.L.","B65496440","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ELECTRICA INSTALADORA (ELINSA) SL","B08655276","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ESE","****4052*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ENVERS environmental services, SL","B66035866","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","ESD","****0823*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","EXCLUSIVE PRODUCTS, EXCLUSIVAS PUBLICITARIAS, S.L","B65425373","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","EXCLUSIVE PRODUCTS, EXCLUSIVAS PUBLICITARIAS, S.L","B65425373","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","EGG","****6719*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Ettydem, S.L.","B64598014","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","EHP","****0699*","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","F. INDAL, S.A.","A58839721","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FACTORIA BALUARD S.L","B64149065","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FAMUR ASESORES EMPRESARIALES, S.L.","B65300600","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FINANCIALPAR SLU","B64217839","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FITÉ ASSESSORS, SL","B60211414","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FONAMENTS. S.A.","A58906959","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FOODS FOR TOMORROW, SLU","B66953837","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FOODS FOR TOMORROW, SLU","B66953837","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"09/04/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FRAGOLA MIKIS, SL","B08785644","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FREEEL ECOMOVING SOLUTIONS, SL","B65610388","Convocatòria Barcelona per la Ocupació de Qualitat 2019",7500.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FRIGORIFICOS DEL MERCAT DEL PEIX, S.A.","A58888975","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"03/06/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FUNDACIO PRIVADA CIUTADANIA MULTICULTURAL","G63832786","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FUNDACIO PRIVADA ELS TRES TURONS","G63027411","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FUNDACION PRIV NTRA.SRA.ENCUENTRO CON DIOS","G65922841","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"27/12/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","FUNDACION PRIVADA PRO VELLESA AUTONOMA","G63184527","Convocatòria Barcelona per la Ocupació de Qualitat 2019",5000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Fundació Esclat Marina","G66339599","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Fundació Família i Benestar Social","G58523044","Convocatòria Barcelona per la Ocupació de Qualitat 2019",6000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Fundació Privada Ared","G62728183","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"07/11/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Fundació Privada Ared","G62728183","Convocatòria Barcelona per la Ocupació de Qualitat 2019",10000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
"Ajuntament de Barcelona","SUBVENCIONS CONVOCATÒRIA","BOQ","Fundació Privada Ared","G62728183","Convocatòria Barcelona per la Ocupació de Qualitat 2019",12000.0,"01/03/2019","Gerència de Presidència i Economia - BASA"
