"Trimestre","Tipus orgànic","Orgànic","DescOrgànic","Tipus subvenció","Subvenció","NIF","Nom","Descripció","Econòmic","Import D"
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00043","A58295296","BASA BARCELONA ACTIVA, S.A.","aportació Barcelona Activa",44400,5500000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00058","P5801909B","INST. MPAL. PERSONES DISCAPACITAT","APORTACIÓ MUNICIPAL gener 2018",41080,800000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00059","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ MUNICIPAL gener 2018",41040,12500000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00060","P5890001J","INST. MPAL. EDUCACIO","APORTACIÓ MUNICIPAL gener 2018",41020,2500000.0
"","Sectors i districtes","","DTE. SANT MARTÍ","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00063","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERENCIA A L'IMSS",41040,5044650.0
"","Sectors i districtes","","DTE. SANT MARTÍ","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00063","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERENCIA A L'IMSS",41040,8448150.0
"","Sectors i districtes","","DTE. SANT ANDREU","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00064","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERENCIA A L'IMSS",41040,2553100.0
"","Sectors i districtes","","DTE. SANT ANDREU","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00064","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERENCIA A L'IMSS",41040,4143500.0
"","Sectors i districtes","","DTE. SANTS-MONTJUÏC","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00076","P0800234G","INST. MPAL. SERVEIS SOCIALS","Aportació serveis socials-Dte.Sants-Montjuïc-2018",41040,3811500.0
"","Sectors i districtes","","DTE. SANTS-MONTJUÏC","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00078","P0800234G","INST. MPAL. SERVEIS SOCIALS","Aportació S. Socials (SAD) Dte Sants-Montjüic 2018",41040,4925500.0
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00109","A58295296","BASA BARCELONA ACTIVA, S.A.","Encàrrec de gestió Barcelona Activa SAU SPM",44400,65000.0
"","Sectors i districtes","","GER. ECOLOGIA URBANA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00141","A62091616","FOMENT DE CIUTAT SA","Suport als PITS 2018/2019",44431,545600.0
"","Sectors i districtes","","DTE. CIUTAT VELLA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00310","P0800234G","INST. MPAL. SERVEIS SOCIALS","Aport. serv. socials bàsics Inst. Mpal. S. Socials",41040,4930300.0
"","Sectors i districtes","","DTE. CIUTAT VELLA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00311","P0800234G","INST. MPAL. SERVEIS SOCIALS","Aport. serv. atenció domic. Inst. Mpal. S. Socials",41040,3969600.0
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00328","Q0801296E","INST. BARCELONA ESPORTS","Aportació municipal anual a l'IBE",41070,11667551.82
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00328","Q0801296E","INST. BARCELONA ESPORTS","Aportació municipal anual a l'IBE",41070,4941063.2
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00328","Q0801296E","INST. BARCELONA ESPORTS","Aportació municipal anual a l'IBE",41070,6193003.66
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,500000.0
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,11179856.04
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,12671835.44
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,48067327.66
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,211322.62
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,18169551.33
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,18205451.83
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,1966878.49
"","Sectors i districtes","","GER. DRETS CIUTAD.CULTURA,PARTI.I TRANSP.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00351","P5890006I","INST. MPAL. CULTURA (ICUB)","Aportació municipal anual a l'ICUB",44300,3687833.97
"","Sectors i districtes","","DTE. HORTA-GUINARDÓ","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00448","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERENCIA   INSTITUT MUNICIPAL SERVEIS SOCIALS",41040,4186800.0
"","Sectors i districtes","","DTE. HORTA-GUINARDÓ","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00448","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERENCIA   INSTITUT MUNICIPAL SERVEIS SOCIALS",41040,6207950.0
"","Sectors i districtes","","DTE. GRÀCIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00575","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERÈNCIA INSTITUT MUNICIPAL DE SERVEIS SOCIAL",41040,5035400.0
"","Sectors i districtes","","DTE. GRÀCIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S00616","P0800234G","INST. MPAL. SERVEIS SOCIALS","TRANSFERÈNCIA INSTITUT MUNICIPAL DE SERVEIS SOCIAL",41040,2431600.0
"","Sectors i districtes","","DTE. LES CORTS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S01505","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ SERVEIS SOCIALS DTE LES CORTS 2018",41040,1160150.0
"","Sectors i districtes","","DTE. LES CORTS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S01506","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ INSTITUT MUNICIPAL SERVEIS SOCIALS 2018",41040,1730600.0
"","Sectors i districtes","","DTE. EIXAMPLE","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S01670","P0800234G","INST. MPAL. SERVEIS SOCIALS","Transferència IMSS Serveis bàsics 2018",41040,4397450.0
"","Sectors i districtes","","DTE. EIXAMPLE","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S01687","P0800234G","INST. MPAL. SERVEIS SOCIALS","Transferència IMSS Atenció social i neteja llar",41040,6304050.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04655","A66168303","BARCELONA CICLE DE L'AIGUA, SL","Aportació anual municipal Gerència Ecologia Urbana",44453,500000.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04655","A66168303","BARCELONA CICLE DE L'AIGUA, SL","Aportació anual municipal Gerència Ecologia Urbana",44453,500000.0
"","Sectors i districtes","","DTE. NOU BARRIS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04703","P0800234G","INST. MPAL. SERVEIS SOCIALS","INSTITUT MUNICIPAL SERVEIS SOCIALS",41040,10997900.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04745","P5801909B","INST. MPAL. PERSONES DISCAPACITAT","Aportació municipal febrer 2018",41080,700000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04748","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ MUNICIPAL FEBRER 2018",41040,6000000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04750","P5890001J","INST. MPAL. EDUCACIO","APORTACIÓ MUNICIPAL FEBRER 2018",41020,1000000.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S04753","P5801914B","INSTITUT MUNICIPAL PARCS I JARDINSBARCELONA","Aportació anual municipal Gerència Ecologia Urbana",44310,46934224.54
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05033","A08862997","INFORMAC.I COMUNIC.BARCELONA SA SPM","CONTRACTE PROGRAMA 2018",44410,2939246.98
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05033","A08862997","INFORMAC.I COMUNIC.BARCELONA SA SPM","CONTRACTE PROGRAMA 2018",44410,2648886.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05114","P5801908D","INST. MPAL. INFORMATICA (IMI)","CONTRACTE PROGRAMA 2018",41030,2700000.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05114","P5801908D","INST. MPAL. INFORMATICA (IMI)","CONTRACTE PROGRAMA 2018",41030,27645159.2
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05114","P5801908D","INST. MPAL. INFORMATICA (IMI)","CONTRACTE PROGRAMA 2018",41030,11000000.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05114","P5801908D","INST. MPAL. INFORMATICA (IMI)","CONTRACTE PROGRAMA 2018",41031,2907500.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05175","A62439807","SOLUCIONS INTEGRALS PER ALS RESIDUS","EG Siresa_Fracció orgànica 2018",44452,526645.15
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05185","P5801908D","INST. MPAL. INFORMATICA (IMI)","INCREMENT NECESSITATS DEL CAPÍTOL VI A CAPÍTOL II",41030,2700000.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05208","A08800880","TRACTAMENT I SEL.LECCIÓ RESIDUS SA","EG Terssa_Gestió Punts Verds 2018",44450,4087039.66
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05211","P5801911H","INST. MPAL. HISENDA","aportació a l'Institut Municipal d'Hisenda",41000,800000.0
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05212","A58295296","BASA BARCELONA ACTIVA, S.A.","aportació Barcelona Activa mes de febrer",44400,1000000.0
"","Sectors i districtes","","GER. ECOLOGIA URBANA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05233","P5890051E","INST. MPAL. PAISATGE URBA QUAL.VIDA","Aportació anual municipal Gerència Ecologia Urbana",41060,10408837.32
"","Sectors i districtes","","GER. ECOLOGIA URBANA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05243","A62439807","SOLUCIONS INTEGRALS PER ALS RESIDUS","EG Siresa_Programes B+S, FiC i Platges",44452,1272475.15
"","Sectors i districtes","","GER. TURISME, COMERÇ I MERCATS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05246","P5801916G","INST. MPAL. MERCATS BARCELONA","PROGRAMA DE MERCATS MUNICIPALS",41051,541272.5
"","Sectors i districtes","","DTE. SARRIÀ-SANT GERVASI","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05250","P0800234G","INST. MPAL. SERVEIS SOCIALS","Aportació 2018 a L'IMSSB (SAD)",41040,1875000.0
"","Sectors i districtes","","DTE. SARRIÀ-SANT GERVASI","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05252","P0800234G","INST. MPAL. SERVEIS SOCIALS","Aportació 2018 a L'IMSSB",41040,1303350.0
"","Sectors i districtes","","GER. MUNICIPAL I COORD.ENS I TERR.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05320","A08765919","BARCELONA DE SERVEIS MUNICIPALS SA","BSM - Gestió i coordinació equip d'agents cívics",44420,2300000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05402","P5801909B","INST. MPAL. PERSONES DISCAPACITAT","APORTACIO MUNICPAL MARÇ 2018",41080,500000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05418","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ MUNICIPAL MARÇ 2018",41040,2000000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05419","P5890001J","INST. MPAL. EDUCACIO","APORTACIÓ MUNICIPAL MARÇ 2018",41020,4500000.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05617","P5801908D","INST. MPAL. INFORMATICA (IMI)","CONTRACTE PROGRAMA 2018 (Març)",41030,1175000.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05618","P5801908D","INST. MPAL. INFORMATICA (IMI)","PLA DE SISTEMES D'HISENSA (FINANÇAR 2A FASE)",41030,825000.0
"","Sectors i districtes","","GER. ECOLOGIA URBANA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05646","G59125369","FUNDACIO MIES VAN DER ROHE","Aportació anual municipal Gerència Ecologia Urbana",44330,682526.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05649","A08862997","INFORMAC.I COMUNIC.BARCELONA SA SPM","CONTRACTE PROGRAMA 2018 (MARÇ)",44410,700000.0
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05650","P5801911H","INST. MPAL. HISENDA","aportació a l'Institut Municipal d'Hisenda",41000,600000.0
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05651","P5801908D","INST. MPAL. INFORMATICA (IMI)","aportació a l'Institut Municipal d'Informàtica",41030,800000.0
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05652","A58295296","BASA BARCELONA ACTIVA, S.A.","aportació Barcelona Activa",44400,700000.0
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05681","P5890006I","INST. MPAL. CULTURA (ICUB)","aportació ICUB",44304,974500.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05712","A66168303","BARCELONA CICLE DE L'AIGUA, SL","Aportació anual municipal Gerència Ecologia Urbana",44453,1000000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05774","P5801909B","INST. MPAL. PERSONES DISCAPACITAT","APORTACIO MUNICIPAL 2018 (abril - desembre)",41080,6443879.13
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05775","P5801909B","INST. MPAL. PERSONES DISCAPACITAT","APORTACIO MUNICIPAL 2018",41081,1555425.79
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05780","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIO MUNICIPAL 2018 (abril - desembre)",41040,8240428.71
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05780","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIO MUNICIPAL 2018 (abril - desembre)",41040,24656585.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05780","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIO MUNICIPAL 2018 (abril - desembre)",41040,2325000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05785","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018 (abril - desembre)",41020,7530286.11
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05785","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018 (abril - desembre)",41020,3668097.1
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05785","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018 (abril - desembre)",41020,597307.79
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05785","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018 (abril - desembre)",41020,4095915.1
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05785","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018 (abril - desembre)",41020,17764668.64
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05788","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018",41021,352360.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05788","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018",41021,807500.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05788","P5890001J","INST. MPAL. EDUCACIO","APORTACIO MUNICIPAL 2018",41021,6240140.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05792","P5801915I","INSTITUT MUNICIPAL DE L'HABITATGE IREHABILITACIO DE BARCELONA","APORTACIO MUNICIPAL 2018",44320,4040143.94
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05795","P5801911H","INST. MPAL. HISENDA","aportació IMH abril-desembre",41000,23869829.0
"","Sectors i districtes","","GER. ADJ. MEDI AMBIENT I SERVEIS URBANS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05857","A66168303","BARCELONA CICLE DE L'AIGUA, SL","Aportació anual municipal Gerència Ecologia Urbana",44453,3055000.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05868","P0800234G","INST. MPAL. SERVEIS SOCIALS","AJUTS PROGRAMA RESPIR PLUS 2018",48001,300000.0
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05877","A58295296","BASA BARCELONA ACTIVA, S.A.","aportació Barcelona Activa",44400,1300000.0
"","Sectors i districtes","","GER. ECOLOGIA URBANA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05878","P5801910J","INST. MPAL. URBANISME","Aportació anual municipal Gerència Ecologia Urbana",44340,6269648.37
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05879","P5801908D","INST. MPAL. INFORMATICA (IMI)","CONTRACTE PROGRAMA 2018 (ABRIL)",41030,1000000.0
"","Sectors i districtes","","GER. RECURSOS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05880","A08862997","INFORMAC.I COMUNIC.BARCELONA SA SPM","CONTRACTE PROGRAMA 2018 (ABRIL)",44410,400000.0
"","Sectors i districtes","","GER. MUNICIPAL I COORD.ENS I TERR.","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S05981","P5890006I","INST. MPAL. CULTURA (ICUB)","EXPOSICIÓ SOBRE LA  ZONA FRANCA DE BARCELONA",44300,30512.9
"","Sectors i districtes","","GER. POLÍTICA ECONÒMICA I DESENV. LOCAL","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06167","A58295296","BASA BARCELONA ACTIVA, S.A.","aportació Barcelona Activa",44400,600000.0
"","Sectors i districtes","","GER. PRESIDÈNCIA I ECONOMIA","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06168","P5801908D","INST. MPAL. INFORMATICA (IMI)","Aportació IMI",41031,876956.0
"","Sectors i districtes","","GER. TURISME, COMERÇ I MERCATS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06208","P5801916G","INST. MPAL. MERCATS BARCELONA","PROGRAMA DE MERCATS MUNICIPALS (Mes de Maig)",41051,541272.5
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06229","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ ADDICIONAL X REORGANITZACIÓ ADMINISTRATI",41040,23151.0
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06229","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ ADDICIONAL X REORGANITZACIÓ ADMINISTRATI",41040,1469337.65
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06229","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ ADDICIONAL X REORGANITZACIÓ ADMINISTRATI",41040,317583.3
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06229","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ ADDICIONAL X REORGANITZACIÓ ADMINISTRATI",41040,3632080.24
"","Sectors i districtes","","GER. DRETS SOCIALS","Transferències i encàrrecs de gestió a Grup Municipal i Consorcis","18S06229","P0800234G","INST. MPAL. SERVEIS SOCIALS","APORTACIÓ ADDICIONAL X REORGANITZACIÓ ADMINISTRATI",41040,4588747.46
