"Tipus ens","Òrgan contractant","Contracte núm","Tipus de contracte","Objecte contracte","Data formalització","Preu contracte","Data formalització modificació","Import modificació","Modificació prevista en el plec","Modificació no prevista en el plec","% variació sobre el preu del contracte"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005213-001","Serveis","Lot 2 Neteja Edificis Districte Eixample","22/06/2017",2086993.46,"NO CONSTA","-43680.04","SÍ","","-2.09"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005217-001","Serveis","Lot 3 Neteja Edif. Dte. Sants-Montjuïc","22/06/2017",2124436.16,"28/03/2019","500000.00","SÍ","","23.54"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005217-002","Serveis","Lot 3 Neteja Edif. Dte. Sants-Montjuïc","22/06/2017",2124436.16,"NO CONSTA","-73512.49","SÍ","","-3.46"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005220-001","Serveis","Lot 4 Neteja Ed. Dte Corts iGerència Drets Socials","22/06/2017",3064155.18,"NO CONSTA","-126539.29","SÍ","","-4.13"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005220-002","Serveis","Lot 4 Neteja Ed. Dte Corts iGerència Drets Socials","22/06/2017",3064155.18,"NO CONSTA","25000.00","SÍ","","0.82"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005222-001","Serveis","Lot 5: Neteja Ed. Districte Sarrià/Ger.Seguretat","22/06/2017",4162540.4,"NO CONSTA","-92961.56","SÍ","","-2.23"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005223-002","Serveis","Lot 6: Net. Districte de Gràcia/G. Ecologia Urbana","22/06/2017",2251392.36,"NO CONSTA","37416.77","SÍ","","1.66"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005224-001","Serveis","Lot 7: Districte d'Horta Guinardó","22/06/2017",1978266.34,"NO CONSTA","-65358.79","SÍ","","-3.30"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005225-002","Serveis","Lot 8: Neteja Ed. Districte de Nou Barris","22/06/2017",2106118.48,"NO CONSTA","-48050.76","SÍ","","-2.28"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005226-001","Serveis","Lot 9: Ed. Neteja Districte Sant Andreu","22/06/2017",2252305.88,"NO CONSTA","-43228.00","SÍ","","-1.92"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005227-001","Serveis","Lot 10: Net. Edifici Sant Martí","22/06/2017",2878706.28,"NO CONSTA","-138311.03","SÍ","","-4.80"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005227-002","Serveis","Lot 10: Net. Edifici Sant Martí","22/06/2017",2878706.28,"NO CONSTA","-25000.00","SÍ","","-0.87"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17002843-003","Serveis","Serveis de procuradoria de l'Ajuntament","24/10/2017",160000.72,"24/10/2019","32000.14","SÍ","","20.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17004824-002","Serveis","MANTENIMENT SIST.SEGURETAT, INCENDIS LOT 1","18/06/2018",489813.98,"NO CONSTA","54860.23","SÍ","","11.20"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17004830-001","Serveis","MANTENIMENT SIST.SEGURETAT, INCENDIS LOT 2","04/12/2017",987965.68,"13/12/2019","135865.94","SÍ","","13.75"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17002791-003","Serveis","servei auxiliar d'atenció als usuaris Arxiu Cont.","28/11/2017",129101.34,"NO CONSTA","11999.88","SÍ","","9.29"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17002651-003","Serveis","Servei de la impressió, escaneig i còpia a la GR","31/01/2018",2079681.6,"NO CONSTA","173306.80","SÍ","","8.33"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17005804-005","Obres","Obres reforma planta tercera Casa Gran Ajuntament","04/05/2018",1009554.91,"NO CONSTA","504777.46","SÍ","","50.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17005804-006","Obres","Obres reforma planta tercera Casa Gran Ajuntament","04/05/2018",1009554.91,"NO CONSTA","67026.13","SÍ","","6.64"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18001905L01-002","Serveis","Elaboració de les actes Consell Municipal","08/06/2018",47100.0,"NO CONSTA","10466.67","SÍ","","22.22"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18001905L02-002","Serveis","Elaboració de les actes Consell Municipal","08/06/2018",69708.0,"NO CONSTA","15940.67","SÍ","","22.87"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18001905L03-002","Serveis","Ciutat Vella, Eixample, Sarrià-Sant Gervasi Gràcia","08/06/2018",58090.0,"NO CONSTA","12908.88","SÍ","","22.22"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18001905L04-001","Serveis","Horta Guinardó, Nou Barris i Sant Martí","08/06/2018",43567.5,"NO CONSTA","9681.66","SÍ","","22.22"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18004885-001","Subministraments","Contractació derivada Paper raima reciclat","15/11/2018",20150.31,"31/10/2019","4666.75","SÍ","","23.16"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18004783-002","Serveis","Viatges càrrecs electes i personal Direcció Alcald","02/01/2019",120000.0,"19/11/2019","10000.00","SÍ","","8.33"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003271-005","Obres","OBRES REFORMA PG. JOAN DE BORBÓ, 76, 2PL. EL FAR","28/12/2018",100131.55,"NO CONSTA","100131.55","SÍ","","100.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003293-001","Obres","Obres redistribució edf. Pi i Sunyer, 8, 1a. pl.","28/12/2018",243058.81,"01/04/2019","5 SETMANES","SÍ","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005377-001","Serveis","CORRECCIÓ TRADUCCIÓ TEXTOS GERÈNCIA RECURSOS","09/01/2019",30000.0,"NO CONSTA","-21627.18","SÍ","","-72.09"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003447L01-001","Serveis","Manteniment Via Pública Dte CIUTAT VELLA 2019-2021","12/03/2019",2224823.25,"03/12/2019","30000.00","SÍ","","1.35"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003447L04-001","Serveis","Manteniment Via Pública LES CORTS 2019-2021","13/03/2019",1185251.07,"29/11/2019","59262.55","SÍ","","5.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","19001584-001","Serveis","Impressió documents per organització actes","21/03/2019",17264.28,"NO CONSTA","-15704.16","SÍ","","-90.96"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003448L01-001","Serveis","Mant. edificis Lot 1 Ger. Recursos, Ciutat Vella","01/06/2019",6746804.9,"30/12/2019","162288.74","SÍ","","2.41"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003448L02-001","Serveis","Mant. edificis Lot 2 Ger. Drets Social, Eixample","01/06/2019",6193586.22,"19/12/2019","76153.08","SÍ","","1.23"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003448L03-001","Serveis","Mant. edificis Lot 3 Seguretat i Prev, Ecol.Urbana","01/06/2019",4755069.55,"20/12/2019","675000.00","SÍ","","14.20"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003448L04-001","Serveis","Mant. edificis Lot 4 Sants-Montjuic, Les Corts","01/06/2019",3725104.73,"13/12/2019","32140.77","SÍ","","0.86"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003448L05-001","Serveis","Mant. edificis Lot 5 Sarrià-Sant Gervasi, Gràcia","01/06/2019",3015253.0,"30/12/2019","40000.00","SÍ","","1.33"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003968L02-001","Serveis","LOT 2 DISTRICTE DE L'EIXAMPLE","03/06/2019",4770767.31,"NO CONSTA","SUBS. CONS. GARANTIA","SÍ","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18003968L10-001","Serveis","LOT 10 DISTRICTE DE SANT MARTÍ","03/06/2019",6109022.44,"NO CONSTA","SUBS. CONS. GARANTIA","SÍ","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005082L02-002","Serveis","Reproducció paper/digital a demanda usuaris AMD","08/08/2019",9212.88,"00/00/00","1610.05","SÍ","","17.48"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","19002113-001","Obres","Obres climatització c. Avinyó 15 planta 3, 4 i 5","30/09/2019",155241.58,"NO CONSTA","15000.00","SÍ","","9.66"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos Humans i Organització","16000873-006","Serveis","RECONEIXEMENT MÈDICS DE VIGILÀNCIA DE LA SALUT","02/11/2016",680842.24,"NO CONSTA","-75000.00","SÍ","","-11.02"
"AJUNTAMENT DE BARCELONA","Gerència Municipal","19000941-001","Serveis","AUDITORIA DE L’ESTAT DE L’ESPAI PÚBLIC A BCN","01/04/2019",206506.66,"NO CONSTA","40543.07","SÍ","","19.63"
"AJUNTAMENT DE BARCELONA","Gerència de Turisme, Comerç i Mercats","19000239-001","Serveis","Despeses viatges Gerència Turisme, Comerç i Mercat","04/03/2019",6050.0,"03/07/2019","605.00","SÍ","","10.00"
"AJUNTAMENT DE BARCELONA","Gerència de Turisme, Comerç i Mercats","19003774-001","Serveis","SERVEIS ARTÍSTICS DE L'ACTE D’ENCESA NADAL 2019-20","07/11/2019",127050.0,"07/11/2019","0.00","SÍ","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","16005397-002","Serveis","SERVEI D'ATENCIÓ ASSESSORAMENT DE L'O.N.D","21/03/2017",125135.3,"NO CONSTA","10828.80","SÍ","","8.65"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","17002612-002","Serveis","Servei de primera acollida, especialitzats SAIER","25/10/2017",1582394.64,"NO CONSTA","107859.97","SÍ","","6.82"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","17002612-003","Serveis","Servei de primera acollida, especialitzats SAIER","25/10/2017",1582394.64,"NO CONSTA","30476.12","SÍ","","1.93"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","17002834-001","Serveis","Gestió, impuls i dinamització Centre Recursos DH","31/01/2018",249853.6,"15/03/2019","0.00","SÍ","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","18002708-001","Serveis","Servei atenció telefònica, gestió i tram. 010","19/02/2019",11021334.34,"NO CONSTA","-642911.17","SÍ","","-5.83"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","19001461-001","Serveis","Serveis de traducció i correcció de textos","02/04/2019",18876.0,"NO CONSTA","0.00","0","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència Drets de Ciutadania, Participació i Transparència","19002112-001","Subministraments","Trobada BCN Ciutat Diversa (2019-2020)","26/08/2019",164424.86,"10/12/2019","12829.33","SÍ","","7.80"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","18003713","Serveis","Neteja, descontaminació equips respiracio SPEIS","31/07/2019",503536.1,"17/10/2019","177706.79","Reajustament anualitats","","0.35"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","19002901","Serveis","Suport organització comunitats veïns i veïnes","30/10/2019",332000.0,"19/11/2019","6916.66","Reajustament anualitats","","0.02"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","19002770","Serveis","Mant.preventiu i correctiu eines hidràuliques SPEIS Lot 1","05/12/2019",85498.6,"19/12/2019","9406.80","Reajustament anualitats","","0.11"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","18002285","Subministraments","Subministrament de material d’impremta per a les campanyes de comunicació de l’Àrea d’Ecologia Urbana 2018-2019","08.01.2019",120028.5,"27.08.2019","24005.70","X","","0.20"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16001721","Serveis","Assistència Tècnica i Control de Qualitat del Contracte de Conservació de l'Enllumenat Públic de Barcelona (2016-19) ","14.12.2019",775473.85,"31.10.2019","21000.00","X","","0.03"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","18004961","Mixte","Subministrament i serveis de col·locació i retirada de plafons electorals durant el període 2019-2021","05.04.2019",73928.79,"25.10.2019","20500.00","X","","0.28"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002516","Serveis","Conservació de les instal·lacions d'enllumenat - Lot 1 (Ciutat Vella, Eixample i Sants-Montjuïc)","05.12.2016",17374923.7,"09.12.2019","40000.00","X","","#VALOR!"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002517","Serveis","Conservació de les instal·lacions d'enllumenat - Lot 2 (Les Corts, Sarrià-Sant Gervasi, Gràcia i Horta-Guinardó)","05.12.2016",17641863.6,"09.12.2019","160000.00","X","","#VALOR!"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002518","Serveis","Conservació de les instal·lacions d'enllumenat - Lot 3 (Nou Barris, Sant Andreu i Sant Martí)","05.12.2016",21083212.7,"09.12.2019","20000.00","X","","#VALOR!"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16005605","Serveis","Serveis de recollida i trasllat d’animals de companyia perduts o abandonats a la ciutat de Barcelona al Centre d’Acolliment d’Animals de Companyia de Barcelona (CAACB), ","06.10.2017",323000.0,"16.12.2019","32300.00","X","","0.10"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","14003093","Serveis","Manteniment del clavegueram de Barcelona (2015-2022)","16.02.2015",103512021.28,"23.12.2019","54132.10","X","","0.00"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","17006454","Serveis","Servei de Manteniment d'Escales Mecàniques, Ascensors Verticals i Ascensors Inclinats 2018-2020","13.07.2018",3384216.51,"23.12.2019","100000.00","X","","0.03"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000527","Serveis","Zona Nord. Gestió i execució dels serveis de Neteja de l’Espai Públic i de recollida de Residus Municipals a la ciutat de Barcelona","28.10.2009",299101320.4,"23.12.2019","2449493.09","","X","14.27"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000528","Serveis","Zona Centre. Gestió i execució dels serveis de Neteja de l’Espai Públic i de recollida de Residus Municipals a la ciutat de Barcelona","28.10.2009",797482894.16,"23.12.2019","2443861.42","","X","14.24"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000529","Serveis","Zona Est. Gestió i execució dels serveis de Neteja de l’Espai Públic i de recollida de Residus Municipals a la ciutat de Barcelona","28.10.2009",407731830.46,"23.12.2019","2112682.91","","X","12.31"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000530","Serveis","Zona Oest. Gestió i execució dels serveis de Neteja de l’Espai Públic i de recollida de Residus Municipals a la ciutat de Barcelona","28.10.2009",490108976.24,"23.12.2019","977114.10","","X","5.69"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","17005534","Serveis","Lot 1. Zona Oest. Manteniment de la senyalització horitzontal, vertical, informativa urbana i abalisament","07.02.2019",4400000.0,"23.12.2019","299670.57","X","","0.07"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002516","Serveis","Conservació de les instal·lacions d'enllumenat - Lot 1 (Ciutat Vella, Eixample i Sants-Montjuïc)","05.12.2016",17374923.7,"27.09.2019","40000.00","X","","0.31"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002517","Serveis","Conservació de les instal·lacions d'enllumenat - Lot 2 (Les Corts, Sarrià-Sant Gervasi, Gràcia i Horta-Guinardó)","05.12.2016",17641863.6,"27.09.2019","80000.00","X","","0.62"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002518","Serveis","Conservació de les instal·lacions d'enllumenat - Lot 3 (Nou Barris, Sant Andreu i Sant Martí)","05.12.2016",21083212.7,"27.09.2019","10000.00","X","","0.08"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","18000071","Serveis","Servei d’acolliment d’animals del Centre d’Acollida d’Animals de companyia de Barcelona (CAACB) desplaçats del centre (2018-2020), amb mesures de contractació pública sostenible""","23.09.2019",437233.5,"23.09.2019","53308.00","X","","0.12"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16006080","Serveis","Servei de manteniment dels paviments de les calçades de la ciutat de Barcelona (2017-2020). Lot 1","26.01.2017",14018532.48,"27.09.2019","650000.00","X","","7.57"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16006085","Serveis","Servei de manteniment dels paviments de les calçades de la ciutat de Barcelona (2017-2020). Lot 2","26.01.2017",11296003.48,"27.09.2019","350000.00","X","","4.08"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16006080","Serveis","Servei de manteniment dels paviments de les calçades de la ciutat de Barcelona (2017-2020). Lot 1","26.01.2017",14018532.48,"20.12.2019","100000.00","X","","1.17"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16006085","Serveis","Servei de manteniment dels paviments de les calçades de la ciutat de Barcelona (2017-2020). Lot 2","26.01.2017",11296003.48,"20.12.2019","900000.00","X","","10.49"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","15001694","Serveis","Servei de manteniment i reparació de les instal•lacions i sistemes de regulació del trànsit a la ciutat de Barcelona – Lot 1","30.09.2015",6082107.49,"20.12.2019","194619.55","","X","0.03"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","16006809","Serveis","Serveis auxiliars suport al funcionament i activitats del Districte de Ciutat Vella, reservat a CET- Modificació per ampliació servei","31/05/2017",122335.53,"26/03/2019","8530.44","X","","0.07"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","19002357","Obres","Obres obertura dels arcs façana equipament c/Tàpies, 6- Modificació del projecte i execució de treballs que no es van incloure al contracte original","11/06/2019",82619.98,"05/12/2019","5958.44","","X","0.07"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","19002591","Obres","Microintervencions Jardins St Pau Camp (fase 1)---  Modificació ampliació termini","29/08/2019",216665.98,"12/12/2019","","","X",""
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","19002499","Obres","Instal·lació i integració de càmeres de gestió del trànsit al Casc Antic Nord--- Modificació ampliació termini","29/08/2019",135303.93,"21/11/2019","","","X",""
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","19002499","Obres","Instal·lació i integració de càmeres de gestió del trànsit al Casc Antic Nord- Modificació projecte canvi ubicació d'una càmera","29/08/2019",135303.93,"20/12/2019","7466.38","","X","0.06"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","16C00003","concessió serveis","Gestió i explotació Ccívic Fort Pienc","01/07/2016",668701.26,"11/10/2019","11410.82","X","",""
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","17006723","Serveis","Gestió i dinamització Casals Gent Gran(alliberament)","31/07/2018",2489297.79,"13/12/2019","-138889.96","X","",""
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","18000171","Serveis","Dinamització i Organització de Casals de Gent Gran del Districte de Sants-Montjuïc","22/08/2018",806033.22,"13/02/2019","29829.18","x","","0.04"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","19001651","Obres","Renovació sistema climatització Biblioteca Francesc Candel","24/07/2019",273961.7,"09/12/2019","2884.88","","x","0.01"
"AJUNTAMENT DE BARCELONA","Districte de Gràcia","17005597","SERVEIS","CONTROL ACCESSOS SEU DEL DISTRICTE DE GRÀCIA","28.02.2018",47135.55,"24.10.2018","1187.31","X","","2.52"
"AJUNTAMENT DE BARCELONA","Districte d'Horta-Guinardó","18002215","Obres","Obres plaça Joan Cortada","07/11/2018",248276.34,"18/07/2019","68683.23","","x","0.28"
"AJUNTAMENT DE BARCELONA","Districte de Sant Andreu","19002868","Obres","Obres pistes Hoquei La Sagrera","13/09/2019",245519.67,"20/12/2019","89382.20","x","x","5,69%+30,72"
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","19000325","Subministraments","Lloguer de cabines sanitaries","27/05/2019",25352.0,"","ampliacio 2.535,19 €","X","","0.10"
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","19000806L01","Serveis","Serv Red Proj Eficiencia energètica edificis mpals","07/08/2019",25547.08,"","ampliacio termini","","X",""
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","18003174","Obres","Obra restauració xemeneia Can Ricart","03/10/2018",141142.35,"","suspensió temporal","","X",""
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","","","","","","","ampliacio 69.876,04 €","","X","0.50"
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","","","","","","","prorroga termini execució","","",""
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","18003766","Obres","Obra adequació Nau c/Tanger","23/10/2018",285837.86,"","-4724.49","","X","0.02"
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","","","","","","","prorroga termini execució","","X",""
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","18003841","Obres","Obra accessos i accessibilitat Ca l'Isidret","05/12/2018",107973.63,"","ampliació 12.222,66 €","","X","0.11"
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","18004521L1","Obres","Lot 1 Accessibilitat guals Gran Via costat muntanya","21/12/2018",60993.97,"20/12/2019","-4652.24","","X","0.08"
"AJUNTAMENT DE BARCELONA","Districte de Sant Martí","18004521L2","Obres","Lot 2 Accessibilitat guals Gran Via costat mar","21/12/2018",62813.0,"20/12/2019","ampliació 5.866,33 €","","X","0.09"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA CICLE DE L'AIGUA, S.A.","E18-0201","Serveis ","Contracte del servei de revisió anual i actuacions puntuals de correctiu i renovació de bombes d'impulsió de clavegueram, amb mesures de contractació pública sostenible","20/02/19 ",43603.56,"01/10/2019","859.07","","x",""
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA CICLE DE L'AIGUA, S.A.","E18-0201","Serveis ","Contracte del servei de revisió anual i actuacions puntuals de correctiu i renovació de bombes d'impulsió de clavegueram, amb mesures de contractació pública sostenible","20/02/19 ",43603.56,"20/12/2019","9139.46","","x",""
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11871","Serveis","EXP. BA 12/19 SERVEIS PER A LA PARTICIPACIÓ I RESERVA D’ESPAIS A FAVOR DE BARCELONA ACTIVA EN EL CONGRÉS D’OCUPACIÓ I ORIENTACIÓ PROFESSIONAL JOBARCELONA. + MODIFICACIO AMB DATA 24/12/2019 (IMPORT) + PRORROGA AMB DATA14/01/2020 (TEMPS)","13/03/2019",16940.0,"14/01/2020","12100.00","x","","0.71"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12042","Subministraments","EXP. BA 30/19 SUBMINISTRAMENT, INSTAL·LACIÓ I LEGALITZACIÓ D’UNA PLANTA SOLAR FOTOVOLTAICA EN L’EQUIPAMENT PARC TECNOLÒGIC DE BARCELONA ACTIVA. + MODIFICACIO DE CONTRACTE AMB DATA 09/12/2019","09/12/2019",64432.67,"09/12/2019","13160.26","x","","0.20"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","12096","Serveis","EXP. BA 27/19 LOT 1 CONTRACTE DE MIXT DE SERVEIS I SUBMINISTRAMENTS PER L’ACTUALITZACIÓ DELS BLOCS A I B DE L’EQUIPAMENT DEL PARC TECNOLÒGIC.+ MODIFICACIÓ AMB DATA 18/11/2019","18/11/2019",23093.09,"18/11/2019","11396.72","x","","0.49"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11964","Serveis","EXP. 09/19 SERVEIS DE DISSENY I IMPLEMENTACIÓ D’UN SISTEMA PILOT PER MESURAR, ANALITZAR I ESTANDARDITZAR INDICADORS DELS IMPACTES AMBIENTALS, SOCIALS I DE GOVERNANÇA D’UN GRUP DE PROVEÏDORES DE SERVEIS A LES PERSONES DE L’AJUNTAMENT DE BARCELONA I BARCELONA ACTIVA.+ MODIFICACIO AMB DATA 08/10/2019","08/10/2019",25047.0,"08/10/2019","1317.69","x","","0.05"
"SOCIETATS PRIVADES MUNICIPALS","BARCELONA ACTIVA, S.A.","11573","Serveis","EXP. 12/18 LOT 1: SERVEIS DE MANTENIMENT INTEGRAL DELS EDIFICIS: SEU CENTRAL, INCUBADORA D'EMPRESES GLÒRIES PLANTES VESTÍBUL I ALTELL, PRIMERA I SEGON DE L'EDIFICI MADIATIC I MÒDUL C-D DE LA PLANTA TERCERA DE TORRE LLACUNA DEL CONTRACTE DE SERVEIS DE MANTENIMENT GLOBAL DELS EDIFICIS DE BARCELONA ACTIVA, AMB INCORPORACIÓ D’OBJECTIUS D’EFICIÈNCIA SOCIAL. + MODIFICACIO AMB DATA 10/12/2018 + MODIFICACIO AMB DATA 24/12/2019","01/08/2018",306130.0,"24/12/2019","8307.21","x","","0.03"
