"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcformatmimetype","dcidentifierBG","dcidentifierentitat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 36"
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1929","1929",1929,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1929 11664) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1929 11664) | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1929 11664)","Vista des Consolat i Sant Josep. | View from Consulate and San Jose. | Vista desde Consulado y San José.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114391","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Wharves | Muelles","","fotografies | documents digitalitzats","Composición de fotos aéreas de la bahía.","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1900 | 1901 | 1902 | 1903 | 1904 | 1905 | 1906 | 1907 | 1908 | 1909 | 1910 | 1911 | 1912 | 1913 | 1914 | 1915 | 1916 | 1917 | 1918 | 1919 | 1920 | 1921 | 1922 | 1923 | 1924 | 1925 | 1926 | 1927 | 1928 | 1929 | 1930","1900",1900,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-1-1729) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:1-1-1729) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1900 a 1930. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:1-1-1729) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1900 a 1930.","Vista des de l'interior de la ciutat de laBahía y del Castillo de los Tres Reyes del Morro, s'observa bandera nord-americana hissada en fortalesa. | View from the interior of the city of the Bay and the Castle of the Tres Reyes del Morro, there is an American flag hoisted in a fortress. | Vista desde el interior de la ciudad de la Bahía y del Castillo de los Tres Reyes del Morro, se observa bandera norteamericana izada en fortaleza.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114404","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Wharves | Military buildings | Muelles | Edificio militar","","fotografies | documents digitalitzats","Castillo San Salvador de la Punta. Vista externa","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1928","1928",1928,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1928 11742) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1928 11742 | Vista aèria desembocadura del riu Almendares) | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1928 11742 | Vista aèria desembocadura del riu Almendares)","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114387","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Urbanisme | Carrers | City planning | Streets | Urbanismo | Calles","","fotografies | documents digitalitzats","Vista aérea desembocadura del río Almendares","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1928","1928",1928,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1928 11141) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1928 11141) | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1928 11141)","Vista aèria. | Aerial view. | Vista aérea.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114384","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Urbanisme | Carrers | City planning | Streets | Urbanismo | Calles","","fotografies | documents digitalitzats","Vista aérea de la Batería de Santa Clara","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1928","1928",1928,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1928 08513). | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1928 08513) | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1928 08513)","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114382","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Urbanisme | Carrers | Infraestructures de transport | City planning | Streets | Transportation buildings | Urbanismo | Calles | Infraestructuras del transporte","","fotografies | documents digitalitzats","Avenida G apertura desde 29 a Zapata foto aérea del 24 de abril","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1934","1934",1934,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1934 01735) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original: AER 1934 01735) | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Fechada 23 de agosto de 1934. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original: AER 1934 01735)","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114393","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Carrers | Urbanisme | Streets | City planning | Calles | Urbanismo","","fotografies | documents digitalitzats","Vista aérea Castillo del Príncipe y calle G","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. District 3. Sants-Montjuïc | Barcelona. Distrito 3. Sants-Montjuïc | Barcelona. Districte 3. Sants-Montjuïc | Montjuïc, Parc (Barcelona) | Montjuïc, Parque (Barcelona) | Montjuïc, Park (Barcelona)","1911","1911",1911,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001935). Unknown author | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn001935). Autor desconocido | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn001935). Autor desconegut | Data de publicació basada en la data de creació","Casaramona textile factory in Montjuïc. Exterior view | Fàbrica tèxtil Casaramona a Montjuïc. Vista exterior | Fábrica textil Casaramona en Montjuïc. vista exterior","","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 18 x 24 cm, gelatina DOP","image/jpeg","","","http://hdl.handle.net/11703/110382","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Fàbriques | Modernisme | Factories | Art nouveau | Fábricas | Modernismo | Edificis industrials | Industrial buildings | Edificis modernistes | Edificios industriales | Edificios modernistas | Modernist buildings | Puig Cadafalch, Josep | Puig Cadafalch, Josep | Puig Cadafalch, Josep | Fàbrica Casaramona (Barcelona) | Fàbrica Casaramona (Barcelona) | Fàbrica Casaramona (Barcelona)","","fotografies | documents digitalitzats","Fàbrica tèxtil Casaramona","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. Districte 1. Ciutat Vella | Colom, Passeig (Barcelona) | Bosch i Alsina, Moll (Barcelona) | Barcelona. District 1. Ciutat Vella | Colom, Boulevard (Barcelona) | Bosch i Alsina, Moll (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Colom, Paseo (Barcelona) | Bosch i Alsina, Moll (Barcelona)","1900","1900",1900,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn001252). Autor desconegut | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001252). Unknown author | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn001252). Autor desconocido | Fecha de publicación basada en la fecha de creación","Passeig de Colom. En primer terme el moll de la fusta. Al fons el monument a Cristòfol Colom i la muntanya de Montjuïc | Paseo de Colom. In the first place, the wharf of the wood. In the background, the monument to Christopher Columbus and Montjuïc mountain | Paseo de Colón. En primer término el muelle de la madera. Al fondo el monumento a Cristóbal Colón y la montaña de Montjuïc","","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 12 x 17 cm, gelatina DOP","image/jpeg","","","http://hdl.handle.net/11703/110395","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Port de Barcelona | Ports | Carrers | Port de Barcelona | Harbors | Streets | Port de Barcelona | Puertos | Calles","","fotografies | documents digitalitzats","Passeig de Colom","","image","info:eu-repo/semantics/other",""
"Esplugas, Antoni","","Barcelona. Districte 1. Ciutat Vella | Ciutadella, Parc (Barcelona) | Barcelona. District 1. Ciutat Vella | Ciutadella, Park (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Ciutadella, Parque (Barcelona)","1888","1888",1888,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000132) | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000132 | Issued date based on created date | Archivo depositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000132) | Fecha de publicación basada en la fecha de creación","Parc de la Ciutadella : passeig del Oms . Gent asseguda en un banc . A l' esquerra, exterior de l' Umbracle . Al fons el Castell dels Tres Dragons | Parc de la Ciutadella: Paseo del Oms. People sitting on a bench. To the left, outside the Umbracle. In the background the Castle of the Three Dragons | Parque de la Ciutadella: paseo del Oms. Gente sentada en un banco. A la izquierda, exterior del Umbracle. Al fondo el Castillo de los Tres Dragones","Digitalitzat per l'Arxiu Fotogràfic de la Ciutat de Barcelona","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 16,2 X 21,4 cm, albúmina","image/jpeg","","","http://hdl.handle.net/11703/110286","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Parcs | Modernisme | Parks | Art nouveau | Parques | Modernismo","","fotografies | documents digitalitzats","Parc de la Ciutadella","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-2-5056) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:1-2-5056) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:1-2-5056) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","Vista Nord de Castillo de los Tres Reyes del Morro. El Castillo de los Tres Reyes del Morro, va ser construït a partir de 1585, com a part del sistema de fortificacions defensives de la badia de l'Havana, contra atacs de corsaris i pirates. El 1982, va se | North view of Castillo de los Tres Reyes del Morro. The Castle of the Tres Reyes del Morro, was constructed as of 1585, like part of the system of defensive fortifications of the bay of Havana, against attacks of corsairs and pirates. In 1982, it was decl | Vista Norte de Castillo de los Tres Reyes del Morro. El Castillo de los Tres Reyes del Morro, fue construido a partir de 1585, como parte del sistema de fortificaciones defensivas de la bahía de La Habana, contra ataques de corsarios y piratas. En 1982, f","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114437","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Wharves | Military buildings | Muelles | Edificio militar","","fotografies | documents digitalitzats","Castillo de los Tres Reyes del Morro.Reproducción grabado.Tempestad velero.","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1927","1927",1927,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:08504 CLL 03 1927) | Archivo depositario del documento  original: Oficina del Historiador de la Ciudad de La Habana(registro original: 08504 CLL 03 1927) | .Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Oficina del Historiador de la Ciudad de La Habana(registre original: 08504 CLL 03 1927)","Vista de l'Avinguda del Port de l'Havana, des de la Fortalesa de Sant Carlos de la Cabaña. | View of the Avenue of the Port of Havana, from the Fortress of San Carlos de La Cabaña. | Vista de la Avenida del Puerto de La Habana, desde la Fortaleza de San Carlos de La Cabaña.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114369","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Carrers | Streets | Calles","","fotografies | documents digitalitzats","Avenida G antes de sembrarle palmas.","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1927","1927",1927,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-1-2163) | Unknow Autor | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:1-1-2163) | Autor desconocido | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:1-1-2163) | Autor desconegut","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114407","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Banderes | Wharves | Military buildings | Flags | Muelles | Edificio militar | Banderas","","fotografies | documents digitalitzats","Castillo San Salvador de la Punta. Vista Oeste. Bandera cubana.","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1926","1926",1926,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-1-2161) | Unknow author | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:1-1-2161) | Autor desconocido | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:1-1-2161) | Autor desconegut","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114405","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Banderes | Wharves | Military buildings | Flags | Muelles | Edificio militar | Banderas","","fotografies | documents digitalitzats","Castillo San Salvador de la Punta. Vista externa. Vegetación","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1928","1928",1928,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:AER 1928 05334) | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:AER 1928 05334) | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:AER 1928 05334)","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114381","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Capitolio de La Habana | Hotels | Capitolio de La Habana | Hotels | Capitolio de La Habana | Hoteles","","fotografies | documents digitalitzats","Vista desde la cúpula del Capitolio Hotel Saratoga Fuente de La India","","image","info:eu-repo/semantics/other",""
"Vidal Ventosa, Joan","","Barcelona. Districte 1. Ciutat Vella | Barcelona. Districte 10. Sant Martí | Barcelona. District 1. Ciutat Vella | Barcelona. District 10. Sant Martí | Barcelona. Distrito 1. Ciutat Vella | Barcelona. Distrito 10. Sant Martí","1935","1935",1935,"Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn003988). | Data de publicació basada en la data de creació | Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn003988). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn003988). | Fecha de publicación basada en la fecha de creación","Barraques del barri del Somorrostro | Barracks of the Somorrostro neighborhood | Barracas del barrio del Somorrostro","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111462","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es","Barraquisme | Squatter settlements | Barrios de chabolas","","fotografies | documents digitalitzats","Somorrostro. Barraques","","image","info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona. Districte 2. Eixample | Gràcia, Passeig (Barcelona) | Barcelona. Distrito 2. Eixample | Gràcia, Paseo (Barcelona) | Barcelona. District 2. Eixample | Gràcia, Boulevard (Barcelona)","1905","1905",1905,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn000472). Unknown author | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn000472). Autor desconocido | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn000472). Autor desconegut | Data de publicació basada en la data de creació","Group of people outside the Baixador of Passeig de Gràcia. | Grup de gent a l'exterior del Baixador del passeig de Gràcia. | Grupo de gente en el exterior del Apeadero del paseo de Gracia.","","image/jpeg","1 fotografia","Paper positivat, blanc i negre, 12,3 x 17,2 cm, gelatina DOP","image/jpeg","","","http://hdl.handle.net/11703/110379","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Estacions de ferrocarrils | Railroad stations | Rail transport | Estaciones de ferrocarril | Transporte ferroviario","","fotografies | documents digitalitzats","Baixador del passeig de Gràcia","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1927 | 1928 | 1929","1927",1927,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:03330 CAP Brillante) | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registro original:03330 CAP Brillante) | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1927 a 1929. | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del la ciudad de La Habana(registre original:03330 CAP Brillante) | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1927 a 1929.","","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114374","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Capitolio de La Habana | Capitolio de La Habana | Capitolio de La Habana","","fotografies | documents digitalitzats","Capitolio de La Habana Brillante","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-2-3685) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:1-2-3685) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:1-2-3685) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","El Castell de la Real Fuerza, és la primera de les cinc fortificacions que componen el sistema de Fotificaciones declarat Patrimoni de la Humanitat el 1982. Les seves tasques de construcció van començar el 1578, amb motiu dels atacs constants de corsaris | The Castillo de la Real Fuerza, is the first of the five fortifications that make up the Photographic System declared a World Heritage Site in 1982. Its construction work began in 1578, due to the constant attacks of corsairs and pirates suffered by the p | El Castillo de la Real Fuerza, es la primera de las cinco fortificaciones que componen el sistema de Fotificaciones declarado Patrimonio de la Humanidad en 1982. Sus labores de construcción comenzaron en 1578, con motivo de los ataques constantes de corsa","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114429","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Vaixells | Wharves | Military buildings | Ships | Muelles | Edificio militar | Barcos","","fotografies | documents digitalitzats","Castillo de los Tres Reyes del Morro.Faro","","image","info:eu-repo/semantics/other",""
