"Tipus ens","Nom ens","Règim jurídic d'aplicació","Escala","Subescala","Categoria","Grup","Subgrup","Temporalitat","Gènere","Nombre"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Fix","H","63"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Fix","D","113"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Interí i temporal","H","35"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala de gestió","","Tècnic/a mitjà/na","A2","Interí i temporal","D","51"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Fix","H","127"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Fix","D","367"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Interí i temporal","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala administrativa","","Administratiu/iva","C1","Interí i temporal","D","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Fix","H","73"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Fix","D","155"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Interí i temporal","H","165"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala auxiliar","","Auxiliar administratiu/iva","C2","Interí i temporal","D","341"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Fix","H","3"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Fix","D","12"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala subalterna","","Subaltern/a","E","Interí i temporal","D","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Fix","H","118"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Fix","D","172"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Interí i temporal","H","184"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Titulat/da superior","A1","Interí i temporal","D","283"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Fix","D","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Fix","H","87"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Fix","D","134"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Interí i temporal","H","56"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","","Tècnic/a de grau mitjà","A2","Interí i temporal","D","66"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Fix","H","4"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Fix","D","5"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Interí i temporal","H","14"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de salut","","A2","Interí i temporal","D","5"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Fix","D","11"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Personal de docència","","A2","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subsecala tècnica","Auxiliar tècnic/a","","C1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Intendent","Policia local","A1","Fix","H","17"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Intendent","Policia local","A1","Fix","D","2"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Inspector","Policia local","A2","Fix","H","14"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Inspector","Policia local","A2","Fix","D","2"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sotinstpector","Policia local","C1","Fix","H","25"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sotinstpector","Policia local","C1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sergent","Policia local","C1","Fix","H","71"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sergent","Policia local","C1","Fix","D","6"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Caporal","Policia local","C2","Fix","H","231"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Caporal","Policia local","C2","Fix","D","28"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Agent","Policia local","C2","Fix","H","2324"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Agent","Policia local","C2","Fix","D","361"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sotsoficial","Servei d'Extinció d'incendis","A1","Fix","H","19"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sotsoficial","Servei d'Extinció d'incendis","A1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sergent","Servei d'Extinció d'incendis","A2","Fix","H","8"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Sergent","Servei d'Extinció d'incendis","A2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Caporal","Servei d'Extinció d'incendis","C1","Fix","H","69"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Caporal","Servei d'Extinció d'incendis","C1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Bomber de 1a.","Servei d'Extinció d'incendis","C1","Fix","H","244"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Bomber de 1a.","Servei d'Extinció d'incendis","C1","Fix","D","5"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Caporal","Servei d'Extinció d'incendis","C2","Fix","H","4"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Caporal","Servei d'Extinció d'incendis","C2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Bomber","Servei d'Extinció d'incendis","C2","Fix","H","73"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Bomber","Servei d'Extinció d'incendis","C2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Bomber accés","Servei d'Extinció d'incendis","C2","Fix","H","124"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","Bomber accés","Servei d'Extinció d'incendis","C2","Fix","D","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","C2","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","C2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","C2","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","C2","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","E","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","E","Fix","D","3"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","E","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials","","Personal d'oficis","E","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Titulat/ada superior","A1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Diplomat/ada","A2","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Tècnic/a especialista","C1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de comeses especials","","Auxiliars tècnics","C2","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","C2","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració especial","Subescala de serveis especials de personal d'oficis","","","E","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Fix","H","6"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Fix","D","21"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Fix","H","23"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Fix","D","44"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Fix","H","29"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Fix","D","19"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Fix","H","28"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Fix","D","35"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","E","Fix","H","3"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","E","Fix","D","18"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","A2","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C1","Interí i temporal","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL LABORAL ESTRUCTURAL","","","","Personal de conveni","C2","Interí i temporal","H",""
