"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Districte 6. Gràcia","","Barcelona. Districte 6. Gràcia","","","2014-10-07","2014","Presentada al Consell Plenari del Districte de Gràcia de 07-10-2014","","","application/pdf","12 p.","17344","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/86280","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aniversaris","Cultura i oci","mesures de govern","","Mesura de govern per a la commemoració del 150è aniversari del campanar de Gràcia","","text",""
"","Sector de Serveis Personals. Regidoria de Drets Civils","","Barcelona","","","1998-05-22","1998","Presentada al Plenari del Consell Municipal de 22-05-1998","","","application/pdf","1 p.","11338","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84470","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infants. Drets dels infants","Societat i benestar","mesures de govern","","Contra l'explotació laboral dels infants : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Districte 6. Gràcia","","Barcelona","","","2012-07-05","2012","Presentada al Consell Plenari del Districte de Gràcia de 05-07-2012","","","application/pdf","8 p.","18318","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84824","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura popular. Escoles","Cultura i oci","mesures de govern","","Cultura popular a les escoles : mesura de govern","","text",""
"","Àrea d'Empresa, Cultura i Innovació","","Barcelona. Gran Bretanya","2016","","2016-09-20","2016","Presentada a la Comissió d'Economia i Hisenda de 20-09-2016. Citada a la Gaseta Municipal de Barcelona, núm. 28 (30-10-2016). p. 5912-5917","","","application/pdf","17 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/98299","cat","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Inversions. Ocupació. Política econòmica. Integració econòmica","Economia","mesures de govern. plans estratègics","Pla Brexit 2016-2017","Barcelona davant el Brexit : Oportunitats i accions (Pla Brexit) : mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","2009. 2010","","2009-11-27","2009","Presentada al Plenari del Consell Municipal de 27-11-2009. Citada a la Gaseta Municipal núm. 3 (20-01-2010)","","","application/pdf","24 p.","4824","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84583","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Nadal","Cultura i oci","mesures de govern","","Mesura de govern Nadal a Barcelona (2 de desembre de 2009-6 de gener de 2010)","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 5. Sarrià-Sant Gervasi","","Barcelona. Districte 5. Sarrià-Sant Gervasi","2014","","2013-12-05","2013","Presentada al Consell Plenari del Districte de Sarrià-Sant Gervasi de 5-12-2013","","","application/pdf","3 p.","18137","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/83381","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Competicions esportives. Escoles","Educació. Esport","mesures de govern","","Olimpíades Escolars al Districte de Sarrià-Sant Gervasi 2014 : mesura de govern","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2013-05-21","2013","Presentada a la Comissió de Cultura, Coneixement, Creativitat i Innovació de 21-05-2013. Citada a la Gaseta Municipal núm. 20 (30-06-2013)","","","application/pdf","10 p.","11268","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84682","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Rendiment escolar. Motivació en l'educació. Qualitat de l'educació","Educació","mesures de govern","Compromís Municipal per a l'Èxit Escolar 2012-2015 (Barcelona)","Debat i aprèn, de compromís municipal per a l'èxit escolar : mesura de govern","","text",""
"","Institut Municipal d'Educació (Barcelona). París, Antoni","","Barcelona","2016. 2017. 2018. 2019. 2020","","2016-04-29","2016","Presentada al Plenari del Consell Municipal de 29-04-2016. Les mencions de responsabilitat s'han basat en els crèdits facilitats per l'àrea responsable. La data de creació/aprovació és la data de presentació de la Mesura de govern al Plenari del Consell Municipal.   L'elaboració del document es va encarregar per part de l'Institut Municipal d'Educació el mes de novembre de l'any 2015","","","application/pdf","28 p.","","Núm. Exp. 195/15","","organismes autònoms","","Mandat 2015-","http://hdl.handle.net/11703/106652","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Escoles bressol. Construcció","Educació","informes altres. mesures de govern","","Pla de construcció de noves escoles bressol de Barcelona : el context i la priorització dels nous centres : mesura de govern","Estudi sobre l'estat de les escoles bressol","text",""
"","Sector de Serveis Personals. Regidoria d'Educació","","Barcelona","","","2003-09-19","2003","Presentada al Plenari del Consell Municipal de 19-09-2003. Citada a la Gaseta Municipal núm. 31 (20-11-2003)","","","application/pdf","2 p.","13439","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84526","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Civisme","Societat i benestar","mesures de govern","","Campanya municipal per a la promoció del civisme a la ciutat de Barcelona : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2017. 2018. 2019. 2020","","2016-11-25","2016","Presentada al Consell Plenari del 25-11-2016. Citada a la Gaseta Municipal de Barcelona, núm. 34 (30-12-2016)","","Protocol d'actuació en episodis d'alta contaminació","application/pdf","41 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/99264","cat","","","","","","http://hdl.handle.net/11703/85163. http://hdl.handle.net/11703/83944","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació atmosfèrica","Medi ambient","mesures de govern. protocols. plans estratègics","Programa Metropolità de Mesures Contra la Contaminació Atmosfèrica 2017-2020 (Barcelona)","Programa de mesures contra la contaminació atmosfèrica : mesura de govern","Protocol d'actuació en episodis d'alta contaminació","text",""
"","Comissió d'Ecologia, Urbanisme i Mobilitat (Consell Municipal de Barcelona). Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025. 2026. 2027. 2028. 2029. 2030","","2017-05-17","2017","Podeu consultar la versió en català a: http://hdl.handle.net/11703/102316. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/104927","","","application/pdf","","","","","","","Mandat 2015-","http://hdl.handle.net/11703/104928","eng","","http://hdl.handle.net/11703/102316. http://hdl.handle.net/11703/104927","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes. Parcs. Jardins. Desenvolupament urbà sostenible","Medi ambient","mesures de govern. plans estratègics","Programa d'Impuls de la Infraestructura Verda Urbana 2015-2030 (Barcelona)","Stimulus programme for the city's urban green infrastructure : Government measure","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació. Districte 9. Sant Andreu","","Barcelona","","","2013-12-12","2013","Presentada al Consell Plenari del Districte de Sant Andreu de 12-12-2013","","","application/pdf","9 p.","18118","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84798","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aniversaris. Cultura catalana","Cultura i oci","mesures de govern","","Cicle de cultura catalana : Any de la Sardana. Commemoració 1714. Barcelona, capital de la cultura catalana : mesura de govern","","text",""
"","Sector de Serveis Generals. Regidoria de Funció Pública i Qualitat","","Barcelona","","","1995-10-27","1995","Presentada al Plenari del Consell Municipal de 27-10-1995","","","application/pdf","1 p.","11240","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84440","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis municipals","Sector públic","mesures de govern","Pla de Millora de la Qualitat dels Serveis Municipals 1995- (Barcelona)","Pla de millora de la qualitat dels serveis municipals : mesura de govern","","text",""
"","Foment de Ciutat, S.A.. Districte 9. Sant Andreu. Gerència Municipal. Àrea d'Ecologia, Urbanisme i Mobilitat","","Bon Pastor (Barcelona : Barri). Baró de Viver (Barcelona : Barri). Barcelona. Districte 9. Sant Andreu","2016. 2017. 2018. 2019. 2020","","2016-05-27","2016-07","Presentada al Consell Plenari de 27-05-2016","","","application/pdf","19 p.","","","","societats mercantils. districtes","","Mandat 2015-","http://hdl.handle.net/11703/101683","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Infraestructures urbanes. Equipaments col·lectius. Barris","Habitatge. Societat i benestar. Urbanisme i infraestructures","mesures de govern","Pla de Barris del Bon Pastor i Baró de Viver 2016-2020 (Barcelona). Pla de Barris 2016-2026 (Barcelona)","Mesura de govern per a la implementació del Pla de Barris contra la desigualtat als barris del Bon Pastor i Baró de Viver","","text",""
"","Àrea de Cultura, Coneixement, Creativitat i Innovació","","Barcelona","","","2012-03-30","2012","Presentada al Plenari del Consell Municipal de 30-03-2012. Citada a la Gaseta Municipal núm. 14 (10-05-2012)","","","application/pdf","4 p.","10267","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84675","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aniversaris","Cultura i oci","mesures de govern","","Commemoració a Barcelona del 300 aniversari dels fets de 1714 : mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona","","","2014-01-21","2014","Presentada a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 21-01-2014. Citada a la Gaseta Municipal núm. 8 (10-03-2014)","","","application/pdf","10 p.","12886","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84767","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Família","Societat i benestar","mesures de govern","","Barcelona és Família, 2014 : celebració a la ciutat de Barcelona del 20è aniversari de la proclamació per part de l'ONU de l'Any Internacional de la Família : mesura de govern","","text",""
"","Sector d'Urbanisme","","Barcelona. Districte 7. Horta-Guinardó","","","2000-04-28","2000","Presentada al Plenari del Consell Municipal de 28-04-2000. Citada a la Gaseta Municipal núm. 22 (20-07-2000)","","","application/pdf","1 p.","11395","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84844","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Urbanisme","Urbanisme i infraestructures","mesures de govern","Pla Director de la Vall d'Hebron 2000- (Barcelona)","Pla Director dels entorns de la Ronda de Dalt i la Vall d'Hebron en el Districte d'Horta Guinardó : mesura de govern","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","","","2016-02-17","2016-02-17","Podeu consultar l'Informe de seguiment de la mesura de govern a: http://hdl.handle.net/11703/108025","","","application/pdf","34 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/97350","cat","","http://hdl.handle.net/11703/108025","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Herbicides. Zones verdes. Espais públics","Medi ambient","mesures de govern","","Mesura de govern per aplicar l’eradicació de l’ús de Glifosat en els espais verds i la via pública municipals de Barcelona","","text",""
"","Sector de Serveis Personals","","Barcelona","2004","","2004-05-21","2004","Presentada al Plenari del Consell Municipal de 21-05-2004. Citada a la Gaseta Municipal núm. 22 (20-07-2004 )","","","application/pdf","3 p.","13231","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84533","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política cultural","Cultura i oci","mesures de govern","Agenda 21 de la cultura","Agenda 21 de la Cultura : mesura de govern","","text",""
"","Sector de Serveis Generals","","Barcelona","","","1996-12-20","1996","Presentada al Plenari del Consell Municipal de 20-12-1996","","","application/pdf","2 p.","11286","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84453","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Conflictes ètnics. Solidaritat","Societat i benestar","mesures de govern","","Destinar els descomptes que s'apliquin als treballadors i treballadores municipals, a causa del seguiment de la vaga convocada el dia onze de desembre, a la Plataforma per a la solució dels conflictes a la zona dels grans llacs : mesura de govern","","text",""
"","Àrea de Drets de Ciutadania, Participació i Transparència","","Barcelona","2017. 2018. 2019","","2016-12-14","2016","Presentada a la Comissió de Presidència, Drets de Ciutadania de 14-12-2016. Citada a la Gaseta Municipal de Barcelona, núm. 3 (30-01-2017), p. 732-737. A la portada: Programa Barcelona Ciutat de Drets","","","application/pdf","28 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/100134","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets humans. Política pública","Sector públic. Societat i benestar","mesures de govern","Programa Barcelona Ciutat de Drets 2016-2019","Pla de formació interna en drets humans i diversitat : accions per a l'efectivitat dels drets humans a la ciutat: mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria d'Educació","","Barcelona","","","2003-02-14","2003","Presentada al Plenari del Consell Municipal de 14-02-2003. Citada a la Gaseta Municipal núm. 14 (30-04-2003)","Digitalitzada pel SEDAC","","application/pdf","13 p.","13153","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/86255","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació","Educació","mesures de govern. documents digitalitzats","","El Compromís municipal per l'educació de l'alumnat amb necessitats educatives especials : mesura de govern","","text",""
"","Comissió d'Ecologia, Urbanisme i Mobilitat (Consell Municipal de Barcelona). Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","2015. 2016. 2017. 2018. 2019. 2020. 2021. 2022. 2023. 2024. 2025. 2026. 2027. 2028. 2029. 2030","","2017-05-17","2017","Presentada a la Comissió d'Ecologia, Urbanisme i Mobilitat de 17-05-2017. És base per la nota de premsa L'Ajuntament de Barcelona incrementarà 44 hectàrees de verd entre 2015 i 2019 , i en 165 hectàrees a l'horitzó 2030 [http://hdl.handle.net/11703/102601]. Podeu consultar la versió en català a:  http://hdl.handle.net/11703/102316. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/104928","","","application/pdf","72 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/104927","cas","","http://hdl.handle.net/11703/102316. http://hdl.handle.net/11703/104928","","","http://hdl.handle.net/11703/102322","","http://hdl.handle.net/11703/102601","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Zones verdes. Parcs. Jardins. Desenvolupament urbà sostenible","Medi ambient","mesures de govern. plans estratègics","Programa d'Impuls de la Infraestructura Verda Urbana 2015-2030 (Barcelona)","Programa de impulso de la infraestructura verde urbana : medida de gobierno","","text",""
"","Sector de Serveis Personals. Regidoria de Drets Civils","","Barcelona","","","1999-11-26","1999","Presentada al Plenari del Consell Municipal de 26-11-1999. Citada a la Gaseta Municipal núm. 2 (20-01-2000)","","","application/pdf","3 p.","11388","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84837","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics","Legislació i justícia","mesures de govern","","Difusió del Decret 200/1999, de 27 de juliol, sobre el dret d'admissió als establiments públics : mesura de goven","","text",""
"","Àrea d'Acció Social i Ciutadania","","Barcelona","","","2010-04-20","2010","Presentada a la Comissió d'Acció Social i Ciutadania de 20-04-2010. Citada a la Gaseta Municipal núm. 18 (10-06-2010)","","","application/pdf","16 p.","11132","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84578","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa. Marginació social. Integració social. Serveis socials","Societat i benestar","mesures de govern","","Accions conjuntes de l'Ajuntament de Barcelona i les entitats socials per l'Any Europeu contra la Pobresa i l'Exclusió Social 2010 : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria d'Esports i Relacions Institucionals","","Barcelona","2001. 2002","","2000-12-22","2000","Presentada al Plenari del Consell Municipal de 22-12-2000. Citada a la Gaseta Municipal núm. 8 (10-03-2001)","","","application/pdf","3 p.","11410","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84838","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Joves","Societat i benestar","mesures de govern","","Trobada europea de joves taizé a Barcelona 2000-2001 : Del 28 de desembre a l'11 de gener : mesura de govern","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat","","Barcelona","","","2009-02-19","2009","Presentada a la Comissió de Seguretat i Mobilitat de 19-02-2009. Citada a la Gaseta Municipal núm. 11 (10-04-2009)","","","application/pdf","4 p.","11073","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84660","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat viària i infants. Alumnes","Seguretat","mesures de govern","","L'Educació per la mobilitat als entorns escolars : mesura de govern","","text",""
"","Àrea de Treball, Economia i Planificació Estratègica","","Barcelona","2015","","2016-01-19","2016","Presentada a la Comissió d'Economia i Hisenda de 19-01-2016","","","application/pdf","19 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/86541","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica. Política social. Ocupació","Economia","mesures de govern","","Pla de xoc 2015 d’economia cooperativa, social i solidària del Comissionat de l’Ajuntament de Barcelona","","text",""
"","Àrea de Drets Socials. Comissionat de Salut","","Barcelona","2015. 2016. 2017. 2018. 2019","","2016-12-13","2016-12","Presentada a la Comissió de Drets Socials, Cultura i Esports el 13-12-2016, per Gemma Tarafa Orpinell, comissionada de Salut.. Citada a la Gaseta Municipal de Barcelona, núm. 3 (30-01-2017), p. 646-650","","","application/pdf","29 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/100133","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Salut pública. Política sanitària","Sector públic. Salut","mesures de govern","Programa Salut als Barris (Barcelona)","Impuls de la Salut Comunitària a Barcelona: reforç de	Barcelona	Salut als Barris	en un marc	compartit d'acció transversal al	territori: mesura de govern","","text",""
"","Àrea de Benestar i Cohesió Territorial","","Barcelona","","","2011-03-15","2011","Presentada a la Comissió de Cultura, Educació i Benestar Social de 15-03-2011. Citada a la Gaseta Municipal núm. 19 (30-06-2011)","","","application/pdf","10 p.","11139","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84608","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Xarxa de Centres Cívics (Barcelona). Centres cívics","Sector públic","mesures de govern","","Xarxa de Centres cívics de Barcelona i les actuacions de l'Ajuntament de Barcelona adreçades al treball en xarxa dels centres cívics : mesura de govern","","text",""
"","Sector de Serveis Personals","","Barcelona","","","1996-03-15","1996","Presentada al Plenari del Consell Municipal de 15-03-1996","","","application/pdf","2 p.","11251","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84459","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sexisme en el llenguatge. Igualtat entre els sexes","Sector públic","mesures de govern","","Per a un ús no discriminatori del llenguatge : mesura de govern","","text",""
"","Districte 1. Ciutat Vella. Institut Municipal de Mercats (Barcelona)","","Barcelona. Districte 1. Ciutat Vella. Sant Josep, Plaça (Barcelona). Rambla, La (Barcelona)","2017. 2018. 2019","","2017-02-09","2017","Presentada per la Regidora de Comerç i Mercats i la Regidora de Ciutat Vella el 09-02-2017. Presentada a la Comissió d'Economia i Hisenda de 14-02-2017. Citat a la Gaseta Municipal de Barcelona, núm. 10 (30-03-2017), p. 2229-2234","","","application/pdf","26 p.","","","","Organismes autònoms. districtes","","Mandat 2015-","http://hdl.handle.net/11703/100995","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mercat de la Boqueria (Barcelona). Urbanisme","Comerç","mesures de govern","","Mesura de govern sobre preservació i millora del Mercat Municipal de la Boqueria","","text",""
"16 p.","Àrea d'Hàbitat Urbà. Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","","","2013-10-03","2013","Presentada al Consell Plenari del Districte de Ciutat Vella de 03-10-2013","","","application/pdf","","18101","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84793","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Carrers. Places","Medi ambient","mesures de govern","","Campanya de sensibilització ambiental per a la millora de la neteja dels carrers i les places de Ciutat Vella : mesura de govern","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat. Districte 1. Ciutat Vella","","Barcelona. Districte 1. Ciutat Vella","","","2014-10-16","2014","Presentada al Consell Plenari del Districte de Ciutat Vella de 16-10-2014","","","application/pdf","15 p.","18104","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/84796","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Autobusos turístics. Turisme i urbanisme. Turisme","Transport","mesures de govern","","Reordenació dels autocars turístics a Ciutat Vella : mesura de govern","","text",""
"","Àrea d'Hàbitat Urbà","","Barcelona","2012. 2013. 2014","","2012-04-19","2012","Presentada a la Comissió d'Hàbitat Urbà i Medi Ambient del Consell Municipal de 19-03-2012. Citada a la Gaseta Municipal núm. 16 (30-05-2012)","","","application/pdf","10 p.","13041","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84713","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Murs mitgers","Urbanisme i infraestructures","mesures de govern","","Mesura de govern del Pla de remodelació de parets mitgeres de Barcelona 2012-2014","","text",""
"","Sector de Serveis Generals","","Sarajevo (Bòsnia i Hercegovina)","","","1995-10-06","1995","Presentada al Plenari del Consell Municipal de 06-10-1995","","","application/pdf","2 p.","11272","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84439","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Solidaritat. Rehabilitació urbana","Urbanisme i infraestructures","mesures de govern","","Situació a Bòsnia : mesura de govern","","text",""
"","Sector de Serveis Personals. Regidoria de Política de la Dona","","Barcelona","","","2002-10-25","2002","Presentada al Plenari del Consell Municipal de 25-11-2002. Citada a la Gaseta Municipal núm. 34 (30-12-2002)","","","application/pdf","3 p.","13433","","","","","Mandat 1999-2003","http://hdl.handle.net/11703/84506","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones","Educació","mesures de govern","","Acord ciutadà per una Barcelona lliure de violència vers les dones : mesura de govern","","text",""
"","Districte 9. Sant Andreu","","Barcelona. Districte 9. Sant Andreu","","","2017-12-04","2017","Presentada al Consell Plenari del Districte de Sant Andreu de 04-12-2017. Basat en el document Consell Escolar Municipal de Barcelona, Consell Educatiu de la Ciutat : mesura de govern [http://hdl.handle.net/11703/108006]. Fa referència al document Impuls al Projecte Educatiu de Ciutat per fer de Barcelona una capital de la innovació pedagògica: mesura de govern [http://hdl.handle.net/11703/88322]","","","application/pdf","11 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/108005","cat","","","","","","http://hdl.handle.net/11703/108006","","","","","","http://hdl.handle.net/11703/88322","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Escolar Municipal (Barcelona). Consell Educatiu Municipal del Districte (Barcelona). Política educativa","Sector públic. Educació","mesures de govern","","Consell Escolar Municipal, Consell Educatiu del Districte : mesura de govern","","text",""
"","Àrea de Medi Ambient","","Barcelona","","","2009-02-18","2009","Presentada a la Comissió de Sostenibilitat, Serveis Urbans i Medi ambient de 18-02-2009. Citada a la Gaseta Municipal núm. 11 (10-04-2009)","","","application/pdf","4 p.","11065","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84654","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs infantils. Zones verdes","Urbanisme i infraestructures","mesures de govern","","Renovació d'àrees de jocs infantils a Barcelona : mesura de govern","","text",""
