"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 28"
"Sindicatura de Greuges de Barcelona","Barcelona. Districte 5. Sarrià-Sant Gervasi. Sant Gervasi-Galvany (Barcelona : Barri)","","2017-05-17","2017-05-17","","application/pdf","3 p.","","Núm. Exp.:  17OF000003--PA/AB","","Mandat 2015-","http://hdl.handle.net/11703/102323","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Zones verdes. Mobiliari urbà. Espais públics. Transport públic","Urbanisme i infraestructures. Transport","dictàmens","","Actuació d'ofici de la síndica de greuges emmarcada en el programa de visites als barris, corresponent aquesta al de Sant Gervasi-Galvany","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-06-18","2014","","application/pdf","3 p.",16610.0,"Núm. Exp. 198/14","consells","","http://hdl.handle.net/11703/87192","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Liquidacions retroactives d'exercicis no declarats comporta la generació d'interessos de demora (198/14)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-12-14","2017-02","","application/pdf","7 p.","","Ref. 240/16","consells","","http://hdl.handle.net/11703/100143","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Hisenda","dictàmens","","En compravenda declarada nul·la, els interessos de demora meritats per devolució d'ingressos indeguts, es calculen des de la data de l'ingrés","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2008. 2009. 2010. 2011","2008","2008","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87383","application/pdf","22 p.",1613.0,"","consells","","http://hdl.handle.net/11703/87382","cat","Consell Econòmic i Social de Barcelona","http://hdl.handle.net/11703/87383","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica","Sector públic","dictàmens","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Dictamen sobre el document base del Programa d'Actuació Municipal: 2008-2011 : resum executiu","","text",""
"Consell de Ciutat de Barcelona","Barcelona","","2014","2014","","application/pdf","23 p.",13653.0,"","districtes. consells","","http://hdl.handle.net/11703/87116","cat","Consell de Ciutat de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana. Organització i organigrames","Societat i benestar. Sector públic","dictàmens","","Dictamen de la proposta de Reglament de la participació ciutadana i de Reglament d'organització i de funcionament dels districtes","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-03-01","2006","","application/pdf","5 p.",17031.0,"Núm. Exp. 1222/4","consells","","http://hdl.handle.net/11703/87166","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Sancions econòmiques","Hisenda","dictàmens","","Caducitat de l'expedient (1222/4)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-11-20","2006","","application/pdf","4 p.",16910.0,"Núm. Exp. 53/6","consells","","http://hdl.handle.net/11703/87283","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Procediment administratiu","Hisenda","dictàmens","","Liquidacions. Improcedència per extemporània de la sol·licitud de reembossament dels costos d'avals (53/6)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-10-27","2017-01","","application/pdf","6 p.","","Ref. 229/16","consells","","http://hdl.handle.net/11703/100014","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Impostos immobiliaris","Hisenda","dictàmens","","Habitatge habitual: Extemporaneïtat en la sol·licitud de la bonificació de l'impost sobre l'increment de valor dels terrenys de naturalesa urbana","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2013-02-14","2013","","application/pdf","3 p.",16600.0,"Núm. Exp. 155/12","consells","","http://hdl.handle.net/11703/87179","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Exempció d'impostos","Hisenda","dictàmens","","Correus: Improcedència (155/12)","","text",""
"Consell de Ciutat de Barcelona","Diagonal, Avinguda (Barcelona)","","2009","2009","","application/pdf","9 p.",5079.0,"","consells","","http://hdl.handle.net/11703/87371","cat","Consell de Ciutat de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana","Urbanisme i infraestructures","dictàmens","","Procés participatiu sobre la transformació de l'avinguda Diagonal : dictàmen 1a fase : aprovat el 24 de març de 2009","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2008","2008","2008","","application/pdf","16 p.",11488.0,"","consells","","http://hdl.handle.net/11703/87140","cat","Consell Econòmic i Social de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals","","Dictamen sobre les Ordenances fiscals 2008","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona. Districte 5. Sarrià-Sant Gervasi. Eduardo Conde, Carrer (Barcelona)","","2016-11-23","2016-12-16","Podeu consultar una nota de premsa sobre aquest tema en català a: http://hdl.handle.net/11703/99384 i en castellà a: http://hdl.handle.net/11703/99386","application/pdf","3 p.","","Exp.: 16Q000669-PA","","","http://hdl.handle.net/11703/99587","cat","","http://hdl.handle.net/11703/99384. http://hdl.handle.net/11703/99386","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Escoles. Gasolineres. Salut pública","Urbanisme i infraestructures","dictàmens","","Decisió de la síndica en matèria de planejament i gestió urbanística. Benzinera","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-04-24","2002","","application/pdf","5 p.",16554.0,"Núm. Exp. 322/00","consells","","http://hdl.handle.net/11703/87233","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Aplicació retroactiva del valor cadastral per falta de declaració de la nova construcció (322/00)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2012-01-25","2012","","application/pdf","6 p.",16804.0,"Núm. Exp. 143/11","consells","","http://hdl.handle.net/11703/87171","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Divisió de la cosa comuna en la dissolució del règim matrimonial (143/11)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2000","2003-03-07","2003-03-07","","application/pdf","2 p.",17649.0,"","consells","","http://hdl.handle.net/11703/87135","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Formació ocupacional","Economia","dictàmens","","Dictamen sobre les accions formatives del pla FIP 2000","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2016-02-18","2016-02-18","Podeu consultar una nota de premsa sobre aquest tema en català a: http://hdl.handle.net/11703/89678 i en castellà a: http://hdl.handle.net/11703/89679","application/pdf","12 p.","","Exp. 15Q000419-MO","","","http://hdl.handle.net/11703/91771","cat","","http://hdl.handle.net/11703/89678. http://hdl.handle.net/11703/89679","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Beques. Menjadors escolars. Impostos de plusvàlua","Educació","dictàmens","","Decisió de la Síndica de greuges referent a la queixa de la FAPAC en el marc de la campanya ""SOS beques menjador"", en matèria d'educació","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2016-03-13","2016-05-30","","application/pdf","8 p.","","Exp. 15Q000272-MS. Exp. 15Q001017-MS. Exp. 16Q000088-MS","","","http://hdl.handle.net/11703/97360","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Distribució de mercaderies. Gasos comprimits. Reclamacions","Comerç","dictàmens","","Decisió de la síndica de greuges referent a la queixa presentada en matèria d'atenció al consumidor i usuari","Venda bombones de gas butà","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2013-07-29","2013","","application/pdf","5 p.",16815.0,"Núm. Exp. 2/13","consells","","http://hdl.handle.net/11703/87194","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals","Hisenda","dictàmens","","Transmissió de llicència: cessió a un tercer del dret a devolució (2/13)","","text",""
"Consell Tributari Municipal (Barcelona)","","","2016-11-23","2017-01","","application/pdf","6 p.","","Ref. 235/16","consells","","http://hdl.handle.net/11703/100013","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Impostos immobiliaris","Hisenda","dictàmens","","No aplicació de la bonificació prevista en l'impost sobre l'increment de valor dels terrenys de naturalesa urbana per transmissió mortis causa de local, si l'activitat no la realitza el causant, sinó una societat civil","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-02-22","2006","","application/pdf","6 p.",16818.0,"Núm. Exp. 491/5","consells","","http://hdl.handle.net/11703/87279","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles. Impostos locals. Exempció d'impostos. Sancions econòmiques","Hisenda","dictàmens","","Vehicle matriculat a nom de persona amb discapacitat (491/5)","","text",""
"Consell de Ciutat de Barcelona","Barcelona","2010. 2011. 2012. 2013. 2014. 2015","2011","2011","","application/pdf","14 p.",9438.0,"","consells","","http://hdl.handle.net/11703/87365","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme urbà","Turisme","dictàmens","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Dictàmens sobre el Pla Estratègic de Turisme de la ciutat de Barcelona","","text",""
"Consell de Ciutat de Barcelona","Diagonal, Avinguda (Barcelona)","","2012","2012","","application/pdf","19 p.",9930.0,"","consells","","http://hdl.handle.net/11703/87376","cat","Consell de Ciutat de Barcelona","","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana","Urbanisme i infraestructures","dictàmens","","Dictamen del procés participatiu sobre la transformació de l'Avinguda Diagonal","","text",""
"Sindicatura de Greuges de Barcelona","Barcelona","","2012-10-10","2012","","application/pdf","3 p.",17236.0,"","","","http://hdl.handle.net/11703/87114","cat","Sindicatura de Greuges de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Ordenances municipals. Civisme","Societat i benestar. Sector públic","dictàmens","","Decisió de la Síndica de Greuges referent a l'actuació d'ofici oberta arran de la modificació dels articles 39 i 40 de l'Ordenança de Mesures per Fomentar i Garantir la Convivència Ciutadana a l'espai públic","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-02-25","2004","","application/pdf","3 p.",16479.0,"Núm. Exp. 698/3","consells","","http://hdl.handle.net/11703/87314","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Estimació de la base imposable","Hisenda","dictàmens","","Gestió censal (698/3)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2012","2012","","application/pdf","2 p.",17630.0,"","consells","","http://hdl.handle.net/11703/87360","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Infraestructures de transport","Economia","dictàmens","","Resolució del Consell Econòmic i Social de Barcelona sobre el Corredor Mediterrani","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2002","2002","2002","","application/pdf","20 p.",17628.0,"","consells","","http://hdl.handle.net/11703/87125","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals","Sector públic. Economia","dictàmens. pressupostos","","Dictamen sobre els pressupostos generals 2002","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-02-06","2006","","application/pdf","9 p.",16798.0,"Núm. Exp. 116/3","consells","","http://hdl.handle.net/11703/87164","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Aportació de béns d'una branca d'activitat (116/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-06-28","2006","","application/pdf","5 p.",16532.0,"Núm. Exp. 401/3","consells","","http://hdl.handle.net/11703/87260","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Qualificació de l'activitat. Promoció d'edificacions (401/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-07-02","2003","","application/pdf","3 p.",16586.0,"Núm. Exp. 949/2","consells","","http://hdl.handle.net/11703/87355","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable. Béns immobles. Valoració","Hisenda","dictàmens","","Revisió del valor cadastral. Reclamació ja resolta per la Gerència Territorial del Cadastre (949/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-04-07","2008","","application/pdf","4 p.",16795.0,"Núm. Exp. 261/7","consells","","http://hdl.handle.net/11703/87216","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Actuacions relatives a un dels transmitents no interrompen la prescripció respecte als demes (261/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","1998-12-14","1998","","application/pdf","6 p.",16913.0,"Núm. Exp. 952/97","consells","","http://hdl.handle.net/11703/87356","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Procediment administratiu. Inspecció fiscal. Sancions econòmiques","Hisenda","dictàmens","","Liquidacions. Recurs contenciós administratiu pendent (952/97)","","text",""
"Sindicatura de Greuges de Barcelona","","","2017-04-19","2017-04-27","","application/pdf","6 p.","","Exp.: 15Q001026-FR","","","http://hdl.handle.net/11703/101949","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Port de Barcelona. Espais públics. Venda ambulant","Comerç","dictàmens","","Decisió de la síndica de greuges referent a la queixa presentada per l'associació d'artesans de Palau de Mar en matèria de llicències d'ocupació de l'espai públic","","text",""
"Sindicatura de Greuges de Barcelona","Robador, Carrer (Barcelona). Raval (Barcelona : Barri). Barcelona. Districte 1. Ciutat Vella","","2017-04-16","2017-05-03","","application/pdf","16 p.","","Exp.: 16Q000328-FR","","","http://hdl.handle.net/11703/101994","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Convivència. Espais públics. Prostitució","Societat i benestar","dictàmens","","Decisió de la síndica de greuges referent a la queixa presentada per l'Associació de Veïns de l'Illa Robador en matèria de mediació i convivència","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2001-10-01","2001","","application/pdf","5 p.",16578.0,"Núm. Exp. 567/00","consells","","http://hdl.handle.net/11703/87291","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Aplicació retroactiva del valor cadastral per falta de declaració de la nova construcció (567/00)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-05-27","2002","","application/pdf","8 p.",16493.0,"Núm. Exp. 144/1","consells","","http://hdl.handle.net/11703/87172","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques. Exempció d'impostos","Hisenda","dictàmens","","Dictamen relacionat amb la Llei 30/1994. Ensenyança per entitats religioses (144/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2007-07-16","2007","","application/pdf","4 p.",16670.0,"Núm. Exp. 85/9","consells","","http://hdl.handle.net/11703/87307","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Estimació de la base imposable","Hisenda","dictàmens","","Cost real i efectiu de l'obra. Costos no especificats (85/9)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","","2007","2007","","application/pdf","16 p.",17643.0,"","consells","","http://hdl.handle.net/11703/87136","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Persones grans","Societat i benestar. Sector públic","dictàmens","","Dictamen sobre les condicions de la vida de la gent gran de Barcelona","","text",""
"Sindicatura de Greuges de Barcelona","","","2016-12-05","2016-12-29","","application/pdf","6 p.","","Exp. 15Q000935-FR","","","http://hdl.handle.net/11703/99586","cat","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Funcionaris i empleats municipals. Reclamacions. Policia local. Incapacitat laboral","Sector públic","dictàmens","","Decisió de la síndica de greuges en matèria de règim funcionarial. Segona activitat","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2001","2000","2000","","application/pdf","6 p.",11495.0,"","consells","","http://hdl.handle.net/11703/87145","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals. preus públics","","Dictamen sobre les Ordenances fiscals i de preu públic 2001","","text",""
