"Any","Ambit","Titularitat","Tipus","Edicio","NomDelFestival","DataInici","DataFi","Assistents","Nota"
2018,"Música","Privada","Festivals",4.0,"DGTL Festival","10/8/2018","11/8/2018",35000.0,""
2018,"Audiovisuals","Privada","Festivals",15.0,"Diàspora. Mostra de Cinema Colombià","1/1/2018","31/12/2018",2300.0,"Última edició any 2018."
2018,"Arts visuals","Privada","Festivals",6.0,"DOCfield. Festival de Fotografia Documental","8/11/2018","9/12/2018",120000.0,"Última edició any 2018."
2018,"Audiovisuals","Privada","Festivals",21.0,"DocsBarcelona","16/5/2018","27/5/2018",10889.0,""
2018,"Arts visuals","Privada","Festivals",22.0,"Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya","8/12/2018","9/12/2018",4600.0,""
2018,"Música","Privada","Festivals",21.0,"EH SONA! Festival de Música Basca a Barcelona","9/11/2018","14/12/2018","",""
2018,"Audiovisuals","Privada","Festivals",6.0,"El dia més curt. La festa del curtmetratge","4/12/2018","31/12/2018",3500.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",6.0,"El Dia Minimúsica","21/4/2018","21/4/2018","",""
2018,"Música","Privada","Festivals",3.0,"El Festival","8/6/2018","9/6/2018","",""
2018,"Arts escèniques","Privada","Festivals",14.0,"El Més Petit de Tots","10/11/2018","25/11/2018",2600.0,""
2018,"Audiovisuals","Privada","Festivals",11.0,"El Meu Primer Festival","10/11/2018","25/11/2018",11225.0,""
2018,"Música","Consorci o fundació amb presència municipal","Festivals",13.0,"Els vespres a la UB","3/7/2018","19/7/2018",3200.0,""
2018,"Música","Consorci o fundació amb presència municipal","Festivals",3.0,"Els vespres d'hivern. Concerts al Paranimf de la UB","2/3/2018","23/3/2018",1700.0,""
2018,"Música","Consorci o fundació amb presència municipal","Festivals",10.0,"Emergència!","10/2/2018","10/2/2018",900.0,"Última edició any 2018."
2018,"Multidisciplinaris i altres","Municipal","Festivals",8.0,"Endorfines","28/6/2018","19/7/2018",350.0,""
2018,"Arts visuals","Municipal","Festivals",9.0,"Enfocats","3/5/2018","28/5/2018","",""
2018,"Arts escèniques","Privada","Festivals",17.0,"Escena Poblenou","17/10/2018","21/10/2018",4200.0,""
2018,"Arts escèniques","Privada","Festivals",2.0,"Escenes de Filosofia i Teatre","8/11/2018","10/11/2018",535.0,""
2018,"Arts visuals","Privada","Festivals",5.0,"European Creativity Festival","8/11/2018","10/11/2018",350.0,""
2018,"Arts visuals","Privada","Festivals",25.0,"Fem Art","14/12/2018","31/12/2018",500.0,""
2018,"Lletres","Privada","Festivals",4.0,"Festival Alcools. Poesia en escena (Gener - Maig)","6/3/2018","15/5/2018","",""
2018,"Audiovisuals","Privada","Festivals",9.0,"Festival Antic Horror Picture Show","19/10/2018","19/10/2018",150.0,""
2018,"Música","Privada","Festivals",4.0,"Festival Cara - B","16/2/2018","17/2/2018","",""
2018,"Multidisciplinaris i altres","Municipal","Festivals",13.0,"Festival d'estiu LLIMONADES","28/6/2018","20/7/2018","",""
2018,"Arts escèniques","Privada","Festivals",14.0,"Festival Dansat","20/10/2018","28/10/2018",909.0,""
2018,"Música","Privada","Festivals",16.0,"Festival de Blues de Barcelona","5/7/2018","15/7/2018",2800.0,""
2018,"Audiovisuals","Privada","Festivals",9.0,"Festival de Cinema en Creative Commons de Barcelona. BccN","5/6/2018","10/6/2018",1450.0,""
2018,"Audiovisuals","Privada","Festivals",15.0,"Festival de Cinema i Drets Humans de Barcelona","15/11/2018","23/11/2018","",""
2018,"Audiovisuals","Privada","Festivals",20.0,"Festival de Cinema Jueu de Barcelona","15/9/2018","30/9/2018",2000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",16.0,"Festival de Cultura Raval(s)","8/11/2018","11/11/2018",3800.0,""
2018,"Música","Privada","Festivals",2.0,"Festival de Fado","29/9/2018","30/9/2018",1100.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",12.0,"Festival de la Ciència","9/6/2018","10/6/2018",20000.0,"El 2018 es va dir ""Festival de la Ciència"", però es va realitzar només com a Festa de la Ciència."
2018,"Música","Municipal","Festivals",23.0,"Festival de Música als Parcs","2/6/2018","30/8/2018",14100.0,""
2018,"Arts escèniques","Privada","Festivals",14.0,"Festival de Putxinel·lis d'Hivern","6/12/2018","31/12/2018",914.0,""
2018,"Arts escèniques","Privada","Festivals",2.0,"Festival de T(h)eatre en Français, Oui!","1/2/2018","11/2/2018","",""
2018,"Arts escèniques","Privada","Festivals",14.0,"Festival de Teatre del Casc Antic","28/9/2018","14/10/2018",454.0,""
2018,"Arts escèniques","Privada","Festivals",9.0,"Festival de Titelles de Barcelona","12/3/2018","18/3/2018",4800.0,""
2018,"Lletres","Privada","Festivals",11.0,"Festival del Llibre d'Artista i la Petita Edició","20/4/2018","28/4/2018",950.0,""
2018,"Música","Consorci o fundació amb presència municipal","Festivals",2.0,"Festival Emergents Barcelona","3/4/2018","11/4/2018",5504.0,""
2018,"Música","Privada","Festivals",31.0,"Festival Folk Internacional Tradicionàrius","12/1/2018","23/3/2018",8025.0,""
2018,"Música","Privada","Festivals",2.0,"Festival Inauditus","19/11/2018","15/12/2018","",""
2018,"Audiovisuals","Privada","Festivals",6.0,"Festival Inclús","27/11/2018","2/12/2018",1489.0,""
2018,"Música","Privada","Festivals",53.0,"Festival Internacional de Cant Coral a Barcelona","2/7/2018","7/7/2018",1500.0,""
2018,"Audiovisuals","Privada","Festivals",2.0,"Festival Internacional de Cine de Barcelona - Sant Jordi","20/4/2018","27/4/2018","",""
2018,"Audiovisuals","Privada","Festivals",8.0,"Festival Internacional de cine Nunes","3/12/2018","13/12/2018","",""
2018,"Audiovisuals","Privada","Festivals",18.0,"Festival Internacional de Cinema Gai i Lèsbic de Barcelona","18/10/2018","28/10/2018",2636.0,"Última edició any 2018."
2018,"Música","Privada","Festivals",9.0,"Festival Internacional de Creatividad Digital MUTEK.ES","7/3/2018","10/3/2018","",""
2018,"Música","Privada","Festivals",50.0,"Festival Internacional de Jazz de Barcelona","27/4/2018","21/12/2018",144000.0,""
2018,"Música","Privada","Festivals",6.0,"Festival Jardins de Pedralbes","6/6/2018","14/7/2018",59800.0,""
2018,"Música","Privada","Festivals",28.0,"Festival l'Hora del Jazz. Memorial Tete Montoliu","9/9/2018","30/9/2018",6120.0,""
2018,"Música","Privada","Festivals",23.0,"Festival LEM de Música Experimental","22/2/2018","27/10/2018",2377.0,""
2018,"Lletres","Consorci o fundació amb presència municipal","Festivals","","Festival Literatura en Trànsit","3/10/2018","6/10/2018",265.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",6.0,"Festival Matsuri","26/5/2018","27/5/2018",23000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",7.0,"Festival Mixtur","19/4/2018","29/4/2018",1412.0,""
2018,"Arts escèniques","Privada","Festivals",9.0,"Festival Mutis. Festival de Teatre Independent de Barcelona","24/2/2018","4/3/2018",2050.0,""
2018,"Arts escèniques","Privada","Festivals",4.0,"Festival Pindoles","3/6/2018","10/6/2018",2419.0,""
2018,"Arts escèniques","Privada","Festivals",2.0,"Festival Sant Martí de Circ","7/7/2018","8/7/2018",3100.0,""
2018,"Música","Privada","Festivals",6.0,"Festival Talent","28/6/2018","30/6/2018",1560.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",2.0,"Festival Tangent al CC Urgell","22/6/2018","26/7/2018","",""
2018,"Arts visuals","Privada","Festivals",1.0,"Festival Unlearning a Barcelona","7/11/2018","10/11/2018","","Última edició any 2018."
2018,"Arts visuals","Privada","Fires",4.0,"Fira d'Art Modern i Antic de Barcelona","28/2/2018","4/3/2018","",""
2018,"Lletres","Privada","Fires",67.0,"Fira del Llibre d'Ocasió Antic i Modern","21/9/2018","7/10/2018","",""
2018,"Audiovisuals","Privada","Festivals",23.0,"FIRE!! Mostra Internacional de Cinema Gai i Lesbià","7/6/2018","17/6/2018",6500.0,""
2018,"Lletres","Privada","Festivals",8.0,"Flic. Festival de literatures i arts infantil i juvenil","23/1/2018","10/3/2018",12000.0,""
2018,"Audiovisuals","Privada","Festivals",13.0,"Flux. Festival de Vídeo d'Autor","11/12/2018","31/12/2018","",""
2018,"Audiovisuals","Consorci o fundació amb presència municipal","Festivals",16.0,"Gandules","7/8/2018","23/8/2018",4440.0,""
2018,"Lletres","Privada","Festivals",6.0,"GRAF. Còmic d'autor i edició independent","2/3/2018","4/3/2018","",""
2018,"Multidisciplinaris i altres","Municipal","Festivals",42.0,"Grec Festival de Barcelona","1/7/2018","31/7/2018",109868.0,""
2018,"Música","Privada","Festivals",29.0,"Guitar Bcn","27/1/2018","16/7/2018",51000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",8.0,"HOP Festival. Festival de Danses Urbanes","1/1/2018","31/12/2018",8000.0,""
2018,"Audiovisuals","Privada","Festivals",16.0,"IN-EDIT. Festival Internacional de Cine Documental Musical de Barcelona","25/10/2018","4/11/2018","",""
2018,"Audiovisuals","Privada","Festivals",11.0,"IndiFest Festival de Cinema Indígena de Barcelona","15/11/2018","18/11/2018",320.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",5.0,"INFLUX Festival. Vídeo a Escena","11/10/2018","14/10/2018",115.0,""
2018,"Música","Municipal","Festivals",5.0,"Jazzing Festival","26/9/2018","30/9/2018",25000.0,""
2018,"Arts visuals","Privada","Fires",10.0,"Joya","4/10/2018","6/10/2018",6000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",1.0,"Kronos Art BCN","18/10/2018","28/10/2018",1700.0,""
2018,"Audiovisuals","Privada","Festivals",25.0,"L'Alternativa. Festival de Cinema Independent de Barcelona","12/11/2018","18/11/2018",19000.0,""
2018,"Arts escèniques","Privada","Festivals",4.0,"L'Altre Festival","16/6/2018","18/6/2018","",""
2018,"Audiovisuals","Privada","Festivals",6.0,"La mida no importa","25/1/2018","27/1/2018",650.0,""
2018,"Música","Privada","Festivals",8.0,"La Pedrera Jazz","8/6/2018","15/9/2018",7232.0,""
2018,"Audiovisuals","Privada","Festivals","","La Puttanesca","11/7/2018","2/9/2018","",""
2018,"Lletres","Privada","Festivals",2.0,"La setmana de l'àlbum","2/11/2018","11/11/2018",2000.0,""
2018,"Música","Privada","Festivals",5.0,"Lapsus Festival","6/4/2018","7/4/2018",1181.0,""
2018,"Lletres","Privada","Fires",36.0,"Liber","3/10/2018","5/10/2018",11000.0,""
2018,"Música","Privada","Festivals",6.0,"LIED Festival Victoria de los Ángeles","25/9/2018","12/12/2018",3790.0,""
2018,"Lletres","Privada","Fires",4.0,"Literal","11/5/2018","13/5/2018",10000.0,""
2018,"Lletres","Privada","Festivals",14.0,"Literaldia. L'Euskal Herria d'avui, en la literatura","6/4/2018","27/4/2018","","Última edició any 2018."
2018,"Multidisciplinaris i altres","Municipal","Festivals",7.0,"Llum BCN","16/2/2018","18/2/2018",170000.0,""
2018,"Arts visuals","Privada","Fires",16.0,"Loop Fair","12/11/2018","22/11/2018",5350.0,""
2018,"Arts visuals","Privada","Festivals",16.0,"Loop Festival","12/11/2018","22/11/2018",120000.0,""
2018,"Audiovisuals","Privada","Festivals",2.0,"Lychee Film Festival","14/9/2018","21/9/2018",1950.0,""
2018,"Arts escèniques","Privada","Festivals",9.0,"Màgicus. Festival de Màgia Jove de Barcelona","5/10/2018","7/10/2018",366.0,""
2018,"Música","Privada","Festivals",35.0,"Maig Coral del Barcelonès","6/5/2018","3/6/2018",1000.0,""
2018,"Audiovisuals","Privada","Festivals",30.0,"Marató de Cinema Fantàstic i de Terror de Sants","12/11/2018","17/11/2018","",""
2018,"Música","Municipal","Festivals",18.0,"Marrameu - Festival Jove de Nit d'Ànimes de la Guineueta","31/10/2018","31/10/2018","",""
2018,"Audiovisuals","Privada","Festivals",11.0,"Mecal Air","6/7/2018","15/9/2018",4000.0,""
2018,"Audiovisuals","Privada","Festivals",20.0,"Mecal. Festival Internacional de Curtmetratges de Barcelona","15/3/2018","2/4/2018",15000.0,""
2018,"Multidisciplinaris i altres","Consorci o fundació amb presència municipal","Festivals",1.0,"MemeFest","3/3/2018","3/3/2018",672.0,""
2018,"Arts escèniques","Municipal","Festivals",9.0,"Mercè Arts de Carrer. MAC","21/9/2018","24/9/2018",290522.0,""
2018,"Música","Privada","Festivals",23.0,"Minifestival de Música i Cultura Independent de Barcelona","3/2/2018","17/2/2018",480.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",8.0,"MIRA","7/11/2018","10/11/2018",8400.0,""
2018,"Audiovisuals","Privada","Festivals",8.0,"MIRADOCS. Barcelona Mirades Documentals","17/1/2018","26/1/2018",356.0,""
2018,"Lletres","Municipal","Festivals",14.0,"Món Llibre","14/4/2018","15/4/2018",17000.0,""
2018,"Audiovisuals","Privada","Festivals",4.0,"Moritz Feed Dog","22/3/2018","25/3/2018","",""
2018,"Audiovisuals","Municipal","Festivals",21.0,"Mostra d'audiovisuals i fotografia de muntanya","10/3/2018","24/3/2018",1800.0,""
2018,"Audiovisuals","Privada","Festivals",6.0,"Mostra de Cinema Italià de Barcelona. MCIB","14/12/2018","18/12/2018","",""
2018,"Audiovisuals","Privada","Festivals",17.0,"Mostra de Curtmetratges Dr. Mabuse","2/6/2018","16/6/2018",350.0,""
2018,"Arts escèniques","Privada","Festivals",23.0,"Mostra de Teatre de Barcelona","8/10/2018","23/10/2018",566.0,""
2018,"Audiovisuals","Privada","Festivals",26.0,"Mostra Internacional de Films de Dones de Barcelona","19/3/2018","16/12/2018",7300.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",11.0,"Mostra Sonora i Visual","5/6/2018","9/6/2018",1982.0,"Festival biennal."
2018,"Lletres","Privada","Festivals",1.0,"Moviestar Liternatura","20/10/2018","21/10/2018","","Última edició any 2018."
2018,"Audiovisuals","Privada","Festivals",5.0,"Muestra de Cine Día de Brasil ","20/9/2018","23/9/2018",500.0,""
2018,"Lletres","Privada","Festivals",9.0,"Munt de Mots. Festival de Narració Oral de Barcelona","15/10/2018","20/10/2018",2098.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",7.0,"MUSES Cicle de Dones Creadores","21/11/2018","1/12/2018",573.0,""
2018,"Audiovisuals","Privada","Festivals",5.0,"NonStop Barcelona Animació","21/3/2018","25/3/2018",463.0,""
2018,"Arts escèniques","Privada","Festivals",19.0,"Novembre Vaca","5/11/2018","31/12/2018","",""
2018,"Arts escèniques","Privada","Festivals",7.0,"Noves Escenes, Noves Mirades","10/5/2018","31/5/2018",410.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",10.0,"nunOff. Festival de Creació Emergent de Barcelona","9/7/2018","14/7/2018",1000.0,""
2018,"Música","Privada","Festivals",3.0,"Off Sónar","11/6/2018","17/6/2018",30000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",18.0,"OFFF Let's feed the future","24/5/2018","26/5/2018",4500.0,""
2018,"Audiovisuals","Privada","Festivals",1.0,"Ohlalà!","1/3/2018","8/3/2018",2500.0,""
2018,"Audiovisuals","Privada","Festivals",18.0,"OVNI","8/3/2018","11/3/2018",3000.0,"Festival biennal."
2018,"Audiovisuals","Municipal","Festivals",2.0,"Pantalla Barcelona (tardor)","9/10/2018","12/12/2018","",""
2018,"Multidisciplinaris i altres","Privada","Festivals",3.0,"PedreraArtlab","5/4/2018","26/4/2018",1152.0,""
2018,"Arts visuals","Privada","Festivals",4.0,"Photogenic Festival","5/11/2018","18/11/2018",2000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",6.0,"Poblenou Open Day","12/5/2018","12/5/2018",15000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",6.0,"Poblenou Open Night","23/11/2018","23/11/2018",15000.0,""
2018,"Música","Privada","Festivals",12.0,"Primavera Club","26/10/2018","28/10/2018",4000.0,"Última edició any 2018."
2018,"Música","Privada","Festivals",18.0,"Primavera Sound","30/5/2018","3/6/2018",220000.0,""
2018,"Multidisciplinaris i altres","Consorci o fundació amb presència municipal","Festivals",7.0,"Primera Persona","11/5/2018","12/5/2018",1306.0,""
2018,"Lletres","Privada","Festivals",1.0,"Qlit","14/6/2018","17/6/2018",300.0,""
2018,"Arts escèniques","Privada","Festivals",3.0,"Riu Estiu. Festival d'Humor d'Estiu de Barcelona","7/7/2018","25/8/2018","",""
2018,"Audiovisuals","Privada","Festivals",4.0,"Rueda. Festival Internacional de Cinema Ciclista","13/9/2018","16/9/2018",620.0,""
2018,"Audiovisuals","Privada","Festivals",16.0,"Sala Montjuïc","29/6/2018","3/8/2018",34209.0,""
2018,"Arts escèniques","Consorci o fundació amb presència municipal","Festivals",6.0,"SÂLMON. Talents Europeus en Moviment","8/2/2018","25/2/2018","",""
2018,"Lletres","Privada","Fires",24.0,"Saló del Manga de Barcelona","1/11/2018","4/11/2018",150000.0,""
2018,"Lletres","Privada","Fires",36.0,"Saló Internacional del Còmic de Barcelona","12/4/2018","15/4/2018",118000.0,""
2018,"Música","Privada","Festivals",15.0,"San Miguel Mas i Mas Festival","31/7/2018","31/8/2018",26998.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",15.0,"Sant Jordi al Raval","23/4/2018","23/4/2018",3400.0,""
2018,"Música","Privada","Festivals",11.0,"Say it Loud","11/10/2018","20/10/2018",900.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",3.0,"Seco III Festival Itinerante de Música y Artes Escénicas","12/4/2018","15/4/2018",1200.0,""
2018,"Música","Privada","Festivals",1.0,"Sensual ArtMusic Festival","14/2/2018","23/4/2018",800.0,""
2018,"Audiovisuals","Privada","Festivals",5.0,"Serielizados Fest","27/9/2018","30/9/2018",4000.0,""
2018,"Lletres","Privada","Fires",36.0,"Setmana del Llibre en Català","7/9/2018","16/9/2018",28000.0,""
2018,"Música","Privada","Festivals",1.0,"Share Festival","20/7/2018","21/7/2018",7200.0,""
2018,"Arts escèniques","Privada","Festivals",3.0,"Simbiòtic Festival","30/11/2018","2/12/2018",360.0,""
2018,"Música","Municipal","Festivals",24.0,"Simbiruta. Festival Jove de la Guineueta","8/6/2018","9/6/2018","",""
2018,"Música","Privada","Festivals",8.0,"SIMFONIC","9/6/2018","9/6/2018",9500.0,""
2018,"Audiovisuals","Privada","Festivals",14.0,"Sólo para Cortos","13/3/2018","18/3/2018","","Última edició any 2018."
2018,"Música","Privada","Festivals",25.0,"Sónar. Festival Internacional de Música Avançada i Art Multimèdia","13/6/2018","16/6/2018",126586.0,""
2018,"Música","Privada","Festivals",6.0,"Soundeat","6/10/2018","6/10/2018","",""
2018,"Audiovisuals","Privada","Festivals",25.0,"SUNCINE","2/11/2018","10/11/2018",8000.0,""
2018,"Arts visuals","Privada","Fires",11.0,"Swab Barcelona. Fira Internacional d'Art Contemporani","27/9/2018","30/9/2018",15000.0,""
2018,"Arts escèniques","Privada","Festivals",11.0,"Tap on Barcelona","23/7/2018","29/7/2018",153.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",6.0,"Terrats en cultura","4/5/2018","24/9/2018",1622.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",14.0,"The Influencers","25/10/2018","27/10/2018",1650.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",5.0,"Ús Barcelona","2/10/2018","7/10/2018",28451.0,"Última edició any 2018."
2018,"Música","Privada","Festivals",24.0,"Zeppelin","17/10/2018","20/10/2018",527.0,""
2018,"Música","Municipal","Festivals",2.0,"Zero3. Altaveu d'Accions Culturals","27/6/2018","6/7/2018",422.0,""
