"Nom_variable","Pregunta","Tipus_variable"
"PMS_REBUT_NOHIP","ENDARRERIMENT ÚLTIMS 12 MESOS: COMPRES AJORNADES O PRÉSTECS NO HIPOTECARIS","factor"
"PMS_REBUT_SERVEIS","ENDARRERIMENT ÚLTIMS 12 MESOS: FACTURES O REBUTS DE SERVEIS","factor"
"HAB_M2_1A14","NRE. METRES QUADRATS PIS/CASA - TRAMS","factor"
"HAB_M2_NRE","NRE. METRES QUADRATS PIS/CASA","numeric"
"LLAR_INGRESSOS_1A10","INGRESSOS MENSUALS NETS DE LA LLAR - TRAMS","factor"
"LLAR_INGRESSOS_NRE","INGRESSOS MENSUALS NETS DE LA LLAR","numeric"
"PROB_LLAR_ECON_1A6","ECONÒMICAMEMT COM ARRIBEN A FINAL DE MES","factor"
"EVO1A_LLAR_ECON","SITUACIÓ ECONÒMICA LLAR","factor"
"CLASSESOC_ENT","CLASSE SOCIAL CREU QUE PERTANY","factor"
"FREQ_CONSULTA_PREMSA_1A5","FREQÜÈNCIA LLEGEIX LA PREMSA","factor"
"CONSULTA_DIARI_Q01","DIARI LLEGEIX HABITUALMENT #1","factor"
"CONSULTA_DIARI_Q02","DIARI LLEGEIX HABITUALMENT #2","factor"
"CONSULTA_DIARI_Q01_N1","DIARI LLEGEIX HABITUALMENT #1 - AGRUPADA","factor"
"CONSULTA_DIARI_Q02_N1","DIARI LLEGEIX HABITUALMENT #2 - AGRUPADA","factor"
"VEURE_TELE_Q01","CANAL TV VEU HABITUALMENT #1","factor"
"VEURE_TELE_Q02","CANAL TV VEU HABITUALMENT #2","factor"
"VEURE_TELE_Q03","CANAL TV VEU HABITUALMENT #3","factor"
"VEURE_TELE_Q01_N1","CANAL TV VEU HABITUALMENT #1 - AGRUPADA","factor"
"VEURE_TELE_Q02_N1","CANAL TV VEU HABITUALMENT #2 - AGRUPADA","factor"
"VEURE_TELE_Q03_N1","CANAL TV VEU HABITUALMENT #3 - AGRUPADA","factor"
"US30D_INTERNET","DARRERS TRENTA DIES HA FET SERVIR INTERNET","factor"
"US30D_EMAIL","DARRERS TRENTA DIES HA FET SERVIR CORREU ELECTRÒNIC","factor"
"US30D_XARXES","DARRERS 30 DIES HA PARTICIPAT EN ALGUNA XARXA SOCIAL A INTERNET","factor"
"US30D_XARXES_Q01","XARXES SOCIALS PARTICIPA #1","factor"
"US30D_XARXES_Q02","XARXES SOCIALS PARTICIPA #2","factor"
"US30D_XARXES_Q03","XARXES SOCIALS PARTICIPA #3","factor"
"US30D_XARXES_Q04","XARXES SOCIALS PARTICIPA #4","factor"
"US30D_XARXES_Q05","XARXES SOCIALS PARTICIPA #5","factor"
"US30D_XARXES_Q01_TOT","XARXES SOCIALS PARTICIPA #1 - BASE TOTAL","factor"
"US_INTERNET_MOBIL_1A3","FA SERVIR INTERNET AL TELÈFON MÒBIL","factor"
"TE_MOBIL","TÉ TELÈFON MÒBIL?","factor"
"IDEO_1A8","IDEOLOGIA","factor"
"SENTPERTI","PERTINENÇA","factor"
"MUNI_VOTAR","VA VOTAR DARRERES ELECCIONS MUNICIPALS","factor"
"MUNI_PARTIT","A QUIN PARTIT VA VOTAR DARRERES ELECCIONS MUNICIPALS","factor"
"MUNI_VOT","RECORD DE VOT ELECCIONS MUNICIPALS (VOTAR + PARTIT)","factor"
"RELIGIO","PUNT DE VISTA RELIGIÒS","factor"
"LLOC_NAIX_1A4","LLOC DE NAIXEMENT","factor"
"LLOC_NAIX_PARES_1A3","LLOC DE NAIXEMENT DELS PARES","factor"
"LLENGUA_HAB","LLENGUA HABITUAL","factor"
"CAT_ENTEN","L'ENTÉN","factor"
"CAT_PARLA","EL PARLA","factor"
"CAT_ESCRIU","L'ESCRIU","factor"
"CAT_RES","NO L'ENTÉN NI EL PARLA NI L'ESCRIU","factor"
"CAST_ENTEN","L'ENTÉN","factor"
"CAST_PARLA","EL PARLA","factor"
"CAST_ESCRIU","L'ESCRIU","factor"
"CAST_RES","NO L'ENTÉN NI EL PARLA NI L'ESCRIU","factor"
"ANGLES_ENTEN","L'ENTÉN","factor"
"ANGLES_PARLA","EL PARLA","factor"
"ANGLES_ESCRIU","L'ESCRIU","factor"
"ANGLES_RES","NO L'ENTÉN NI EL PARLA NI L'ESCRIU","factor"
"ESTUDIS_1A6","NIVELL D'ESTUDIS ACABATS","factor"
"U4S_POE","HA REALITZAT DURANT LES ÚLTIMES QUATRE SETMANES ALGUN TIPUS D’ESTUDI O FORMACIÓ","factor"
"ABAND_PREM","ABANDONAMENT ESCOLAR","factor"
"PMI_1A3","ÉS VOSTÈ EL MEMBRE DE LA LLAR QUE APORTA MÉS INGRESSOS","factor"
"PROF_ACT_A","TREBALLA PER COMPTE PROPI. QUANTS TREBALLADORS TÉ","factor"
"PROF_ACT_B","TREBALLA PER COMPTE D'ALTRI: PROFESSIÓ ACTUAL","factor"
"PROF_ACT","PROFESSIÓ ACTUAL A+B","factor"
"BCN_TREB","TREBALLA A LA CIUTAT DE BARCELONA","factor"
"DISTRICTE_TREB","A QUIN DISTRICTE DE BARCELONA TREBALLA","factor"
"BCN_TREB_1A4","ON TREBALLA L'ENTREVISTAT","factor"
"PROF_ABANS_A","SITUACIÓ LABORAL ANTERIOR","factor"
"PROF_ABANS_B","TREBALLAVA PER COMPTE PROPI: QUANTS TREBALLADORS TENIA","factor"
"PROF_ABANS_C","TREBALLAVA PER COMPTE D'ALTRI: PROFESSIÓ ANTERIOR","factor"
"PROF_ABANS","PROFESSIÓ ANTERIOR A+B+C","factor"
"RESUM_PARENTIU","TIPUS DE FAMÍLIA","factor"
"HAB_RES_1A4","NRE. PERSONES VIUEN A L'HABITATGE - TRAMS","factor"
"HAB_TREB_1A4","NRE. PERSONES TREBALLEN A L'HABITATGE - TRAMS","factor"
"HAB_RES_NAC","DISTRIBUCIÓ NACIONALITATS DE LES PERSONES DE L'HABITATGE","factor"
"NOENT_SEXE","(NOENT) SEXE","factor"
"NOENT_TRAMSEDAT","(NOENT) EDAT - TRAMS","factor"
"NOENT_ESTUDIS_1A6","(NOENT) NIVELL D'ESTUDIS ACABATS","factor"
"NOENT_SITLABORAL","(NOENT) SITUACIÓ LABORAL ACTUAL","factor"
"NOENT_PROF_ACT_A","(NOENT) TREBALLA PER COMPTE PROPI: QUANTS TREBALLADORS TÉ","factor"
"NOENT_PROF_ACT_B","(NOENT) TREBALLA PER COMPTE D'ALTRI: PROFESSIÓ ACTUAL","factor"
"NOENT_PROF_ABANS_A","(NOENT) SITUACIÓ LABORAL ANTERIOR A INACTIVITAT LABORAL","factor"
"NOENT_PROF_ABANS_B","(NOENT) TREBALLAVA PER COMPTE PROPI: QUANTS TREBALLADORS TENIA","factor"
"NOENT_PROF_ABANS_C","(NOENT) TREBALLAVA PER COMPTE D'ALTRI: PROFESSIÓ ANTERIOR","factor"
"PMI_SEXE","(PMI) SEXE","factor"
"PMI_TRAMSEDAT","(PMI) EDAT - TRAMS","factor"
"PMI_ESTUDIS_1A6","(PMI) NIVELL D'ESTUDIS ACABATS","factor"
"PMI_SITLABORAL","(PMI) SITUACIÓ LABORAL ACTUAL","factor"
"PMI_PROF_ACT_A","(PMI) TREBALLA PER COMPTE PROPI: QUANTS TREBALLADORS TÉ","factor"
"PMI_PROF_ACT_B","(PMI) TREBALLA PER COMPTE D'ALTRI: PROFESSIÓ ACTUAL","factor"
"PMI_PROF_ACT","(PMI) PROFESSIÓ ACTUAL A+B","factor"
"PMI_PROF_ABANS_A","(PMI) SITUACIÓ LABORAL ANTERIOR A INACTIVITAT LABORAL","factor"
"PMI_PROF_ABANS_B","(PMI) TREBALLAVA PER COMPTE PROPI: QUANTS TREBALLADORS TENIA","factor"
"PMI_PROF_ABANS_C","(PMI) TREBALLAVA PER COMPTE D'ALTRI: PROFESSIÓ ANTERIOR","factor"
"PMI_PROF_ABANS","(PMI) PROFESSIÓ ANTERIOR A+B+C","factor"
"PMI_PROF","(PMI) PROFESSIÓ ACTUAL+ANTERIOR","factor"
"NIVELLSOCIO_LLAR","NIVELL SOCIOECONÒMIC","factor"
"TIPO_ENTLLAR","TIPOLOGIA","factor"
"HAB_EDAT1874_1A2","HABITATGES AMB ENTREVISTATS DE 18-74 ANYS + ALGUN MEMBRE 18-64","factor"
"TE_CERT_DISCAP","GRAU DISCAPACITAT","factor"
"HAB_CERT_DISC","HABITATGE AMB PERSONA AMB GRAU DE DISCAPACITAT RECONEGUT","factor"
"PES","PES DE PONDERACIÓ","numeric"
"US30D_XARXES_Q06","XARXES SOCIALS PARTICIPA #6","factor"
"US30D_XARXES_Q07","XARXES SOCIALS PARTICIPA #7","factor"
