8.0,"55. Ciutat Meridiana","-12,4","-18,4","-17,2","-6,7","","",""
8.0,"56. Vallbona","--","--","--","--","","",""
9.0,"57. la Trinitat Vella","-2,2","-16,7","-10,6","-8,0","","",""
9.0,"58. Baró de Viver","-15,2","-16,2","-14,2","19,2","","",""
9.0,"59. el Bon Pastor","-7,4","-5,2","-7,9","-12,8","","",""
9.0,"60. Sant Andreu","-0,2","-9,0","-7,5","-9,4","","",""
9.0,"61. la Sagrera","-7,4","-1,8","-9,2","-12,0","","",""
9.0,"62. el Congrés i els Indians","-3,3","-3,3","-12,1","-12,4","","",""
9.0,"63. Navas","-9,5","-6,4","-8,8","-11,4","","",""
10.0,"64. el Camp de l'Arpa del Clot","-5,5","-6,5","-8,7","-10,0","","",""
10.0,"65. el Clot","-11,5","-1,5","-5,8","-9,0","","",""
10.0,"66. el Parc i la Llacuna del Poblenou","-9,1","-10,7","-3,9","-3,4","","",""
10.0,"67. la Vila Olímpica del Poblenou","20,6","-4,6","0,8","-6,6","","",""
10.0,"68. el Poblenou","4,2","-1,5","-10,9","-6,6","","",""
10.0,"69. Diagonal Mar i el Front Marítim del Poblenou","4,5","2,1","-1,6","-9,8","","",""
10.0,"70. el Besòs i el Maresme","-11,7","-5,5","-20,5","-6,2","","",""
10.0,"71. Provençals del Poblenou","-8,7","-6,5","-4,2","-6,5","","",""
10.0,"72. Sant Martí de Provençals","-9,7","-5,3","-11,3","-11,2","","",""
10.0,"73. la Verneda i la Pau","-7,9","-6,3","-14,6","-12,8","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
