"partit_politic","nom","cognom_1","cognom_2","genere","remuneracio","observacio_remuneracio_ca","observacio_remuneracio_es","observacio_remuneracio_en","president_partit","descripcio_carrec_ca","descripcio_carrec_es","descripcio_carrec_en","posicio_principal","dependencia_ca","dependencia_es","dependencia_en","descripcio_uo_ampliada","ordre_caixa","foto","cv_ca","cv_es","agenda_ca","agenda_es","declaracio_activitats_ca","declaracio_activitats_es","declaracio_bens_ca","declaracio_bens_es"
"","Agustín","Abelaira","Dapena","Masculí",104798.12,"La retribució indicada és la que percep com a gerent de Recursos.","La retribución indicada és la que percibe como gerente de Recursos.","The stated remuneration is the one he is entitled to as a manager of Resources.","No","Director","Director","Director","No","Direcció General Fundació Barcelona Cultura","Dirección General Fundación Barcelona Cultura","Directorate General for the Barcelona Cultura Foundation","Direcció General Fundació Barcelona Cultura",8,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCS.pdf","","","","","",""
"","Agustín","Abelaira","Dapena","Masculí",104798.12,"La retribució indicada és la que percep com a gerent de Recursos.","La retribución indicada és la que percibe como gerente de Recursos.","The stated remuneration is the one he is entitled to as a manager of Resources.","No","Vocal","Vocal","Member","No","Institut Municipal d'Hisenda de Barcelona","Instituto Municipal de Hacienda de Barcelona","Barcelona Municipal Tax Institute","Institut Municipal d'Hisenda de Barcelona",0,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCS.pdf","","","","","",""
"","Agustín","Abelaira","Dapena","Masculí",104798.12,"La retribució indicada és la que percep com a gerent de Recursos.","La retribución indicada és la que percibe como gerente de Recursos.","The stated remuneration is the one he is entitled to as a manager of Resources.","No","Vocal","Vocal","Member","No","Institut Municipal d'Informàtica de Barcelona","Instituto Municipal de Informática de Barcelona","Barcelona Municipal Institute of Information Technology","Institut Municipal d'Informàtica de Barcelona",0,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCS.pdf","","","","","",""
"","Aitor","Hernández","Carr","Masculí",68639.2,"En aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.290 euros, en 14 pagues.","En aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.290 euros, en 14 pagas.","Under the code of ethics of Barcelona en Comú, he will receive a net monthly salary of 2,290 euros, in 14 instalments.","No","Assessor 2","Asesor 2","Advisor 2","Sí","Direcció de l'Alcaldia","Dirección de la Alcaldía","Directorate for the Mayor's Office","Direcció de l'Alcaldia",9,"","https://apidocs.barcelona.cat/retribucions_pro/EVE_AJB_Aitor%20Hern%C3%A1ndez%20Carr_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/EVE_AJB_Aitor%20Hern%C3%A1ndez%20Carr_CVCS.pdf","","","","","",""
"ERC","Alba","Segura","Gomila","Femení",0.0,"Com a consellera sense dedicació, no té assignada una retribució fixa, i només percep les dietes que estableix la normativa per assistència a les sessions, amb un màxim de 10.000 euros anuals. Els barems de càlcul es troben a l'apartat <a href="" https://ajuntament.barcelona.cat/transparencia/ca/dietes-que-perceben-els-alts-carrecs-de-lajuntament "" target=”_blank”>'Dietes dels alts càrrecs'.</a>","Como consejera sin dedicación no tiene asignada una retribución fija, y solo percibe las dietas que establece la normativa por asistencia a las sesiones, con un máximo de 10.000 euros anuales. Los baremos de cálculo se encuentran en el apartado  <a href="" https://ajuntament.barcelona.cat/transparencia/es/dietas-que-perciben-los-altos-cargos-del-ayuntamiento"" target=”_blank”>  'Dietas de los altos cargos'. </a>","As a non-exclusive councillor, he has no fixed salary and only receives the subsistence allowance established under the regulations for attending meetings, up to a maximum of 10,000 euros a year. The calculation tables can be found in the  <a href="" https://ajuntament.barcelona.cat/transparencia/es/dietas-que-perciben-los-altos-cargos-del-ayuntamiento"" target=”_blank”>  ' Subsistence allowance for senior posts. </a> section.","No","Consellera","Consejera","District Councillor","Sí","Consell Municipal del Districte de Ciutat Vella","Consejo Municipal del Distrito de Ciutat Vella","Ciutat Vella District Council","Consell Municipal del Districte de Ciutat Vella",5,"https://apidocs.barcelona.cat/retribucions_pro/CLL_D01_Alba_Segura%20Gomila_FOTO.jpg","","","","","","","",""
"Barcelona pel Canvi","Alba","Gómez","Rodríguez","Femení",35250.04,"","","","No","Consellera","Consejera","District Councillor","Sí","Consell Municipal del Districte de Sants-Montjuïc","Consejo Municipal del Distrito de Sants-Montjuïc","Sants-Montjuïc District Council","Consell Municipal del Districte de Sants-Montjuïc",5,"https://apidocs.barcelona.cat/retribucions_pro/CLL_D03_Alba_Gomez_Rodr%C3%ADguez_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/CLL_D03_Alba%20G%C3%B3mez%20Dom%C3%ADnguez_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/CLL_D03_Alba%20G%C3%B3mez%20Dom%C3%ADnguez_CVCS.pdf","","","","","",""
"PSC","Albert","Deusedes","Perelló","Masculí",0.0,"Com a conseller sense dedicació no té assignada una retribució fixa, i només percep les dietes que estableix la normativa per assistència a les sessions, amb un màxim de 10.000 euros anuals. Els barems de càlcul es troben a l'apartat <a href="" https://ajuntament.barcelona.cat/transparencia/ca/dietes-que-perceben-els-alts-carrecs-de-lajuntament "" target=”_blank”>'Dietes dels alts càrrecs'.</a>","Como consejero sin dedicación no tiene asignada una retribución fija, y solo percibe las dietas que establece la normativa por asistencia a las sesiones, con un máximo de 10.000 euros anuales. Los baremos de cálculo se encuentran en el apartado  <a href="" https://ajuntament.barcelona.cat/transparencia/es/dietas-que-perciben-los-altos-cargos-del-ayuntamiento"" target=”_blank”>  'Dietas de los altos cargos'. </a>","As a non-exclusive councillor, he has no fixed salary and only receives the subsistence allowance established under the regulations for attending meetings, up to a maximum of 10,000 euros a year. The calculation tables can be found in the  <a href="" https://ajuntament.barcelona.cat/transparencia/es/dietas-que-perciben-los-altos-cargos-del-ayuntamiento"" target=”_blank”>  ' Subsistence allowance for senior posts. </a> section.","No","Conseller","Consejero","District Councillor","No","Consell Municipal del Districte de Sants-Montjuïc","Consejo Municipal del Distrito de Sants-Montjuïc","Sants-Montjuïc District Council","Consell Municipal del Districte de Sants-Montjuïc",5,"https://apidocs.barcelona.cat/retribucions_pro/CLL_D03_Albert%20Deusedes%20Perell%C3%B3_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/CLL_D03_Albert%20Deusedes%20Perell%C3%B3_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/CLL_D03_Albert%20Deusedes%20Perell%C3%B3_CVCS.pdf","","","","","",""
"Junts per Catalunya","Albert","Cerrillo","Lladó","Masculí",0.0,"Com a conseller sense dedicació no té assignada una retribució fixa, i només percep les dietes que estableix la normativa per assistència a les sessions, amb un màxim de 10.000 euros anuals. Els barems de càlcul es troben a l'apartat <a href="" https://ajuntament.barcelona.cat/transparencia/ca/dietes-que-perceben-els-alts-carrecs-de-lajuntament "" target=”_blank”>'Dietes dels alts càrrecs'.</a>","Como consejero sin dedicación no tiene asignada una retribución fija, y solo percibe las dietas que establece la normativa por asistencia a las sesiones, con un máximo de 10.000 euros anuales. Los baremos de cálculo se encuentran en el apartado  <a href="" https://ajuntament.barcelona.cat/transparencia/es/dietas-que-perciben-los-altos-cargos-del-ayuntamiento"" target=”_blank”>  'Dietas de los altos cargos'. </a>","As a non-exclusive councillor, he has no fixed salary and only receives the subsistence allowance established under the regulations for attending meetings, up to a maximum of 10,000 euros a year. The calculation tables can be found in the  <a href="" https://ajuntament.barcelona.cat/transparencia/es/dietas-que-perciben-los-altos-cargos-del-ayuntamiento"" target=”_blank”>  ' Subsistence allowance for senior posts. </a> section.","No","Conseller","Consejero","District Councillor","Sí","Consell Municipal del Districte de l'Eixample","Consejo Municipal del Distrito de L'Eixample","Eixample District Council","Consell Municipal del Districte de l'Eixample",5,"https://apidocs.barcelona.cat/retribucions_pro/CLL_D02_Albert%20Cerrillo%20Llad%C3%B3_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/CLL_D02_Albert%20Cerrillo%20Llad%C3%B3_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/CLL_D02_Albert%20Cerrillo%20Llad%C3%B3_CVCS.pdf","","","","","",""
"","Albert","Dalmau","Miranda","Masculí",99839.46,"","","","No","Gerent 2","Gerent 2","Gerent 2","Sí","Gerència d'Àrea d'Economia, Recursos i Promoció Econòmica","Gerencia de Área de Economía, Recursos y Promoción Económica","Management of the Area of Economics, Resources and Economic Promotion","Gerència d'Àrea d'Economia, Recursos i Promoció Econòmica",7,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCS.pdf","","","","","",""
"","Albert","Dalmau","Miranda","Masculí",99839.46,"","","","No","Conseller","Consejero","District Councillor","No","Barcelona Activa, SAU SPM","Barcelona Activa, SAU, SPM","Barcelona Activa, SAU SPM","Barcelona Activa, SAU SPM",0,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCS.pdf","","","","","",""
"","Albert","Dalmau","Miranda","Masculí",99839.46,"","","","No","Conseller","Consejero","District Councillor","No","Barcelona Cicle de l'Aigua, SA","Barcelona Ciclo del Agua, SA","Barcelona Cicle de l'Aigua, SA","Barcelona Cicle de l'Aigua, SA",0,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCS.pdf","","","","","",""
"","Albert","Dalmau","Miranda","Masculí",99839.46,"","","","No","Vocal","Vocal","Member","No","Institut Municipal de Mercats de Barcelona","Instituto Municipal de Mercados de Barcelona","Municipal Institute of Barcelona Markets","Institut Municipal de Mercats de Barcelona",0,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Albert%20Dalmau%20Miranda_CVCS.pdf","","","","","",""
