"Tipus ens","Òrgan contractant","Número de contracte","Tipus de contracte","Objecte contracte","Preu inicial del contracte","Data formalització pròrroga","Preu de la pròrroga","Data inici pròrroga","Data final pròrroga","Número pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17004830-002"," Serveis ","MANTENIMENT SIST.SEGURETAT, INCENDIS LOT 2","987965.68","NO CONSTA","493982.84","01/01/2020","31/12/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18000604-002"," Serveis ","ADAPTACIONS CREATIVITAT CAMPANYES COMUNICACIÓ","423500.00","NO CONSTA","151250.00","01/01/2020","31/10/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18002584-001"," Serveis ","CUSTODIA DOCUMENTS ADMINISTRATIUS I SERV.VINCULATS","35190.28","NO CONSTA","21519.09","01/01/2020","31/12/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18002596L02-002"," Subministraments ","Altre material de conservació","34701.89","NO CONSTA","34138.76","04/12/2019","31/12/2021","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005540-001"," Serveis ","Manteniment edificis LOT 1","503191.26","NO CONSTA","335460.84","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005541-001"," Serveis ","Manteniment edificis LOT 2","453779.49","NO CONSTA","302519.66","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005542-001"," Serveis ","Manteniment edificis LOT 3","221720.26","NO CONSTA","147813.51","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005543-001"," Serveis ","Manteniment edificis LOT 4","323927.06","NO CONSTA","215951.37","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005544-001"," Serveis ","Manteniment edificis LOT 5","223716.64","NO CONSTA","149144.43","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005546-001"," Serveis ","Manteniment edificis LOT 6","190999.98","NO CONSTA","127333.32","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","18005547-001"," Serveis ","Manteniment edificis LOT 7","475987.51","NO CONSTA","317325.00","01/04/2019","31/05/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","19000048-001"," Serveis ","Servei de gestió i enviament d'e-comunicacions","219209.73","NO CONSTA","219209.73","01/01/2020","31/12/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","19001285-001"," Serveis ","Negociat MobileID","155420.00","NO CONSTA","54171.70","05/10/2019","05/04/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","17000865-001"," Serveis ","Cicle de cinema i drets dels infants","94690.92","17.04.2019","47345.46","02.05.2019","01.05.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","17000916-001"," Serveis ","Organització del programa el dia de la diversitat","133194.23","NO HI HA FORMALITZACIÓ A SAP","66597.12","02.05.2019","01.05.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","17001183-001"," Serveis ","Pregó dels Infants a les Festes de Santa Eulàlia","112630.80","NO HI HA FORMALITZACIÓ A SAP","56315.40","02.05.2019","01.05.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","17001657-002"," Serveis ","Servei per a adolescents i famílies (SAiF)","906201.66","NO HI HA FORMALITZACIÓ A SAP","443933.46","01.07.2019","30.03.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","17002834-004"," Serveis ","Gestió, impuls i dinamització Centre Recursos DH","249853.60","NO HI HA FORMALITZACIÓ A SAP","52052.83","01.02.2019","30.06.2019","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","17006051-L02-001"," Serveis ","Gestió financera i auditoria UIA - Lot 2","26367.64","18.12.2019","6278.01","01.01.2020","31.05.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","18000254-001"," Serveis ","Revisió informes documentació justificativa projec","164802.00","NO HI HA FORMALITZACIÓ A SAP","82401.00","01.01.2020","30.06.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","18003127-001"," Serveis ","La gestió i desenvolupament del projecte VinclesBc","1932554.73","NO HI HA FORMALITZACIÓ A SAP","961069.92","01.01.2020","30.06.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Drets Socials","18003467-001"," Serveis ","Gestió dels terrenys d'acampada Can Girona","30722.36","NO HI HA FORMALITZACIÓ A SAP","7680.59","03.11.2019","02.11.2020","1a pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","17001638"," Serveis ","Assistència veterinària i altres serveis a cavalls i gossos de la GUB","183920.00","30/09/2019","183920.00","26/11/2019","25/11/2021","1a. I última"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","18005132"," Serveis ","Reparacions dispositius i impressores PDA de la GUB","99725.18","19/08/2019","60160.29","12/09/2019","11/03/2020","1a. I última"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","17004393"," Serveis ","Adqu. Uniformitat bàsica operativa per a la GUB","3958211.92","10/10/2019","3958211.92","01/01/2020","21/12/2021","1a. I última"
"AJUNTAMENT DE BARCELONA","Gerència de Seguretat i Prevenció","16001369"," Serveis ","Mant., càrrega i inspecció botelles aire ERA de l'SPEIS","219162.46","08/04/2019","219162.46","01/07/2019","30/06/2021","1a. I última"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16003580"," Serveis ","Contractació dels serveis d’assistència tècnica del Departament de Resiliència Urbana en l’àmbit de les eines i processos d’integració i anàlisi de dades de la plataforma de resiliència","245645.73","01.02.2019","245645.73","28.03.2019","27.03.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16001317"," Serveis ","Manteniment dels sistemes de visió artificial i el foment de l’ocupació de persones amb dificultats particulars d’inserció al mercat, per als anys 2016-18","423266.66","04.03.2019","423266.66","26.05.2019","25.05.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000527"," Serveis ","Gestió dels serveis de neteja de l’espai públic i recollida de residus municipals a la ciutat de Barcelona. Zona Nord","299101320.40","10.04.2019","80328356.46","01.11.2019","31.08.2021","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000528"," Serveis ","Gestió dels serveis de neteja de l’espai públic i recollida de residus municipals a la ciutat de Barcelona, Zona Centre","797482894.16","10.04.2019","187235092.20","01.11.2019","31.08.2021","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000529"," Serveis ","gestió dels serveis de neteja de l’espai públic i recollida de residus municipals a la ciutat de Barcelona. Zona Est","407731830.46","10.04.2019","102203270.21","01.11.2019","31.08.2021","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","08000530"," Serveis ","Gestió dels serveis de Neteja de l’Espai Públic i de recollida de Residus Municipals a la ciutat de Barcelona Zona Oest","490108976.24","10.04.2019","109302625.67","01.11.2019","31.08.2021","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","15004757"," Serveis ","servei de custodia de documents administratius serveis vinculats (2016-2018), i el foment de l’ocupació de persones amb dificultats d’inserció al mercat laboral","164623.69","09.05.2019","72243.59","01.06.2019","31.05.2020","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","14004236"," Serveis ","serveis de subministrament, distribució i retirada de tanques en actes públics a la ciutat de Barcelona (2015-2016)","1100000.00","01.02.2019","214998.67","04.02.2019","03.07.2019","3ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","14004236"," Serveis ","serveis de subministrament, distribució i retirada de tanques en actes públics a la ciutat de Barcelona (2015-2016)","1100000.00","28.06.2019","128999.20","04.07.2019","03.10.2019","4ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002891"," Serveis ","Serveis per a la informació tècnica dels projectes i recepció de les obres d'urbanització en els elements que competen al departament de xarxes viàries 2016-2018","432776.34","21.06.2019","432776.32","21.06.2019","20.06.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16001283"," Serveis ","Assistència tècnica en la gestió dels treballs de manteniment, neteja i telecomandament d'aparells elevadors, i subministrament, distribució i retirada de tanques actes públics de la ciutat (2016-2018)","273176.90","16.07.2019","136588.45","19.09.2019","18.09.2020","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","17001440"," Serveis ","serveis de suport a l’anàlisi i avaluació de serveis d’Ecologia Urbana de l’Ajuntament de Barcelona","256981.36","16.07.2019","256981.36","11.10.2019","10.10.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","17000387"," Serveis ","servei d'assistència i suport tècnic en la gestió, avaluació i seguiment de la contaminació acústica 2017-18, i el foment de l’ocupació de persones amb dificultats particulars d’inserció al mercat laboral","420000.00","29.07.2019","420000.00","01.09.2019","31.08.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","15001694"," Serveis ","manteniment i reparació de les instal·lacions i sistemes de regulació del trànsit a la ciutat de Barcelona – Lot 1","6082107.49","17.09.2019","2027369.15","01.10.2019","30.05.2020","3ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","15001695"," Serveis ","manteniment i reparació de les instal•lacions i sistemes de regulació del trànsit a la ciutat de Barcelona – Lot 2","5142975.49","17.09.2019","1714325.15","01.10.2019","30.05.2020","3ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","18000071"," Serveis ","servei d’acolliment d’animals del Centre d’Acollida d’Animals de Companyia de Barcelona (CAACB) desplaçats del centre (2018-2020), amb mesures de contractació pública sostenible","437233.50","13.12.2019","291489.00","26.01.2020","25.01.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16005605"," Serveis ","Serveis de recollida i trasllat d’animals de companyia perduts o abandonats a la ciutat de Barcelona al Centre d’Acolliment d’Animals de Companyia de Barcelona (CAACB)","323000.00","19.09.2019","323000.00","06.10.2019","05.10.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16003250"," Serveis ","Servei de la neteja de pintades, eliminació de cartells i retirada d’altres elements de la via pública i el foment de l’ocupació de persones amb dificultats particulars d’inserció laboral, per als anys 2016-2019 ","11827812.00","01.10.2019","3942604.00","01.11.2019","31.10.2020","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","14004236"," Serveis ","Serveis de subministrament, distribució i retirada de tanques en actes públics a la ciutat de Barcelona (2015-2016)","1100000.00","03.10.2019","123390.53","04.10.2019","31.12.2019","5ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","15004487"," Serveis ","Serveis d'assistència tècnica i assessorament en el seguiment i control de les actuacions durant el periode 2016-2018 pel que fa al protocol de tramitació de projectes i seguiment de les obres; al Comité de Mobilitat i a la Comissió d'Obres i a la Intervenció General (2016-2018)","1028016.00","14.10.2019","514008.00","20.10.2019","19.10.2020","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16004465"," Serveis ","Seguiment i control de plans, projectes i obres de millora i implantació d’infraestructures a la ciutat de Barcelona, i el foment de l’ocupació de persones amb dificultats particulars d’inserció al mercat laboral (2017-2018), ","138477.24","25.10.2019","69238.62","02.11.2019","01.11.2020","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16001721"," Serveis ","Assistència Tècnica i Control de Qualitat del Contracte de Conservació de l'Enllumenat Públic de Barcelona (2016-19) ","775473.85","31.10.2019","258491.29","15.12.2019","14.12.2020","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","18002413"," Serveis ","Serveis d’Assistència tècnica i suport jurídic i logístic en la tramitació dels processos de gestió d’expedients sancionadors, amb mesures de contractació pública sostenible","204447.00","03.12.2019","204447.00","02.01.2020","01.01.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","19001522"," Serveis ","Serveis de gestió, dinamització i impuls a la fabricació digital de l'Ateneu de Fabricació Digital La Fàbrica del Sol, amb mesures de contractació pública sostenible i foment de la contractació femenina","55498.71","12.12.2019","55498.71","26.12.2019","25.06.2020","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002516"," Serveis ","Conservació de les instal·lacions d'enllumenat - Lot 1 (Ciutat Vella, Eixample i Sants-Montjuïc)","17374923.70","27.09.2019","11583282.46","01.01.2020","31.12.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002517"," Serveis ","Conservació de les instal·lacions d'enllumenat - Lot 2 (Les Corts, Sarrià-Sant Gervasi, Gràcia i Horta-Guinardó)","17641863.60","27.09.2019","11761242.40","01.01.2020","31.12.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16002518"," Serveis ","Conservació de les instal·lacions d'enllumenat - Lot 3 (Nou Barris, Sant Andreu i Sant Martí)","21083212.70","27.09.2019","14055475.16","01.01.2020","31.12.2021","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","17000388"," Serveis ","Servei d’assistència i assessorament tècnic al programa Ajuntament + Sostenible 2017-19, amb mesures de contractació pública sostenible","203280.00","19.12.2019","203280.00","17.01.2020","16.01.2022","1ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","16001733"," Serveis ","Serveis d’assistència tècnica per a la definició, seguiment i control dels plans especials d’infraestructures de serveis urbans que són de l’àmbit de la Gerència Adjunta de Mobilitat i Infraestructures","118096.00","19.12.2019","59048.00","13.01.2020","12.01.2021","2ª"
"AJUNTAMENT DE BARCELONA","Gerència d'Ecologia Urbana","15004188"," Serveis ","Assistència tècnica en la recollida d'informació viària, senyalització, aparcament i estacionament regulat, mobilitat de vianants, bicicletes, transport públic de la ciutat de Barcelona, i d'aforaments de trànsit, així com l'explotació de les dades obtingudes, i foment de l'ocupació de persones amb dificultats d'inserció al mercat laboral ","174588.65","19.12.2019","87294.33","25.01.2020","24.01.2021","2ª"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","16006809"," Serveis ","Serveis auxiliars suport funcionament i activitats Districte Ciutat Vella, reservat a CET","122335.53","26/03/2019","48688.97","01/04/2019","31/12/2019","1a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","17006893"," Serveis ","Servei impressió, escaneig i còpia de documents als centres i edificis de l'àmbit gestió Districte de Ciutat Vella","73205.00","27/03/2019","36602.50","01/04/2019","30/09/2019","1a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","16004508"," Serveis ","Serveis dinamització Ludoteca Placeta del Pi","153467.69","01/01/2019","76733.84","01/01/2019","31/12/2019","1a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","17002615"," Serveis ","Servei de dinamització del Casal de Joves Palau Alòs i del Punt Informació Juvenil ","526963.04","17/09/2019","287434.38","01/10/2019","30/09/2020","1a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","18003083"," Serveis ","Servei de bus llançadora entre l'Hospital del Mar i l'Hospital de l'Esperança","122096.49","12/09/2019","31024.52","01/10/2019","31/12/2019","1a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00007"," Concessió ","Pròrroga continuitat serveis Concessió dinamització i promoció gent gran i gestió casals gent gran","1360860.38","11/12/2018","138908.96","01/01/2019","31/03/2019","4a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00007"," Concessió ","Pròrroga continuitat serveis Concessió dinamització i promoció gent gran i gestió casals gent gran","1360860.38","20/03/2019","138908.96","01/04/2019","30/06/2019","5a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00011"," Concessió ","Pròrroga per continuitat de serveis Concessió Centre Cívic Barceloneta","938816.61","11/12/2018","97118.96","01/01/2019","31/03/2019","4a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00011"," Concessió ","Pròrroga per continuitat de serveis Concessió Centre Cívic Barceloneta","938816.61","20/03/2019","97118.96","01/04/2019","30/06/2019","5a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00031"," Concessió ","Pròrroga per continuitat de serveis Concessió Centre Cívic Drassanes","835393.60","20/03/2019","108964.38","01/04/2019","30/06/2019","4a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00032"," Concessió ","Pròrroga per continuitat de serveis Concessió Centre Cívic Convent Sant Agustí","744486.96","20/03/2019","97107.00","01/04/2019","30/06/2019","4a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","14C00033"," Concessió ","Pròrroga per continuitat de serveis Concessió Centre Cívic Pati Llimona","637972.68","20/03/2019","83213.83","01/04/2019","30/06/2019","4a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","15C00009"," Concessió ","Gestió i dinamització espais esportius i pistes de centres escolars i de les pistes poliesportives del Districte de Ciutat Vella","503434.68","28/12/2018","146835.12","01/01/2019","30/07/2019","3a"
"AJUNTAMENT DE BARCELONA","Districte de Ciutat Vella","15C00009"," Concessió ","Pròrroga per continuitat de serveis Gestió i dinamització espais esportius i pistes de centres escolars i de les pistes poliesportives del Districte de Ciutat Vella","503434.68","15/07/2019","104882.22","01/08/2019","31/12/2019","4a"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","16C00003"," Concessió Serveis ","Gestió i explotació Ccívic Fort Pienc ","668701.26","24/12/2018","253921.18","01/01/2019","31/12/2019","1ª"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00020"," Concessió Serveis ","Gestió i explotació Ccívic Borrell ","617705.07","01/01/2019","310391.53","01/01/2019","31/12/2019","2ª"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00019"," Concessió serveis ","Gestió i explotació Ccívic Golferichs","413532.09","01/01/2019","214048.24","01/01/2019","31/12/2019","2ª"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00024"," Concessio serveis ","Gestió i explotació CC Sagrada Família","750200.20","01/01/2019","375100.00","01/01/2019","31/12/2019","2ª"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00017"," Concessió serveis ","Gestió i explotació CC Casa Elizalde","299511.84","01/01/2019","159713.92","01/01/2019","31/12/2019","2ª"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","14C00013"," Concessió serveis ","Gestió i explotació CC Urgell (continuïtat servei)","470180.40","01/01/2019","73821.00","01/01/2019","30/04/2019","Continuïtat"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","14C00013"," Concessió serveis ","Gestió i explotació CC Urgell (continuïtat servei)","470180.40","01/01/2019","36907.50","01/05/2019","30/06/2019","Continuïtat"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00001"," Concessió serveis ","Gestió Complex Esportiu Fort Pienc i Pistes Joan Miro","246992.19","01/01/2019","23553.62","01/01/2019","31/03/2019","2ª"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00001"," Concessió serveis ","Gestió Complex Esportiu F.Pienc i Pistes Joan Miro(Continuïtat)","246992.19","29/03/2019","80425.21","01/04/2019","15/09/2019","Continuïtat"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","15C00001"," Concessió serveis ","Gestió Complex Esportiu F.Pienc i Pistes Joan Miro(Continuïtat)","246992.19","13/09/2019","10294.50","15/09/2019","14/10/2019","Continuïtat"
"AJUNTAMENT DE BARCELONA","Districte de l'Eixample","16000981"," Serveis ","Gestió i dinamització projecte XEIX","158422.52","30/05/2018","49315.90","01/06/2018","30/05/2019","1ª"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","16005733"," serveis ","Dinamització i prestació de serveis socioculturals de l'equipament Bàscula Jove","455647.57","09/12/2019","151188.53","03/02/2020","02/02/2021","1era"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","18003183"," serveis ","Dinamització de l'equipament i prestació de seveis socioculturals al Centre Cívic el Sortidor, amb mesures de contractació pública sostenible","282377.37","03/09/2019","282377.37","20/02/2019","19/09/2020","1era"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","16003505"," serveis ","Servei educadors cívics Districte III","296426.26","10/12/2018","296426.26","01/01/2019","31/12/2020","1era"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","16004032"," serveis ","serveis del punt d'informació juvenil","133825.78","10/12/2018","133825.78","01/01/2019","31/12/2020","1era"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","17000747"," serveis ","Servei reforç educatiu primària i cicles","90338.30","14/08/2018","67753.73","01/09/2018","30/06/2019","1era"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","16006837"," serveis ","Servei de gestió i dinamització poliesportiu Energia","99894.33","03/01/2019","17628.41","01/01/2019","31/03/2019","2ona"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","17004178"," serveis ","Dinamització centre cultural Albareda","296348.17","21/01/2019","296348.17","02/02/2019","01/02/2020","1era"
"AJUNTAMENT DE BARCELONA","Districte de Sants-Montjuïc","18002152"," serveis ","Control d'accés, repartiment i informació bàsica","105139.21","31/12/2018","156179.25","01/01/2019","08/11/2019","1era"
"AJUNTAMENT DE BARCELONA","Districte de les Corts","14C00036"," CONCESSIÓ DE SERVEIS ","GESTIÓ I EXPLOTACIÓ IME ARÍSTIDES MAILLOL","0.00","31/12/2018","0.00","01/01/2019","31/03/2019","2"
"AJUNTAMENT DE BARCELONA","Districte de les Corts","14C00036"," CONCESSIÓ DE SERVEIS ","GESTIÓ I EXPLOTACIÓ IME ARÍSTIDES MAILLOL","0.00","29/04/2019","0.00","01/04/2019","31/10/2019","3"
"AJUNTAMENT DE BARCELONA","Districte de les Corts","14C00036"," CONCESSIÓ DE SERVEIS ","GESTIÓ I EXPLOTACIÓ IME ARÍSTIDES MAILLOL","0.00","31/10/2019","0.00","01/11/2019","30/09/2020","4"
"AJUNTAMENT DE BARCELONA","Districte de les Corts","16C00024"," CONCESSIÓ DE SERVEIS ","GESTIÓ I EXPLOTACIÓ IME PAVELLÓ ILLA","119460.00","14/10/2019","75320.00","01/10/2019","30/09/2021","1"
