"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 24"
"Cunill, Julio. CBFOTO. Servei d'Elements Urbans","Jardins de la Vil·la Amèlia (Barcelona)","","1987-04-01","2002-01-01","Data aproximada. Torres, Elies; Martínez Lapeña. Pla mig del fanal d'estil Lampelunas, del qual destaca el disseny de diferents pantalles o llunes de planxa de ferro galvanitzades i col·locades en espiral vertical. L'element es sitúa als jardins de la Vil·la Amèlia (Sarrià-Sant Gervasi).","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","177. DEUENL4_10",6.0,"http://hdl.handle.net/11703/73565","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. TORRES, Elies","Fanal Lampelunas","image",""
"Servei d'Elements Urbans","Burgo de Osma (Castella i Lleó)","","","2002-01-01","Pla general on es mostra una plaça típica   a Burgo de Osma, Sòria. Dins aquesta, es    veuen uns bancs dobles, intercalats entre  uns arbres. Els elements urbans són de fusta   i es recolzen en blocs de formigó.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","60. DEUBAN5_17",2.0,"http://hdl.handle.net/11703/73449","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BANCS. ELEMENTS URBANS","Banc a Burgo de Osma","image",""
"Servei d'Elements Urbans","","","","2003-04-01","Número de fitxa al catàleg actual: 1.6.2. Unitat operativa d'Aigues i Sanejament/CLABSA. Dibuix tècnic d'un embornal i pou de registre  per a col·lectors majors de 70 cm.   Al document s'especifiquen els materials  que s'han fet servir.","","","application/pdf","1 dibuix tècnic","Positiu. Blanc i negre","1668. DEUEMBPOU1_CV1228","","http://hdl.handle.net/11703/75002","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","EMBORNALS I POUS DE REGISTRE","Embornal i pou de registre per a col.lectors de més de 70 cm","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Espanya, Plaça (Barcelona)","","1992-08-13","2002-01-01","Primeríssim primer pla de la Font de la plaça  Espanya.   La font està essent restaurada.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","873. NEUFON510_32",28.0,"http://hdl.handle.net/11703/74254","","CC-BY","openAccess","Ajutnament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Font de la plaça Espanya","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Parc de Montjuïc (Barcelona). Barcelona. Districte 3. Sants-Montjuïc","","1993-05-05","2002-01-01","Primer pla d'una font al Parc de Montjuïc. Està realitzada amb maó i pedra. Es mostra un mascaró que representa la cara d'un home amb la boca oberta. Al nivell de terra, hi ha una vorada que fa la funció de límit i pila de desguàs de la font.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1087. NEUFON668_7",34.0,"http://hdl.handle.net/11703/74468","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font del Parc de Montjuïc","image",""
"Servei d'Elements Urbans","Catedral, Avinguda (Barcelona)","","","2002-01-01","Periel, Montse. Primer pla de Barana d'acer inoxidable  (Inox 50) de forma tubular ubicada a  l'avinguda Catedral.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","76. DEUBAR2_1",2.0,"http://hdl.handle.net/11703/73464","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BARANES. ELEMENTS URBANS. Periel Piquer, Montserrat","Barana INOX 25","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Catedral, Avinguda (Barcelona)","1990","1991-10-01","2002-01-01","Roselló, Antoni. Pla general de l'avinguda Catedral, on es   mostra una font Georgina.  És d'acer inoxidable.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","840. NEUFON313_4",27.0,"http://hdl.handle.net/11703/74221","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ROSELLÓ, Antoni. FUNDICIONES DE HIERROS COLOMER, S.A.","Font Georgina","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 6. Gràcia. Hospital Militar, Avinguda (Barcelona). Gomis, Carrer (Barcelona)","","1993-06-25","2002-01-01","Primer pla d'una font mural, a la confluència   de l'avinguda Hospital Militar amb el carrer  Gomis. Disposa de dues aixetes de llautó.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1275. NEUFON714_5",40.0,"http://hdl.handle.net/11703/74655","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a l'avinguda Hospital Militar amb el carrer Gomis","image",""
"Servei d'Elements Urbans","Can Caralleu, Carrer (Barcelona)","","","2002-01-01","Primer pla d'unes columnes de formigó a Can  Caralleu. Per sobre d'aquestes es troba   una barana en forma de tanca, que delimita  l'acabament d'un tram de la xarxa viària.  Dit element urbà s'adapta a les corves i   rectes que s'alternen al terreny.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","89. DEUBAR2_9",3.0,"http://hdl.handle.net/11703/73477","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","BARANES. ELEMENTS URBANS","Barana Can Caralleu","image",""
"Servei d'Elements Urbans","","","","2003-04-01","Número de fitxa al catàleg actual: 2.1.4.. Periel, Montse; Montes, Antonio. Dibuix tècnic d'una barana Línia.  Al document s'especifiquen les característiques  de l'element i es presenta una relació dels  materials emprats per a la seva realització.","","","application/pdf","1 dibuix tècnic","Positiu. Blanc i negre","1675. DEUBAR1_CV1313","","http://hdl.handle.net/11703/75009","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","ELEMENTS URBANS. BARANES. Periel Piquer, Montserrat","Barana Línia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1994-10-03","2002-01-01","Henrich, Jordi; Tarrasó, Olga. Primer pla d'una balisa model P.E.P.   realitzada d'acer galvanitzat.  Té una forma cilíndrica i grans dimensions.  Acostuma a ubicar-se en zones portuàries.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","662. NEUENL1110_19",21.0,"http://hdl.handle.net/11703/74049","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. HENRICH, Jordi. TARRASÓ, Olga","Balisa P.E.P.","image",""
"Lajusticia, Antonio. Imatge i Producció Editorial","Barcelona. Districte 6. Gràcia. Parc Güell (Barcelona). Olot, Carrer (Barcelona)","1900. 1914","","2004-06-21","Cap de drac de trencadís de ceràmica, a l'escalinata monumental del Parc Güell.","","","image/jpeg","","","25255. BCN04496","","http://hdl.handle.net/11703/75119","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS MODERNISTES. PARCS. GAUDÍ CORNET, Antoni","Parc Güell","image",""
"Servei d'Elements Urbans","Barcelona. Districte 7. Horta-Guinardó","","1995-02-01","2002-01-01","Data aproximada. Pla general al passeig de la Vall d'Hebrón  on es presenten unes jardineres alineades.  Aquests elements urbans tenen dues anses  a la part superior, per tal de poder moure-les.  Les jardineres contenen palmeres.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","275. DEUJAR1_17",9.0,"http://hdl.handle.net/11703/73663","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JARDINERES. ELEMENTS URBANS","Jardinera al passeig Vall d Hebron","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 1. Ciutat Vella. Pelai, Carrer (Barcelona)","","1986","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Color","NEUQUIONC3716_03",190.0,"http://hdl.handle.net/11703/105015","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. Quioscos. FARRANDO SICILIA, Jordi","Quiosc ONCE al carrer Pelai","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Catedral, Avinguda (Barcelona)","1990","1991-10-01","2002-01-01","Roselló, Antoni. Primer pla d'una font Georgina, d'acer inoxidable. S'ubica a l'abinguda Catedral.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","841. NEUFON313_E",27.0,"http://hdl.handle.net/11703/74222","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ROSELLÓ, Antoni","Font Georgina","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 8. Nou Barris. Júlia, Via (Barcelona)","","1984","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Blanc i negre","NEUD08MOB2738_03",189.0,"http://hdl.handle.net/11703/104962","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS","Mobiliari urbà a la Vila Júlia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","J. V. Foix, Avinguda (Barcelona)","","1995-07-26","2002-01-01","Ajuntament de Barcelona. Servei d'Elements Urbans. Pla general, picat, d'una paperera d'acer   galvanitzat model Barcelona-70 litres.   L'element es troba al costat d'un gual de   vianants a l'avinguda J. V. Foix.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1462. NEUPAP1398_23",46.0,"http://hdl.handle.net/11703/74842","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PAPERERES","Paperera Barcelona 60l.","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc. Parc de Montjuïc (Barcelona)","1929","1993-05-03","2002-01-01","Data aproximada. Alsina Amils, Antoni. Pla general d'una part del Parc de Montjuïc. Es mostra un estany amb brolladors, així com una escultura que porta per títol: Dansarina. Dits elements es troben situats davant la Font del Gat.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1035. NEUFON665_21",33.0,"http://hdl.handle.net/11703/74416","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ALSINA AMILS, Antoni","Fonts davant l'Umbracle","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Príncep d'Astúries, Avinguda (Barcelona)","","1996-11-12","2002-01-01","Pericas, Enric. Primer pla d'una torreta de ventil·lació de C. transformadora.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1594. NEUVEN2013_10",50.0,"http://hdl.handle.net/11703/74973","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","VENTILACIÓ. ELEMENTS URBANS. Pericas, Enric","Torreta de ventilació central transformadora","image",""
"Cunill, Julio. Servei d'Elements Urbans. CBFOTO","","1991","","2002-01-01","Informació extreta de l'obra: Elementos urbanos: mobiliario y microarquitectura, de Josep Ma Serra. Henrich, Jordi; Tarrasó, Olga. Fitxa tècnica d'una balisa model P.E.P.  L'element té una forma cilíndrica i està   dissenyat per a ser ubicat a les zones  portuàries de grans dimensions.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Blanc i negre","180. DEUENL5_1",6.0,"http://hdl.handle.net/11703/73568","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","dibuixos tècnics. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. HENRICH, Jordi. TARRASÓ, Olga","Balisa P.E.P.","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Catedral, Avinguda (Barcelona)","","1996-03-11","2002-01-01","Informació extreta del Catàleg de mobiliari urbà de 1990, editat per BCD, Barcelona Centre de Disseny. Viaplana, Albert; Piñón, Helio. Primer pla de dues jardineres, model Test-E   120. Aquestes, són allargades i estretes i   tenen estries a les dues cares laterals.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1387. NEUJAR1277_30",44.0,"http://hdl.handle.net/11703/74767","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JARDINERES. ELEMENTS URBANS. PIÑÓN, Helio. VIAPLANA, Albert. ESCOFET","Jardinera Test-E","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 10. Sant Martí. Infància, Plaça (Barcelona)","","1993-08-24","2002-01-01","Vázquez Montalbán, Manuel. ""Barcelona fuente a fuente"". Barcelona: Repsol, 1990. Primeríssim primer pla d'una part de la font  de tipus Canaletes, a la plaça Infància.  Es tracta d'una font de ferro colat del    segle XIX. Disposa de quatre tasses i els  seus tiradors són de llautó.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1369. NEUFON736_22",43.0,"http://hdl.handle.net/11703/74749","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Font a la plaça Infància","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Duc de Medinaceli, Plaça (Barcelona)","","1990-11-20","2002-01-01","Informació extreta de l'obra: Barcelona art i aigua. Barcelona: Aldina, 1986. Projecte de remodelació de la plaça: Francesc Daniel Molina; escultor de la figura: Damià Campeny; escultures de bronze de: Josep Anicet Santigosa Vestraten. Daniel Molina. Francesc; Campeny Estrany, Damià; Santigosa Vestraten, Josep Anicet. Pla general de la plaça Duc de Medinaceli.  Destaca una font de pedra circular amb   quatre piques angulars i quatre tritons de bronze.  Al mig d'aquesta s'erigeix una columna de  ferro, coronada per la figura de l'almirall  Galceran Marquet.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","750. NEUFON111_28",24.0,"http://hdl.handle.net/11703/74136","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. Escultures i monuments. SANTIGOSA VESTRATEN, Josep Anicet. CAMPENY ESTRANY, Damià","Font a la plaça Duc de Medinacelli","image",""
"Servei d'Elements Urbans","Teatre, Plaça (Barcelona)","","1987-07-01","2002-01-01","Data aproximada. Pla general de picat on es mostren alguns escocells. Aquests contenen uns arbres i el seu perímetre és rodó. S'ubiquen a la plaça del Teatre.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","251. DEUESC3_9",8.0,"http://hdl.handle.net/11703/73639","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ESCOCELLS. ELEMENTS URBANS","Escocell a la plaça Teatre","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 8. Nou Barris. Júlia, Via (Barcelona)","","1985","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Color","NEUD08ENL3131_28",189.0,"http://hdl.handle.net/11703/104901","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","maquetes. documents digitalitzats","ELEMENTS URBANS. MAQUETES. FANALS","Maqueta d'una torre de llum per a la Via Júlia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 6. Gràcia. Riu de la Plata, Carrer (Barcelona)","","1997-09-08","2002-01-01","Primeríssim primer pla de la part ornamental  de la Font de Sant Salvador.  És de tipus mural i representa, a partir de rajoles  de colors, una escena bíblica del Sant.  Sota d'aquesta veiem la canella de la font,  d'on brolla l'aigua.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","818. NEUFON2294_33",26.0,"http://hdl.handle.net/11703/74199","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Font de Sant Salvador","image",""
"Servei d'Elements Urbans. Gri Espinagosa, Josep","Barcelona. Districte 9. Sant Andreu. Can Fabra, Plaça (Barcelona). Segre, Carrer (Barcelona). Sant Adrià, Carrer (Barcelona)","1995","1995-06-23","2011-11-29","Nún. 9811 a Art Públic. Llopart, Ramón","","","image/jpeg","1 fotografia","Digital. Jpg. Color","-21270. NEUFON1368_09",232.0,"http://hdl.handle.net/11703/73402","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","ELEMENTS URBANS. FONTS. LLOPART, Ramón","Font cibernètica de Can Fabra","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 1. Ciutat Vella. Raval, Rambla (Barcelona)","","1996-03-28","2002-01-01","Primer pla, de contrapicat, d'una font mural   a la rambla Raval.  Aquesta és de pedra i disposa d'una pila  de desguàs.  Dues aixetes de llautó, s'agafen a un mur.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","802. NEUFON1626_9",26.0,"http://hdl.handle.net/11703/74183","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS","Font a la rambla Raval","image",""
"Cunill, Julio. Servei d'Elements Urbans. CBFOTO","Barcelona. Districte 6. Gràcia. Sol, Plaça (Barcelona)","","1986-05-01","2002-01-01","Data aproximada. Bach; Mora. Primer pla d'una jardinera de fosa  (Jardinera Barcina), ubicada a la plaça del  Sol de Gràcia.   Aquest element urbà consta d'un peru de  fosa fixe i un altre de mòvil adaptable a la  pendent del terreny.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","276. DEUJAR1_2",9.0,"http://hdl.handle.net/11703/73664","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","JARDINERES. ELEMENTS URBANS","Jardinera Barcina","image",""
"Servei d'Elements Urbans","","","","2002-01-01","Primer pla d'un quiosc de premsa, model  7 x 3, obert. La seva planta és rectangular i des dels laterals de l'element, es pot veure l'interior del mateix.","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","487. DEUQUIPRE2_7",16.0,"http://hdl.handle.net/11703/73874","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. Quioscos. PREMSA. ALEMANY JUVÉ, Josep Ma.","Quiosc premsa, model 7 x 3","image",""
