"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Districte 4. Les Corts | Alcaldia","Barcelona. Districte 4. Les Corts | Corts (Barcelona : Barri) | Barcelona. District 4. Les Corts | Corts (Barcelona : Neighborhood) | Barcelona. Distrito 4. Les Corts | Corts (Barcelona : Barrio)","2015","No","2015-10-01","2015-10-05","2015-10-12","2015-10-02","Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856] | Aprovat per Decret d'Alcaldia d'01-10-2015","","","","","application/pdf","1 p.","application/pdf","","Exp. Q108-2015-0004","Butlletí Oficial de la Província de Barcelona (05-10-2015)","districtes","","http://hdl.handle.net/11703/83966","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : Districte de Les Corts : modificació temporal amb motiu de la celebració de la Festa Major [2015]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2008","No","2008","2008-10-30","","","","Substituïda per la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2010] [http://hdl.handle.net/11703/85870]","","","","application/pdf","5 p.","application/pdf","19894","","","districtes","","http://hdl.handle.net/11703/86395","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/85870","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Música | Public spaces | Music | Espacios públicos | Música","Cultura i oci","bases ús públic","Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2008]","","text","info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","","Si","2016-12-02","2016-12-16","","","","","","","","application/pdf","2 p.","application/pdf","","Núm. Exp.: 1579/16","Butlletí Oficial de la Província de Barcelona (16-12-2016)","organismes autònoms","","http://hdl.handle.net/11703/99378","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Mercats | Establiments de concurrència pública | Public spaces | Markets | Public areas | Espacios públicos | Mercados | Establecimientos de concurrencia pública","Comerç","bases ús públic","Atorgament d'autoritzacions d'ús de les parades i magatzems dels mercats municipals de Barcelona [2016]","","text","info:eu-repo/semantics/other",""
"Institut Municipal d'Urbanisme (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2006-01-19","2006-01-25","","2006-01-26","Aprovat per Decret de l'Alcaldia del 19-01-2006","","","","","application/pdf","2 p.","application/pdf","11840","","Butlletí Oficial de la Província de Barcelona, núm. 21 (25-01-2006), p. 28-29","organismes autònoms","","http://hdl.handle.net/11703/86400","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge públic | Habitatge de lloguer | Public housing | Rental housing | Viviendas de protección oficial | Vivienda de alquiler","Urbanisme i infraestructures","bases ús públic","Criteris per l'adjudicació dels habitatges protegits de lloguer per a joves que es construeixen en terrenys municipals mitjançant convenis amb operadors públics i operadors sense afany de lucre [2006]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2011","No","2011","2011","","","","Substituïda per la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2012] [http://hdl.handle.net/11703/85870]","Substitueix la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2010] [http://hdl.handle.net/11703/85870]","","","application/pdf","11 p.","application/pdf","7371","","","districtes","","http://hdl.handle.net/11703/84390","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/84389","","http://hdl.handle.net/11703/85870","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Música | Public spaces | Music | Espacios públicos | Música","Comerç | Cultura i oci","bases ús públic","Normativa per interpretar música a la via pública del Districte de Ciutat Vella [2011]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2010","No","2010","2010","","","","Substituïdes per les Bases reguladores per concórrer al concurs d'atorgament de llicències a l'Avinguda Portal de l'Àngel [2013] [http://hdl.handle.net/11703/84385]","","","","application/pdf","13 p.","application/pdf","CONDREGCOA_PA_2010","","","districtes","","http://hdl.handle.net/11703/86396","cat","Ajuntament de Barcelona","","http://hdl.handle.net/11703/89244","","","http://hdl.handle.net/11703/84385","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Llicències comercials | Fires | Venda ambulant | Public spaces | Trade licenses | Fairs | Peddling | Espacios públicos | Licencias comerciales | Ferias | Comercio ambulante","Comerç","bases ús públic","Condicions reguladores per concórrer al concurs d'atorgament de llicències a l'Av. Portal de l'Àngel [2010]","","text","info:eu-repo/semantics/other",""
"Districte 10. Sant Martí | Alcaldia","Poblenou (Barcelona : Barri) | Barcelona. Districte 10. Sant Martí | Poblenou (Barcelona : Neighborhood) | Barcelona. District 10. Sant Martí | Poblenou (Barcelona : Barrio) | Barcelona. Distrito 10. Sant Martí","2015","No","2015-09-08","2015-09-18","2015-09-20","2015-09-10","Aprovat per Decret d'Alcaldia de 08-11-2015","","","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (18-09-2015)","districtes","","http://hdl.handle.net/11703/83967","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Hoteleria | Establiments de concurrència pública | Festes majors | Bars | Restaurants | Terrasses (Hoteleria) | Public spaces | Hospitality industry | Public areas | Festivals | Bars (Drinking establishments) | Restaurants | Bar terraces | Espacios públicos | Hostelería | Establecimientos de concurrencia pública | Fiestas | Bares | Restaurantes | Terrazas (Hostelería)","Comerç","bases ús públic | decrets","Horari de les terrasses : barri de Poblenou : modificació temporal amb motiu de la celebració de la Festa Major [2015]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","2019","No","2019-03-22","2019-03-29","","","","","","","","application/pdf","3 documents (4 fitxers)","application/pdf","","Núm. Exp. 361/19","Butlletí Oficial de la Província de Barcelona (29-03-2019) | Gaseta Municipal de Barcelona (01-04-2019) | Correcció d'errades: Butlletí Oficial de la Província de Barcelona (08-04-2019)","organismes autònoms","","http://hdl.handle.net/11703/113586","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Espacios públicos | Public spaces | Mercats | Mercados | Markets | Establiments de concurrència pública | Establecimientos de concurrencia pública | Establishments open to the public","Comerç","bases ús públic","Atorgament d'autoritzacions d'ús de les parades i magatzems dels mercats municipals de Barcelona [2019-03-22]","","text","info:eu-repo/semantics/other",""
"Districte 10. Sant Martí | Alcaldia","Barcelona. Districte 10. Sant Martí | Poblenou (Barcelona : Barri) | Barcelona. District 10. Sant Martí | Poblenou (Barcelona : Neighborhood) | Barcelona. Distrito 10. Sant Martí | Poblenou (Barcelona : Barrio)","2014","No","2014-09-10","2014-09-15","","2014-09-09","Aprovat per Decret d'Alcaldia de 09-09-2014","","","","","application/pdf","1 p.","application/pdf","14087","","Butlletí Oficial de la Província de Barcelona (15-09-2014)","districtes","","http://hdl.handle.net/11703/111848","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Hoteleria | Establiments de concurrència pública | Festes majors | Bars | Restaurants | Terrasses (Hoteleria) | Public spaces | Hospitality industry | Public areas | Festivals | Bars (Drinking establishments) | Restaurants | Bar terraces | Espacios públicos | Hostelería | Establecimientos de concurrencia pública | Fiestas | Bares | Restaurantes | Terrazas (Hostelería)","Comerç","bases ús públic","Horari de les terrasses : barri de Poblenou : modificació temporal amb motiu de la celebració de la Festa Major [2014]","","text","info:eu-repo/semantics/other",""
"Institut Municipal d'Urbanisme (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2006-07-21","2006-07-28","","2006-07-29","Aprovat per Decret de l'Alcaldia de 21-07-2006","","","","","application/pdf","5 p.","application/pdf","11839","Exp. 06ju198.","Butlletí Oficial de la Província de Barcelona, núm. 179 (28-07-2006), p. 15-19","organismes autònoms","","http://hdl.handle.net/11703/86401","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge públic | Public housing | Viviendas de protección oficial","Urbanisme i infraestructures","bases ús públic","Criteris i procediment d'adjudicació dels habitatges protegits a la ciutat de Barcelona [2006]","","text","info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2016-04-12","2016-04-13","","","","","","","","application/pdf","3 p.","application/pdf","","Expedient núm: 552/16","Butlletí Oficial de la Província de Barcelona (13-04-2016)","organismes autònoms","","http://hdl.handle.net/11703/96628","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública | Espais públics | Mercats | Public areas | Public spaces | Markets | Establecimientos de concurrencia pública | Espacios públicos | Mercados","Comerç","bases ús públic","Atorgament d'autoritzacions d'ús de les parades i magatzems dels mercats municipals de Barcelona [2016]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2016 | 2017","Si","2016-09-22","2016-09-30","","","Aprovat per la Gerent del Districte de Ciutat Vella el 22-09-2016","Substituït per l'Adjudicació de les parades de la Fira d'Artesania de l'Avinguda del Portal de l'Àngel [2018] [http://hdl.handle.net/11703/106249]","Substitueix l'Adjudicació de les parades de la Fira d'Artesania de l'Avinguda Portal de l'Àngel de Barcelona [2015-2016] [http://hdl.handle.net/11703/84008]","","","application/pdf","13 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (30-09-2016)","districtes","","http://hdl.handle.net/11703/98362","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/106249","","http://hdl.handle.net/11703/84008","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Llicències comercials | Venda ambulant | Espais públics | Fires | Trade licenses | Peddling | Public spaces | Fairs | Licencias comerciales | Comercio ambulante | Espacios públicos | Ferias","Comerç","bases ús públic","Adjudicació de les parades de la Fira d'Artesania de l'Avinguda Portal de l'Àngel [2016-2017]","","text","info:eu-repo/semantics/other",""
