"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrelation","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 27"
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26844. 0117a001_16",117.0,"http://hdl.handle.net/11703/65476","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26841. 0117a001_09",117.0,"http://hdl.handle.net/11703/65473","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26856. 0117a001_50",117.0,"http://hdl.handle.net/11703/65488","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26846. 0117a001_25",117.0,"http://hdl.handle.net/11703/65478","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26853. 0117a001_43",117.0,"http://hdl.handle.net/11703/65485","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26854. 0117a001_45",117.0,"http://hdl.handle.net/11703/65486","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26843. 0117a001_14",117.0,"http://hdl.handle.net/11703/65475","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26857. 0117a001_53",117.0,"http://hdl.handle.net/11703/65489","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla americà del Sr. Ramon Garcia   Bragado, tinent d'alcalde i regidor   d'Urbanisme, com a orador a la   presentació del projecte BCN 2.0, al   Complex Esportiu Municipal Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29675. 0178a004_19",178.0,"http://hdl.handle.net/11703/65727","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES. GARCIA BRAGADO, Ramon","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla general d'un grup de tres treballadors  d'Urbanisme comentant el projecte   BCN 2.0, al  Complex Esportiu Municipal  Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29677. 0178a004_23",178.0,"http://hdl.handle.net/11703/65729","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla general d'un grup de treballadors  d'Urbanisme amb el Sr. Ramon Massaguer,  gerent del Sector d'Urbanisme i Infraestructures  comentant el projecte BCN 2.0, al  Complex  Esportiu Municipal Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29678. 0178a004_24",178.0,"http://hdl.handle.net/11703/65730","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES. MASSAGUER MELÉNDEZ, Ramon","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla americà del Sr. Ramon Massaguer  Meléndez, gerent del Sector d'Urbanisme  i Infraestructures com a orador a la   presentació del projecte BCN 2.0, al   Complex Esportiu Municipal Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29666. 0178a004_01",178.0,"http://hdl.handle.net/11703/65718","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES. MASSAGUER MELÉNDEZ, Ramon","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla general d'un grup de tres treballadors  d'Urbanisme comentant el projecte   BCN 2.0, al  Complex Esportiu Municipal  Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29679. 0178a004_28",178.0,"http://hdl.handle.net/11703/65731","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla general del Sr. Ramon Garcia   Bragado, tinent d'alcalde i regidor   d'Urbanisme, com a orador a la   presentació del projecte BCN 2.0, al   Complex Esportiu Municipal Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29676. 0178a004_20",178.0,"http://hdl.handle.net/11703/65728","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES. GARCIA BRAGADO, Ramon","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Cunill, Julio. Sector d'Urbanisme","","Barcelona. Districte 10. Sant Martí. Guipúscoa, Rambla (Barcelona)",2008.0,"2008-12-09","2009-03-06","Pla americà del Sr. Josep M. de Torres Sanahuja, gerent d'IMU, com a orador i amb un ordinador portàtil a la presentació del projecte BCN 2. 0, al Complex Esportiu Municipal Bac de Roda.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","29674. 0178a004_15",178.0,"http://hdl.handle.net/11703/65726","","","CC-BY-ND","openAccess","","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","INAUGURACIONS I EXPOSICIONS. PROJECTES. DE TORRES SANAHUJA, Josep M.","Presentació del projecte BCN 2.0 al Poliesportiu Bac de Roda","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Monestir, Baixada del (Barcelona). Barcelona. Districte 5. Sarrià-Sant Gervasi","","2005-06-10","2005-10-06","Pla general d'una part del pati de clausura del Monestir. S'observa l'estat de conservació d'un dels edificis amb diverses finestres i una porta.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26921. 0117a011_03",117.0,"http://hdl.handle.net/11703/65542","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS RELIGIOSOS. MONESTIRS. JARDINS. MONESTIR DE SANTA MARIA DE PEDRALBES (BARCELONA)","Monestir de Pedralbes","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Monestir, Baixada del (Barcelona). Barcelona. Districte 5. Sarrià-Sant Gervasi","","2005-06-10","2005-10-06","Pla general del pati de clausura del  Monestir. S'observa part del Monestir  i un edifici de dues plantes. També s'hi  veuen les escales d'accés.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26922. 0117a011_05",117.0,"http://hdl.handle.net/11703/65543","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS RELIGIOSOS. MONESTIRS. JARDINS. MONESTIR DE SANTA MARIA DE PEDRALBES (BARCELONA)","Monestir de Pedralbes","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Primer pla d'una façana coberta d evegetació.Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26877. 0117a002_43",117.0,"http://hdl.handle.net/11703/65509","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Pla general de façana i jardí.Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26869. 0117a002_23",117.0,"http://hdl.handle.net/11703/65501","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Pla general de la fàbrica i part de la xemeneia.  Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26873. 0117a002_29",117.0,"http://hdl.handle.net/11703/65505","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Pla general de les coberte si l'entorn. Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26866. 0117a002_10",117.0,"http://hdl.handle.net/11703/65498","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Pla general dels jardins. Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26879. 0117a002_50",117.0,"http://hdl.handle.net/11703/65511","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Primer pla del cobert de l'eixda de la fàbrica. Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26872. 0117a002_28",117.0,"http://hdl.handle.net/11703/65504","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Pla general de les cobertes. Es conserva l'estructura  de les fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26863. 0117a002_03",117.0,"http://hdl.handle.net/11703/65495","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Primer pla de l'eixda de la fàbrica. Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26871. 0117a002_27",117.0,"http://hdl.handle.net/11703/65503","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament d'Arquitectura","","Barcelona. Districte 10. Sant Martí. Pellaires, Carrer (Barcelona). Fluvià, Carrer (Barcelona)","","2005-05-19","2005-10-04","Al pati d'aquest, s'hi alça una clàssica xemeneia industrial.. Pla general, contrapicat, del pati interior.Es conserva l'estructura de les  fàbriques tèxtils substituïdes ara per  empreses del sector artístic, com l'Estudi  Mariscal.S'esta estudiant obrir el c. Fluvià.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26875. 0117a002_35",117.0,"http://hdl.handle.net/11703/65507","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies","EDIFICIS INDUSTRIALS. XEMENEIES. CARRERS. PALO ALTO","Palo Alto","image",""
