"Nom_projecte ","Breu_Descripció_Projecte ","Entitat_Sol·licitant ","Desc_Modalitat","Collectiu_Destinatari ","Adreça ","Codi_Postal ","Ciutat","Longitud","Latitud","Àmbit_Territorial "
"COMUNITAT #ARTISTEM. Educació per a l’apoderament digital de la ciutadania","Projecte de creació d'una plataforma amb tecnologia oberta  per promoure, educar i capacitar en competències digitals a totes aquelles persones educadores que treballen en espais socioeducatius per tal de què puguin incloure aquestes habilitats i destreses en el seu dia a dia i, alhora, afavoreixin l’apoderament digital, en concret, el bon ús de la tecnologia i les eines de fabricació digital, en infants, joves i famílies al seu càrrec.","Pere Tarrés","Innovació Social Digital","Persones educadores ","carrer Numanacia, 149",8029.0,"Barcelona",2.13368,"41.38799","Sants-Montjuïc, Sant Martí, Les Corts"
"ROBÒTICA per a JOVES. Formació de monitors/es en robòtica educativa","Projecte que té per objectiu professionalitzar, apoderar i fer l’acompanyament en el procés de recerca de feina o retorn al sistema educatiu formal de 15 joves d’entre els 18 i 29 anys residents a districte de Ciutat Vella i, amb especial atenció als joves provinents del barri del Raval, que volen millorar la seva ocupabilitat i treballar com a monitors i/o docents en els continguts de la robòtica i/o programació MBLOKC i Arduino (ambdues de codi obert) per tal de poder impartir cursos i activitats extraescolars.","Fundació Intermèdia","Foment de l'ocupació de qualitat al territori","Jovent en situació de risc social. ","Gran Via de Carles III, 62",8028.0,"Barcelona",2.17073,"41.37753,","El Raval"
"Itinere +45 i Joves Sants-Montjuïc","Projecte d’impuls de l'ocupació  de persones amb malestar psicològic i/o trastorn mental a través de la seva orientació i acompanyament, tot facilitant la millora de la seva ocupabilitat i afavorint l'accés al mercat de treball, a través de la GAMIFICACIÓ, coneguda com l’ús de dinàmiques, mecàniques i estètiques pròpies del joc en entorns no lúdics per adquirir, desenvolupar o millorar una actitud o un comportament determinat.","Fundació Joïa","Foment de l'ocupació de qualitat al territori","Majors 45 i joves entre 16 i 35 anys dels barris d'actuació amb malestar psicològic i/o transtorn mental.","Avinguda Josep Tarradellas 19-21 ",8029.0,"Barcelona",2.12677,"41.37548","El Poble-sec, Font de la Guatlla, La Marina"
"Fairbnb Barcelona","Iniciativa que te per objectiu reduir l'impacte negatiu del turisme a la ciutat, a través de la implementació del node local Fairbnb Barcelona com a nou model de negoci de turisme responsable amb retorn social, capaç de crear i gestionar un ecosistema d'intercooperació per un turisme urbà sostenible.","FAIRBNB","Turisme responsable","Persones propietàries de vivendes i turistes","carrer Diputació, 443",8013.0,"Barcelona",2.17936,"41.39988","Barcelona"
"Itinere +45 Nou Barris","Projecte d’inserció laboral destinat a impulsar l’ocupació de les persones de més de 45 anys, en situació d’atur i que pateixen malestar psicològic i/o trastorn de salut mental a través de la metodologia CREA (Competències, Recursos, Empoderament, Acció), basada en l'apoderament de les persones participants, concretament dones, en la creació d’un projecte professional i personal que promou crear consciència de les pròpies potencialitats, per posar-les de manifest en l’àmbit personal, laboral i social.","UTE per ocupació 9barris","Foment de l'ocupació de qualitat al territori","majors 45 anys, ènfasi a dones i a majors 55 anys.","Avinguda Josep Tarradellas 19-21 ",8029.0,"Barcelona",2.16818,"41.4337","Nou Barris "
"La Clau (impuls al primer itinerari formatiu)","Projecte socioformatiu adreçat a joves menors migrats no acompanyats amb l’objectiu d’acompanyar-los durant tot el procés d’aprenentatge i dotar-los de competències instrumentals bàsiques que reforcin el seu itinerari d’inclusió en el territori d’acollida i possibilitin l’accés a una formació professional dintre del sistema educatiu, facilitant aprenentatges imprescindibles per accedir al mercat de treball amb millors possibilitats d’obtenir una ocupació qualificada i duradora.","Bayt al-Thaqafa","Foment de l'ocupació de qualitat al territori","Joves migrants no acompanyats","carrer Princesa, 14",8003.0,"Barcelona",2.17992,"41.38475","Casc Antic"
"Ocupa't BCN","Iniciativa de formació, cocreació i promoció de projectes d’inserció laboral, amb i per a joves, per tal que es formin i s'apropiïn de diferents eines vinculades a la intel·ligència emocional i comunicatives a través d'una metodologia participativa i experiencial, on els i les joves prenen un rol protagònic.","Associació Cultural el Parlante","Foment de l'ocupació de qualitat al territori","Joves en situació de vulnerabilitat de la Zona Nord i de La Clota i barris colindants: De Cruïlla, 1 grup de 16 a 25 anys del curs d'ajudant de cuina + 1 grup del PFI en auxiliar d'hostaleria. De Martí Codolar, 1 grup PFI auxiliar d'Hostaleria + 1 grup PFI electricitat","carrer Llull, 47-49",8005.0,"Barcelona",2.1494299999999997,"41.42871","Zona Nord de Nou Barris, La Clota, el Carmel i la Teixonera"
"Formació en atenció sociosanitària i costura per dones migrants i/o en risc d'exclusió social","Projecte destinat a afavorir la inserció social i laboral, i la millora de la feina de a 60 dones migrades i/o en risc d'exclusió social de Barcelona a través de formacions en atenció sociosanitària (40) i costura (20).","MUJERES PA’LANTE SCCL","Foment de l'ocupació de qualitat al territori"," dones migrants i/o en risc d'exclusió socia","carrer Villarroel, 10",8011.0,"Barcelona",2.13895,"41.38349","Sants, Les Corts, L'Eixample i Sant Andreu"
"Butsarne Romnja","Projecte que té com a objectiu treballar per a la inserció en el mercat laboral ordinari de dones gitanes, fomentant la inserció per compte aliena o per compte propi, a través del coneixement i implicació dels recursos laborals municipals existents i implementant accions de mainstreaming (en línia amb les recomanacions europees) conjuntament amb Barcelona Activa.","Federació d’Associacions Gitanes de Catalunya","Foment de l'ocupació de qualitat al territori","Dones joves gitanes de 18 a 35 anys","carrer Concili de Trento, 313",8020.0,"Barcelona",2.13873,"41.36061","La Marina del Port i el Bon Pastor"
"Impulsem l'ús social del rec","Projecte destinat a enfortir el consum responsable i l'economia social a través d'una plataforma multisectorial que impulsi l’ús social del REC amb la participació comunitària de la ciutadania i amb la intercooperació de les entitats de l’economia social i el comerç de Barcelona.","Novact REC","Innovació socioeconòmica en sectors estratègics","Associacions de comerç, entitats d'ESS, i consumidores i usuàries","carrer Junta de Comerç, 20",8001.0,"Barcelona",2.20458,"41.4403","Eix Besòs (Sant Martí, Sant Andreu i Nou Barris)"
"Assessoria comercial personalitzada al comerç de Zona Nord","Projecte dirigit a prestar un programa d'assessorament comercial a 12 comerços (comerços associats i parades del mercat) amb l'objectiu de reforçar i millorar el comerç existent a La Trinitat Nova.","Associació Comerciants Trinitat Nova","Empresa al territori","comerços del barri","carrer La Fosca, 10",8033.0,"Barcelona",2.1840900000000003,"41.44801","La Trinitat Nova"
"Dones contra la precarietat","Projecte d’abordatge de la precarietat laboral i el desenvolupament professional mitjançant l’execució d’un programa en que les dones aturades majors de 45 anys participants són les protagonistes del seu procés, tant en el disseny i la implementació com en l’avaluació.","Barabarà Educació","Foment de l'ocupació de qualitat al territori","dones aturades majors 45 anys","carrer Pere IV, 58-60",8005.0,"Barcelona",2.19216,"41.39577","Sant Martí"
"Cultivant juntes l'ESS a Horta Guinardó","Projecte de sensibilització sobre l'ESS i el foment de la xarxa entre les entitats del districte d'Horta-Guinardó, així com des del districte amb la resta d'actors a nivell ciutat, a través d'accions com: oferta formativa i xerrades divulgatives, realització del mapatge de l’ESS del Districte, activació d'un blog i punts d’informació d’ESS i Consum Responsable, i l’organització de la quarta Fira d’ESS d’Horta-Guinardó a La Teixonera.","Matebcn","Innovació socioeconòmica en sectors estratègics","Població en general i actors sensibilitzats ESS","carrer Cortada, 70",8035.0,"Barcelona",2.14846,"41.42461","Horta - Guinardó"
"Fem[e]ines Lliures","Projecte de construcció d'un kit Integral d'eines lliures i de codi obert que garanteixi la sobirania en l'àmbit digital a les entitats de l'economia social i solidària, iniciatives associatives, centres públics de la ciutat, i més concretament de Sants i Nou Barris.","Madalena Falzoni Gallerani- MaadiXZone","Innovació Social Digital","Entitats i iniciatives sociacials i d'ESS, especialment SMO i NB. ","carrer Bèjar, 20",8014.0,"Barcelona",2.14617,"41.37615","Barcelona"
"programa estudis en ""Promoció i divulgació del consum conscient""","Projecte destinat a construir un programa d’estudis de capacitació per a la ""promoció i divulgació del consum conscient"", que ajudi a cobrir la demanda de personal capacitat de les organitzacions (entitats, empreses i administracions públiques) i que faciliti la creació de vincles laborals entre aquestes i els i les professionals.","Espai Ambiental","Foment de l'ocupació de qualitat al territori","treballadors, estudiants ","Antic de Bofarull, 23",8026.0,"Barcelona",2.18626,"41.41119","Barcelona"
"Conciliar i dignificar","Projecte centrat en la dignificació de l’àmbit de la cura dels infants mitjançant una oferta de serveis que garanteixen els drets de les treballadores i permeten una millor conciliació familiar per les dones cuidadores de les seves criatures no escolaritzades, amb una especial atenció a les que estiguin en una situació d’aïllament social i de precarietat degut a que el seu paper de cuidadora no els permet entrar en processos d’inserció sociolaboral.","Més que cures","Innovació socioeconòmica en sectors estratègics","dones cuidadores precaritzades i mares de famílies monomarentals","carrer Blai, 34",8004.0,"Barcelona",2.16412,"41.37397","Barcelona"
"Programa i accions de sensibilització i formació a agents empresarials de comerç i serveis i d’edició de materials de difusió, per a la millora d’oportunitats en ocupació de persones amb discapacitat","Iniciativa que pretén millorar la inserció laboral de les persones amb discapacitat i el nivell de compromís social i de responsabilitat social corporativa dels agents empresarials, a través de l'impuls de bones pràctiques per trencar la barrera de la manca de coneixement dels agents empresarials respecte a les competències i habilitats del col·lectiu, i així garantir una millor igualtat d’oportunitats laborals.","Apropa inclusió","Turisme responsable","Persones amb discapacitat i agents empresarials","Galileu, 187",8028.0,"Barcelona",2.13321,"41.38151","Les Corts"
"Behind Barcelona. Descobrir Hostafrancs i la Bordeta des del teixit comercial","Iniciativa per dinamitzar el comerç de proximitat als barris de La Bordeta i Hostafrancs, a través de rutes guiades i teatralitzades descobrint tant el patrimoni comercial com les riqueses humanes que existeixen i que no estan a l’abast del visitant “tradicional”.","Artixoc","Turisme responsable","veïns i veïnes, turistes","Rambla Badal, 82-84",8014.0,"Barcelona",2.1330400000000003,"41.36943","Hostafrancs i la Bordeta"
"Itinerari d’Emprenedoria juvenil per a la GeneracióIN","Projecte d'inclusió sociolaboral de 50 dones senegaleses en situació d'atur, tot generant les condicions necessàries per al desenvolupament del seu talent i iniciativa mitjançant l'adquisició de les habilitats socials i competències per a l'ocupació.","Ass Acción contra el hambre","Empresa al territori","Joves inscrits a la Garantia Juvenil","carrer Diputació, 180",8011.0,"Barcelona",2.16003,"41.38481,","Barcelona"
"Fem Créixer el territori del Bé Comú a Barcelona","Projecte destinat a elaborar una proposta de model econòmic per recuperar el sentit de l'economia com a mitjà per assolir el bé comú, a través de la creació d'un ecosistema d'institucions i organitzacions (empreses, ajuntaments o associacions) compromeses amb el bé comú a la ciutat de Barcelona.","Associació Catalana per al Foment de l'Economia del Bé Comú","Innovació socioeconòmica en sectors estratègics","Empreses i entitats ","Torre Jussana. Av. Cardenal Vidal i Barraquer 30",8030.0,"Barcelona",2.15187,"41.4295","Barcelona"
"Rehabilitació comunitària de la Bassa Gran i millora dels sistemes de reg comunitaris","Projecte que pretén fer un diagnòstic global per tal de dissenyar la rehabilitació i recuperació de la ""bassa gran"" i les rieres que l'alimenten, així com promoure una utilització òptima dels recursos hídrics en el reg de les 47 parcel·les dels Horts Comunitaris de la Vall de Can Masdeu.","Associació defensa Horts Comunitaris","Models agroalimentaris sostenibles i cosum responsable","Persones participants en els Horts Comunitaris de la Vall de Can Masdeu. Persones participants en altres horts i projectes agroecologics de Nou Barris i Horta Persones treballadores o participants en altres dipus d'horts (escolars, terapèutics, socials…)","ANTIC DE SANT LLATZER, S/N PORTAL 0",8035.0,"Barcelona",2.15725,"41.44578","Parc de Collserola i Nou Barris"
"Disseny i execució del pla operatiu per l'obertura del primer supermercat cooperatiu a Barcelona","Projecte destinat a desenvolupar el pla de treball per l’obertura del primer supermercat cooperatiu a Barcelona que faci accessibles productes agroecològics i de proximitat a un ampli sector de població, tot fomentant els valors socials i ambientals integrats a l’Economia Social i Solidària.","Associació per l'Impuls dels Supermercats Cooperatius i el Mercat Social","Models agroalimentaris sostenibles i cosum responsable","tota la ciutadania","Carrer Perú, 52, Baixos",8018.0,"Barcelona",2.19446,"41.40696","Barcelona"
"Genera! Eixamplar competències, generar oportunitats","Projecte de recurs prelaboral per establir una xarxa de treball entre col·lectius vulnerables a l’exclusió social i amb grans dificultats per la inserció laboral, i els diferents agents del territori que treballen per la seva inserció sociolaboral a través de l’educació, la formació i la orientació en castellà, català i alfabetització digital.","Angel Marzo - Associació Martinet Solidari","Foment de l'ocupació de qualitat al territori","persones en risc d'exclusió social","Rambla Prim nº 64-70",8019.0,"Barcelona",2.21521,"41.41483","El Besòs i el Maresme"
"A Barcelona, Turisme Residu Zero","Projecte desplegat als districtes de Ciutat Vella, L’Eixample i Gràcia que pretén contribuir a la reducció de la petjada ecològica vinculada al turisme de la ciutat posant a disposició dels turistes, operadors i serveis vinculats un conjunt de recursos formatius, informatius i pràctics per reduir els residus i millorar els seus hàbits de consum durant les estades turístiques a la ciutat.","Fud. Prevenció residus i consum","Turisme responsable","Turistes Personal d'hosteleria, restauració i comerç","Bruc, 91",8009.0,"Barcelona",2.16795,"41.39534","Ciutat Vella L'Eixample Gràcia"
"Servei a Domicili Perifèrica 9B","Projecte sorgit del Programa B-MINCOME de lluita contra la pobresa i la desigualtat a zones desafavorides de Barcelona, que té per objectiu consolidar i fer sostenible el Servei de distribució a domicili, com una proposta des de l'economia social per a dinamitzar el teixit comercial de proximitat del Mercat de Montserrat, del barri de Les Roquetes i àrea d'influència.","Fundació Pare Manel","Empresa al territori","Persones usuàries del servei, especialment gent gran, persones amb diversitat funcional i persones derivades de serveis socials i el CAP. - Entitats del territori (per a l'ús compartit del vehicle o per al servei) - Persones beneficiàries contractades (derivades de Drets Socials, en situació d'atur de llarga durada, vulnerabilitat social i/o situació admin irregular) - Associació de paradistes del mercat de Montserrat","Via Favència,244",8042.0,"Barcelona",2.1751,"41.4445","Les Roquetes, Verdum, La Prosperitat, La Trinitat Nova, Torre Baró i Ciutat Meridiana"
"Maridatges: cultura cooperativa & comunitària","Projecte que pretén establir un circuit de programacions culturals basades en la col·laboració entre projectes vinculats a l'economia social i equipaments de gestió comunitària amb l'objectiu de reforçar els lligams i la xarxa entre els diferents actors que hi participen: cooperatives i equipaments, i obrir debats per començar a compartir recursos, pensant en mancomunar serveis i enfortint la xarxa de coneixements comuns.","QUESONI COOPERATIVA","Innovació socioeconòmica en sectors estratègics","El projecte té la voluntat d'arribar a tota la població de la ciutat. Com a destinatàris més específics estan les comunitats d'artistes i professionals, els projectes comunitaris i equipaments amb gestió comuntiaria, i les persones vincualdes o amb interes per l'economia social.","carrer Sant Andrià, 20",8030.0,"Barcelona",2.19113,"41.43309 ","Sant Andreu, Santa Caterina, el Gòtic, Les Roquetes, La Trinitat Nova, El Clot, La Bordeta, Sants i El Poble-sec"
"Passa't al FlOSS","Projecte d'acompanyament a la migració a programari lliure adreçat a entitats de la ESS i altres entitats d'acció social, ajudant-les a deixar de fer servir solucions privatives en les seves oficines de treball.","Colectic amb XES i Fundació Adsis","Innovació Social Digital","Enitats de l'ESS + joves PFIs","C/ DELS SALVADOR, 8, baixos",8001.0,"Barcelona",2.1646,"41.37858","Barcelona"
"Xarxa online i assessorament sobre el terreny per al Turisme Ambientalment","Projecte destinat a facilitar eines tècniques i de coneixement pràctic necessàries per incorporar criteris de sostenibilitat ambiental i social a les activitats turístiques de la ciutat de Barcelona, a través de la creació d'un portal/cercador informatiu i de l'assessorament a establiments i activitats turístiques per part de professionals del medi ambient.","Col·legi d’Ambientòlegs de Catalunya (COAMB)","Turisme responsable","El projecte impactarà directament els comerciants i agents turístics de la ciutat que s’acullin al projecte i que rebran l’assessorament, així com indirectament els visitants.","Carrer Muntaner, 81, 6e 1a",8011.0,"Barcelona",2.15782,"41.38754","Barcelona"
"Dinamització de la Xarxa Laboral del Gòtic (XLG)","Projecte destinat a la coordinació de la Xarxa Laboral del Gòtic, mapeig de recursos, difusió d'ofertes, contacte amb el teixit empresarial del barri i tota la seva comunicació per tal de facilitar la inserció sociolaboral de les persones en situació de vulnerabilitat del barri mitjançant recursos, serveis i programes que tenen les entitats que la conformen.","Associació Social Gabella","Foment de l'ocupació de qualitat al territori","Població vulnerable del barri Gòtic, usuàries de les entitats membres de la Xarxa","C/Rull 9, baixos",8002.0,"Barcelona",2.1772,"41.37928","El Gòtic"
"FILAXARXES BCN","Projecte de creació d'un aplicatiu web per tal d’enfortir el sector tèxtil eticosostenible local creant sinergies entre els diferents actors del sector de manera que es puguin assolir més reptes i èxits sota una mirada d'economia social i solidaria a Barcelona.","FASOLA SCCL","Innovació socioeconòmica en sectors estratègics","Trabajadores del textil sostenible y ético con mirada de economía social solidaria en Barcelona. Dada la feminización de este sector, serán las mujeres las principales destinatarias de este proyecto.","Goya, 18 local 1",8012.0,"Barcelona",2.1575900000000003,"41.39972","Barcelona"
"Microfinançament Agroecològic","Projecte de creació d'una plataforma de microfinançament com a eina per a promoure la sobirania alimentària, fomentant projectes d'agricultors ecològics de proximitat i promovent la seva comercialització directa a la ciutat.","Tarpuna SCCL","Models agroalimentaris sostenibles i cosum responsable","Ciutadans i agricultors de proximitat","Milà i Fonatnals 82, 1r 1a",8012.0,"Barcelona",2.16073,"41.40279","Barcelona"
"Dones a les Dades: un programa formatiu i professional.","Projecte divulgatiu de la la importància de tenir més dones al sector tecnològic a través d'una formació de 3 mesos en matèria d’anàlisi i ciència de dades, a 15 dones en risc d’exclusió i la seva posterior incorporació en empreses tecnològiques i/o proporcionant les eines per a que creïn els seus propis projectes.","Futurefunded","Foment de l'ocupació de qualitat al territori","Dones en risc d'exclusió","Montmany 30, 2do 1era.",8012.0,"Barcelona",2.17749,"41.38623","Barcelona"
"Cuina compartida amb obrador per a col.lectius","Projecte de creació d’un espai de cuina i obrador compartit amb startups i iniciatives de l'ESS que no disposin d’aquest servei, per tal de crear un espai de col·laboracions i aprenentatges compartits.","Menjador Ca la Rosa, Sccl","Empresa al territori","Infants, gent gran, famílies, veïnes i veïns del barri, joves, persones amb atur de llarga durada i persones en risc social, starups, cooperatives o entitas afins, administració pública","Mossén Julia, 23",8026.0,"Barcelona",2.18986,"41.42375","Barcelona"
"Impuls d’una xarxa de bicicletes elèctriques compartides per a entitats i comunitats","Projecte pilot per implementar un servei de bicicletes elèctriques compartides a disposició de 2-3 centres cívics, ateneus, espais comunitaris i coworkings de la ciutat de Barcelona.","SOM MOBILITAT","Empresa al territori","tota la ciutadania","carrer Pere IV 58-60",8005.0,"Barcelona",2.19212,"41.39578","Barcelona"
"LET'S WORK","Projecte d’espai per joves, especialment a la zona de l’Eix Besos, amb patologia dual on puguin construir un projecte de futur, a través de l’apoderament individual i col·lectiu, entenent l’espai social i comunitari com a generador d’oportunitats de millora ocupacional i d’ocupació, amb actuacions en format prelaboral.","FUNDACIÓ SALUT I COMUNITAT","Foment de l'ocupació de qualitat al territori","Joves de  16 a 30 anys amb patologia dual i consum problemàtic de substàncies","C/ Ali Bei 25",8010.0,"Barcelona",2.19978,"41.43652","El Bon Pastor"
"Platoniq Sistema Cultural ","Projecte de plataforma digital oberta de participació en la gestió de l'aigua i mapa interactiu per fomentar crowdsourcing en relació a problemàtiques de pobresa energètica.","Ivan Vergés","Innovació Social Digital","Tota la ciutadania, però centralitza la participació a SMO.","Sant Adrià, 20",8030.0,"Barcelona",2.14568,"41.35103 ","Sants-Montjuïc"
"Eco-tasta’m. Tallers d’Oficis per a joves MENA","Projecte d’ampliació dels tastets d'oficis en el marc del projecte Tasta'm, de formació lingüística i orientació professional, amb l'objectiu d'oferir un recurs formatiu laboral a través de tastets a joves menors migrats no acompanyats i així preparar-los perquè el pròxim any puguin incorporar-se al sistema educatiu reglat i tenir l’oportunitat de realitzar pràctiques laborals en alguna empresa.","Fundació Servei Solidari per la Inclusió Social","Foment de l'ocupació de qualitat al territori","Joves (ex-)tutelats entre 16 i 21 anys","C/ Sant Antoni Abat, 61",8001.0,"Barcelona",2.1638599999999997,"41.37869 ","El Raval"
"El comerç del Coll al metro","Projecte destinat a comunicar el que passa al barri amb una Exposició permanent als passadissos de l’estació de metro del Coll – La Teixonera que inclogui informacions sobre l’activitat socioeconòmica del barri a través de 60 pòsters de gran format amb fotos dels parcs, dels carrers, de la gent, de la Festa Major, de la Festa Verda, dels i les comerciants del barri i més.","Associació de Comerciants Coll Amunt","Empresa al territori","Veïns i veïnes, visitants del barri, comerços associats i l'Associació Coll Amunt","Passeig Mare de Déu del Coll ,14",8023.0,"Barcelona",2.148,"41.42328","El Coll"
"Formació pre-laboral per a joves migrants sols/es","Projecte de tastet d'oficis (jardineria, cuina, comerç i STEM) + competències professionals bàsiques i transversals que persegueix el desenvolupament de l’autonomia personal, professional i social de joves migrants sols, posant l’accent en el seu apoderament. Amb una dimensió comunitària ja que la formació acaba amb un mòdul de serveis a la comunitat.","Fundació Comtal","Foment de l'ocupació de qualitat al territori","menors de 18 anys d'origen migrant que no disposen d'una persona adulta de referència.","Amadeu Vives, número 6",8003.0,"Barcelona",2.1752700000000003,"41.38802","Casc Antic"
"MAMALYONA","Projecte d’emprenedoria col·lectiva, liderat per dones joves, mares amb fills d’entre 0 i 3 anys o futures mares en risc d’exclusió social, a partir de l’acompanyament en totes les fases de creació d’un negoci de comercialització de productes tèxtils dissenyats per elles mateixes i amb retorn social.","ABD","Innovació socioeconòmica en sectors estratègics","Dones menors de 30 anys embarassades o amb fills/es de 0 a 3 anys que presentin diferents factors de risc psicosocial.","Quevedo, 2",8012.0,"Barcelona",2.16297,"41.40212","Barcelona"
